代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11186695.5100000016
真實報酬,1186695.5100000016
趨勢值,0.1163763310

選擇檔數,4
找到最佳解世代,1832
找到最佳解實驗,1
Stock#,BA,HD,MCD,UNH,
分配資金,2500000,2500000,2500000,2500000,
張數,46537,89285,39345,87108,
剩餘資金,32.3600000001,20.0000000000,18.7000000000,0.4000000001,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000019,
FS(2),2502792.2199999997,2529464.0499999998,2459081.2000000002,2464285.7199999997,9955623.1900000013,
FS(3),2502326.8500000001,2493750.0499999998,2438228.3500000001,2380662.0399999996,9814967.2900000010,
FS(4),2544675.5200000000,2507142.7999999998,2423277.2500000005,2391986.0800000001,9867081.6500000004,
FS(5),2597727.6999999997,2519642.6999999997,2436654.5500000003,2465156.7999999998,10019181.7500000000,
FS(6),2590281.7799999998,2470535.9500000002,2384719.1500000004,2479094.0800000001,9924630.9600000009,
FS(7),2581439.7500000000,2459821.7500000000,2384325.7000000002,2482578.3999999999,9908165.6000000015,
FS(8),2560032.7300000000,2499107.1499999999,2402030.9500000002,2640243.8799999999,10101414.7100000009,
FS(9),2587489.5600000001,2543749.6499999999,2426031.3999999999,2655052.2399999998,10212322.8500000015,
FS(10),2608431.2100000000,2577677.9500000002,2444917.0000000000,2695993.0000000000,10327019.1600000001,
FS(11),2590747.1499999999,2591070.7000000002,2439408.7000000002,2728222.9600000000,10349449.5100000016,
FS(12),2565617.1699999999,2585713.6000000001,2455933.6000000001,2804878.0000000000,10412142.3700000010,
FS(13),2534902.7500000000,2571428.0000000000,2436261.1000000001,2771776.9600000000,10314368.8100000024,
FS(14),2486969.6399999997,2558035.2500000000,2446097.3500000001,2747386.7199999997,10238488.9600000009,
FS(15),2526991.4600000000,2585713.6000000001,2465376.3999999999,2802264.7600000002,10380346.2200000007,
FS(16),2564221.0600000001,2615177.6499999999,2477573.3500000001,2815330.9600000000,10472303.0200000014,
FS(17),2557705.8799999999,2589285.0000000000,2492917.9000000004,2754355.3599999999,10394264.1400000006,
FS(18),2581905.1199999996,2604463.4500000002,2495278.6000000001,2759581.8399999999,10441229.0100000016,
