代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12290688.6400000006
真實報酬,2290688.6400000006
趨勢值,0.0847897193

選擇檔數,1
找到最佳解世代,2035
找到最佳解實驗,1
Stock#,AAPL,
分配資金,10000000,
張數,334896,
剩餘資金,5.4400000002,
FS(1),10000000.0000000000,10000000.0000000000,
FS(2),9993302.0800000001,9993302.0800000001,
FS(3),10013395.8399999999,10013395.8399999999,
FS(4),10080375.0399999991,10080375.0399999991,
FS(5),10475552.3200000003,10475552.3200000003,
FS(6),10482250.2400000002,10482250.2400000002,
FS(7),10669792.0000000000,10669792.0000000000,
FS(8),10756864.9599999990,10756864.9599999990,
FS(9),10787005.5999999996,10787005.5999999996,
FS(10),10840588.9599999990,10840588.9599999990,
FS(11),10709979.5199999996,10709979.5199999996,
FS(12),10736771.2000000011,10736771.2000000011,
FS(13),10723375.3600000013,10723375.3600000013,
FS(14),10746818.0800000001,10746818.0800000001,
FS(15),10632953.4399999995,10632953.4399999995,
FS(16),10753516.0000000000,10753516.0000000000,
FS(17),10924312.9599999990,10924312.9599999990,
FS(18),10974547.3600000013,10974547.3600000013,
FS(19),10843937.9199999999,10843937.9199999999,
FS(20),11048224.4800000004,11048224.4800000004,
FS(21),11118552.6400000006,11118552.6400000006,
FS(22),11282651.6799999978,11282651.6799999978,
FS(23),11242464.1600000001,11242464.1600000001,
FS(24),11289349.5999999996,11289349.5999999996,
FS(25),11409912.1600000001,11409912.1600000001,
FS(26),11460146.5599999987,11460146.5599999987,
FS(27),11510380.9599999990,11510380.9599999990,
FS(28),11480240.3200000003,11480240.3200000003,
FS(29),11567313.2799999993,11567313.2799999993,
FS(30),11590756.0000000000,11590756.0000000000,
FS(31),11597453.9199999999,11597453.9199999999,
FS(32),11754855.0399999991,11754855.0399999991,
FS(33),11908907.2000000011,11908907.2000000011,
FS(34),11835230.0800000001,11835230.0800000001,
FS(35),11821834.2399999984,11821834.2399999984,
FS(36),11701271.6799999978,11701271.6799999978,
FS(37),12401204.3200000003,12401204.3200000003,
FS(38),12749496.1600000001,12749496.1600000001,
FS(39),12957131.6799999978,12957131.6799999978,
FS(40),12893501.4399999995,12893501.4399999995,
FS(41),12535162.7199999988,12535162.7199999988,
FS(42),12515068.9599999990,12515068.9599999990,
FS(43),12853313.9199999999,12853313.9199999999,
FS(44),12491626.2399999984,12491626.2399999984,
FS(45),12742798.2399999984,12742798.2399999984,
FS(46),12374412.6400000006,12374412.6400000006,
FS(47),12247152.1600000001,12247152.1600000001,
FS(48),11781646.7199999988,11781646.7199999988,
FS(49),11282651.6799999978,11282651.6799999978,
FS(50),12150032.3200000003,12150032.3200000003,
FS(51),12273943.8399999999,12273943.8399999999,
FS(52),12538511.6799999978,12538511.6799999978,
FS(53),12361016.7999999989,12361016.7999999989,
FS(54),12143334.3999999985,12143334.3999999985,
FS(55),12163428.1600000001,12163428.1600000001,
FS(56),12073006.2399999984,12073006.2399999984,
FS(57),11882115.5199999977,11882115.5199999977,
FS(58),11376422.5599999987,11376422.5599999987,
FS(59),11594104.9599999990,11594104.9599999990,
FS(60),11805089.4399999995,11805089.4399999995,
FS(61),11731412.3200000003,11731412.3200000003,
FS(62),11677828.9599999990,11677828.9599999990,
FS(63),12119891.6799999978,12119891.6799999978,
FS(64),12290688.6400000006,12290688.6400000006,
