代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11780434.8600000013
真實報酬,1780434.8600000013
趨勢值,0.2383344774

選擇檔數,2
找到最佳解世代,2615
找到最佳解實驗,1
Stock#,MCD,VZ,
分配資金,5000000,5000000,
張數,74951,190114,
剩餘資金,18.7900000005,1.7999999999,
FS(1),5000000.0000000000,5000000.0000000000,10000000.0000000000,
FS(2),4957277.9299999997,5096958.1399999997,10054236.0699999984,
FS(3),4955029.4000000004,5058935.3399999999,10013964.7400000002,
FS(4),5044970.6000000006,5041825.0800000001,10086795.6799999997,
FS(5),5173136.8099999996,5091254.7199999997,10264391.5299999993,
FS(6),5188127.0099999998,5066539.8999999994,10254666.9100000001,
FS(7),5242091.7299999995,5036121.6599999992,10278213.3899999987,
FS(8),5309547.6299999999,5112167.2599999998,10421714.8900000006,
FS(9),5314044.6900000004,5102661.5599999996,10416706.2500000000,
FS(10),5346273.6200000001,5095057.0000000000,10441330.6199999992,
FS(11),5242091.7299999995,5074144.4600000000,10316236.1899999995,
FS(12),5239843.2000000002,5079847.8799999999,10319691.0800000001,
FS(13),5311796.1600000001,5070342.1799999997,10382138.3399999999,
FS(14),5254833.4000000004,5041825.0800000001,10296658.4800000004,
FS(15),5351520.1900000004,5133079.7999999998,10484599.9900000002,
FS(16),5239093.6900000004,5326996.0800000001,10566089.7699999996,
FS(17),5311796.1600000001,5376425.7199999997,10688221.8800000008,
FS(18),5276569.1900000004,5435361.0599999996,10711930.2500000000,
FS(19),5229350.0599999996,5496197.5400000000,10725547.5999999996,
FS(20),5200119.1699999999,5490494.1199999992,10690613.2899999991,
FS(21),5226352.0200000005,5524714.6399999997,10751066.6600000001,
FS(22),5265326.5400000000,5619771.6399999997,10885098.1799999997,
FS(23),5280316.7400000002,5615969.3599999994,10896286.0999999996,
FS(24),5298304.9799999995,5589353.3999999994,10887658.3799999990,
FS(25),5280316.7400000002,5617870.5000000000,10898187.2400000002,
FS(26),5377003.5299999993,5617870.5000000000,10994874.0299999993,
FS(27),5465445.7100000000,5676805.8399999999,11142251.5499999989,
FS(28),5459449.6299999999,5707224.0800000001,11166673.7099999990,
FS(29),5364261.8599999994,5619771.6399999997,10984033.4999999981,
FS(30),5400987.8500000006,5764258.2800000003,11165246.1300000008,
FS(31),5388246.1799999997,5709125.2199999997,11097371.4000000004,
FS(32),5380751.0800000001,5695817.2400000002,11076568.3200000003,
FS(33),5487931.0099999998,5735741.1799999997,11223672.1899999995,
FS(34),5490179.5400000000,5731938.8999999994,11222118.4399999995,
FS(35),5469193.2599999998,5631178.4800000004,11100371.7400000002,
FS(36),5477437.8700000001,5583649.9800000004,11061087.8499999996,
FS(37),5496925.1299999999,5591254.5400000000,11088179.6699999999,
FS(38),5450455.5099999998,5602661.3799999999,11053116.8899999987,
FS(39),5485682.4799999995,5638783.0400000000,11124465.5199999996,
FS(40),5483433.9500000002,5608364.7999999998,11091798.7500000000,
FS(41),5545643.2799999993,5673003.5599999996,11218646.8399999999,
FS(42),5451954.5299999993,5596957.9600000000,11048912.4900000002,
FS(43),5475938.8500000006,5614068.2199999997,11090007.0700000003,
FS(44),5586866.3300000001,5752851.4400000004,11339717.7699999996,
FS(45),5622842.8099999996,5724334.3399999999,11347177.1499999985,
FS(46),5628089.3799999999,5741444.5999999996,11369533.9800000004,
FS(47),5681304.5899999999,5745246.8799999999,11426551.4699999988,
FS(48),5702290.8700000001,5790874.2400000002,11493165.1099999994,
FS(49),5574124.6600000001,5863117.5599999996,11437242.2200000007,
FS(50),5622093.3000000007,5859315.2800000003,11481408.5800000001,
FS(51),5589114.8599999994,5874524.3999999994,11463639.2599999998,
FS(52),5541895.7299999995,5876425.5400000000,11418321.2699999996,
FS(53),5599608.0000000000,5929657.4600000000,11529265.4600000009,
FS(54),5606353.5899999999,5973383.6799999997,11579737.2699999996,
FS(55),5570377.1099999994,6022813.3199999994,11593190.4299999997,
FS(56),5629588.4000000004,6100760.0600000005,11730348.4600000009,
FS(57),5659568.8000000007,6144486.2800000003,11804055.0800000001,
FS(58),5631087.4199999999,6157794.2599999998,11788881.6799999997,
FS(59),5594361.4299999997,6115969.1799999997,11710330.6099999994,
FS(60),5628838.8899999997,6205322.7599999998,11834161.6500000004,
FS(61),5603355.5500000007,6247147.8399999999,11850503.3900000006,
FS(62),5593611.9199999999,6220531.8799999999,11814143.7999999989,
FS(63),5580120.7400000002,6209125.0399999991,11789245.7799999993,
FS(64),5584617.8000000007,6195817.0600000005,11780434.8600000013,
