代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11512115.3900000006
真實報酬,1512115.3900000006
趨勢值,0.3133982816

選擇檔數,4
找到最佳解世代,1842
找到最佳解實驗,1
Stock#,INTC,KO,NKE,XOM,
分配資金,2500000,2500000,2500000,2500000,
張數,137816,87229,138657,41044,
剩餘資金,17.7599999999,16.8600000000,14.2899999998,9.9600000001,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,9999999.9999999981,
FS(2),2519294.2399999998,2502616.8700000001,2529117.9699999997,2506156.6000000001,10057185.6799999997,
FS(3),2539966.6399999997,2510467.4800000000,2573488.2100000000,2516828.0400000000,10140750.3699999992,
FS(4),2497243.6799999997,2513956.6399999997,2566555.3600000003,2485224.1599999997,10062979.8399999999,
FS(5),2466924.1599999997,2522679.5400000000,2570715.0699999998,2493432.9600000000,10053751.7299999986,
FS(6),2480705.7599999998,2542742.2100000000,2562395.6499999999,2505746.1599999997,10091589.7799999993,
FS(7),2476571.2799999998,2552337.3999999999,2556849.3700000001,2511902.7600000002,10097660.8100000005,
FS(8),2557882.7199999997,2531402.4399999999,2588740.4800000004,2503693.9600000000,10181719.5999999996,
FS(9),2582689.5999999996,2512212.0600000001,2609539.0300000003,2504104.3999999999,10208545.0899999999,
FS(10),2579933.2799999998,2504361.4499999997,2653909.2700000000,2503693.9600000000,10241897.9599999990,
FS(11),2614387.2799999998,2508722.8999999999,2656682.4100000001,2502462.6400000001,10282255.2300000004,
FS(12),2592336.7199999997,2510467.4800000000,2678867.5300000003,2494664.2799999998,10276336.0099999998,
FS(13),2608874.6399999997,2528785.5699999998,2716304.9199999999,2526268.1599999997,10380233.2899999991,
FS(14),2637816.0000000000,2534891.5999999996,2692733.2300000004,2525857.7199999997,10391298.5500000007,
FS(15),2619899.9199999999,2540125.3399999999,2680254.0999999996,2522163.7600000002,10362443.1199999992,
FS(16),2615765.4399999999,2524424.1200000001,2692733.2300000004,2509850.5600000001,10342773.3499999996,
FS(17),2676404.4800000000,2556698.8499999996,2757902.0200000000,2534476.9600000000,10525482.3100000005,
FS(18),2651597.5999999996,2555826.5600000001,2742649.7500000000,2532835.2000000002,10482909.1099999994,
FS(19),2688807.9199999999,2577633.8100000001,2795339.4100000001,2547200.6000000001,10608981.7400000002,
FS(20),2651597.5999999996,2562804.8799999999,2770381.1499999999,2527909.9199999999,10512693.5499999989,
FS(21),2646084.9599999995,2552337.3999999999,2778700.5699999998,2536118.7199999997,10513241.6500000004,
FS(22),2662622.8799999999,2578506.0999999996,2781473.7100000000,2566901.7199999997,10589504.4100000001,
FS(23),2600605.6799999997,2568038.6200000001,2768994.5800000001,2552536.3199999998,10490175.1999999993,
FS(24),2639194.1599999997,2602057.9299999997,2818911.0999999996,2596453.3999999999,10656616.5899999980,
FS(25),2651597.5999999996,2606419.3799999999,2811978.2500000000,2615333.6400000001,10685328.8699999992,
FS(26),2673648.1599999997,2592462.7399999998,2807818.5400000000,2620669.3599999999,10694598.7999999989,
FS(27),2690186.0799999996,2591590.4499999997,2843869.3600000003,2642422.6799999997,10768068.5700000003,
FS(28),2695698.7199999997,2597696.4800000000,2842482.7900000000,2649400.1599999997,10785278.1499999985,
FS(29),2724640.0799999996,2599441.0600000001,2838323.0800000001,2655556.7600000002,10817960.9799999986,
FS(30),2651597.5999999996,2614269.9899999998,2843869.3600000003,2669511.7200000002,10779248.6699999999,
FS(31),2662622.8799999999,2613397.6999999997,2834163.3700000001,2680183.1599999997,10790367.1099999994,
FS(32),2662622.8799999999,2614269.9899999998,2842482.7900000000,2675668.3199999998,10795043.9799999986,
FS(33),2644706.7999999998,2616886.8599999999,2831390.2300000004,2720406.2799999998,10813390.1699999999,
FS(34),2647463.1200000001,2631715.7900000000,2798112.5499999998,2672795.2400000002,10750086.6999999993,
FS(35),2706724.0000000000,2667479.6799999997,2816137.9600000000,2709324.4000000004,10899666.0399999991,
FS(36),2723261.9199999999,2681436.3199999998,2846642.5000000000,2722048.0399999996,10973388.7799999993,
FS(37),2734287.1999999997,2687542.3499999996,2839709.6499999999,2722868.9199999999,10984408.1199999992,
FS(38),2738421.6799999997,2661373.6499999999,2843869.3600000003,2717122.7600000002,10960787.4499999993,
FS(39),2761850.3999999994,2670968.8399999999,2835549.9399999999,2730667.2799999998,10999036.4599999990,
FS(40),2782522.7999999998,2669224.2599999998,2809205.1100000003,2695369.4399999999,10956321.6099999994,
FS(41),2821111.2799999998,2670096.5499999998,2811978.2500000000,2717943.6400000001,11021129.7199999988,
FS(42),2763228.5600000001,2674458.0000000000,2823070.8100000001,2729025.5199999996,10989782.8899999987,
FS(43),2834892.8799999999,2691903.7999999998,2810591.6800000002,2747905.7600000002,11085294.1199999992,
FS(44),2803195.1999999997,2698009.8300000001,2834163.3700000001,2784434.9199999999,11119803.3200000003,
FS(45),2822489.4399999999,2702371.2799999998,2836936.5100000002,2789770.6400000001,11151567.8699999992,
