代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11510718.3000000007
真實報酬,1510718.3000000007
趨勢值,0.2869027571

選擇檔數,4
找到最佳解世代,1681
找到最佳解實驗,1
Stock#,CAT,DIS,KO,XOM,
分配資金,2500000,2500000,2500000,2500000,
張數,31961,74985,84573,39974,
剩餘資金,10.5800000000,0.0999999997,22.1200000001,26.0400000000,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2469637.0499999998,2485002.9999999995,2489851.2400000002,2486009.1000000001,9930500.3900000006,
FS(3),2537713.9800000004,2536742.6499999994,2522834.7100000000,2528781.2799999998,10126072.6199999992,
FS(4),2520455.0400000000,2515746.8499999996,2527063.3599999999,2547169.3199999998,10110434.5700000003,
FS(5),2516619.7199999997,2542741.4499999993,2513531.6800000002,2552365.9399999999,10125258.7899999991,
FS(6),2568716.1500000004,2587732.4499999993,2512685.9500000002,2573552.1599999997,10242686.7099999990,
FS(7),2556251.3600000003,2592231.5499999998,2518606.0600000001,2580347.7399999998,10247436.7100000009,
FS(8),2535796.3200000003,2585482.8999999994,2520297.5200000000,2586343.8400000003,10227920.5800000001,
FS(9),2566159.2700000005,2617726.4499999993,2534674.9300000002,2599935.0000000005,10318495.6500000004,
FS(10),2554014.0899999999,2613227.3499999996,2533829.2000000002,2610328.2399999998,10311398.8799999990,
FS(11),2548900.3300000001,2615476.8999999999,2534674.9300000002,2605931.1000000001,10304983.2599999998,
FS(12),2564561.2199999997,2605728.8499999996,2537212.1200000001,2649502.7600000002,10357004.9499999993,
FS(13),2510547.1299999999,2567486.5000000000,2551589.5300000003,2603132.9200000004,10232756.0800000001,
FS(14),2567118.0999999996,2595980.7999999993,2586264.4600000000,2638709.7800000003,10388073.1399999987,
FS(15),2521413.8700000001,2600479.8999999994,2599796.1400000001,2651101.7199999997,10372791.6299999990,
FS(16),2503515.7100000000,2622225.5499999993,2605716.2500000000,2651901.2000000002,10383358.7099999990,
FS(17),2526527.6299999999,2658968.1999999997,2580344.3500000001,2646304.8400000003,10412145.0199999996,
FS(18),2513743.2300000004,2696460.6999999997,2589647.3800000004,2659496.2600000002,10459347.5700000003,
FS(19),2500000.0000000000,2693461.2999999998,2587955.9200000004,2625118.6200000001,10406535.8399999999,
FS(20),2484658.7199999997,2737702.4499999993,2588801.6499999999,2647104.3199999998,10458267.1399999987,
