代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11692298.8399999999
真實報酬,1692298.8399999999
趨勢值,0.2573968051

選擇檔數,3
找到最佳解世代,3175
找到最佳解實驗,1
Stock#,CAT,DIS,XOM,
分配資金,3333333,3333333,3333333,
張數,42050,92515,49788,
剩餘資金,29.5000000002,17.5499999999,26.3999999999,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3353517.0000000000,3340734.1999999997,3377644.3200000003,10071896.5199999996,
FS(3),3358983.5000000000,3357386.8999999999,3384116.7599999998,10100488.1599999983,
FS(4),3497748.5000000005,3425848.0000000000,3454317.8399999999,10377915.3399999999,
FS(5),3512886.5000000005,3441575.5500000003,3485186.3999999999,10439649.4499999993,
FS(6),3495225.5000000000,3428623.4500000002,3501118.5599999996,10424968.5099999998,
FS(7),3444345.0000000000,3410120.4499999997,3516552.8399999999,10371019.2899999991,
FS(8),3467472.4999999995,3422147.3999999999,3541446.8399999999,10431067.7399999984,
FS(9),3466631.5000000000,3324081.5000000000,3576298.4399999999,10367012.4399999995,
FS(10),3407761.5000000005,3492458.7999999998,3534476.5199999996,10434697.8199999984,
FS(11),3440560.4999999995,3446201.2999999998,3509084.6400000001,10395847.4399999995,
FS(12),3379588.0000000000,3415671.3500000001,3432411.1199999996,10227671.4699999988,
FS(13),3413228.0000000000,3443425.8499999996,3435896.2800000003,10292551.1299999990,
FS(14),3494805.0000000000,3476731.2499999995,3500620.6800000002,10472157.9299999997,
FS(15),3530968.0000000000,3423997.6999999997,3512071.9200000004,10467038.6199999992,
FS(16),3532229.5000000000,3418446.8000000003,3494646.1199999996,10445323.4199999999,
FS(17),3474621.0000000000,3341659.3499999996,3434402.6400000001,10250683.9899999984,
FS(18),3561244.0000000000,3411045.5999999996,3479211.8399999999,10451502.4399999995,
FS(19),3537696.0000000000,3395318.0500000003,3446849.6400000001,10379864.6899999995,
