代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11873169.6099999994
真實報酬,1873169.6099999994
趨勢值,0.4744048752

選擇檔數,4
找到最佳解世代,2798
找到最佳解實驗,1
Stock#,CVX,JPM,MMM,XOM,
分配資金,2500000,2500000,2500000,2500000,
張數,30229,65530,29052,35048,
剩餘資金,61.6999999999,30.5000000001,75.4000000001,26.1600000001,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2554412.1999999997,2576014.8000000003,2513363.9199999999,2505257.2000000002,10149048.1200000010,
FS(3),2566201.5099999998,2595673.7999999998,2525856.2799999998,2495093.2800000003,10182824.8699999992,
FS(4),2568015.2500000000,2615332.7999999998,2524113.1599999997,2499299.0400000000,10206760.2500000000,
FS(5),2608824.3999999994,2572083.0000000000,2445963.2799999998,2504556.2399999998,10131426.9199999981,
FS(6),2603987.7599999998,2638268.2999999998,2460198.7600000002,2518224.9600000000,10220679.7799999993,
FS(7),2619404.5499999998,2674309.8000000003,2443639.1200000001,2523482.1600000001,10260835.6300000008,
FS(8),2630891.5699999998,2714938.3999999999,2449740.0399999996,2529790.8000000003,10325360.8100000005,
FS(9),2671398.4299999997,2720180.7999999998,2478211.0000000000,2536099.4399999999,10405889.6699999999,
FS(10),2671700.7199999997,2672999.1999999997,2493899.0800000001,2529790.8000000003,10368389.7999999989,
FS(11),2660515.9899999998,2634991.8000000003,2493027.5200000000,2518224.9600000000,10306760.2699999996,
FS(12),2692256.4399999999,2621885.7999999998,2510168.2000000002,2531192.7200000002,10355503.1600000001,
FS(13),2675025.9099999997,2599605.6000000001,2509296.6400000001,2529440.3200000003,10313368.4700000007,
FS(14),2684396.8999999994,2617954.0000000000,2537477.0800000001,2531192.7200000002,10371020.6999999993,
FS(15),2697395.3699999996,2686760.5000000000,2513944.9600000000,2548716.7200000002,10446817.5499999989,
FS(16),2718253.3799999999,2762775.2999999998,2519464.8399999999,2551520.5600000001,10552014.0800000001,
FS(17),2741227.4199999999,2757532.8999999999,2512201.8399999999,2565539.7600000002,10576501.9199999999,
FS(18),2724299.1799999997,2796195.6000000001,2527889.9199999999,2558880.6400000001,10607265.3399999999,
FS(19),2756644.2099999995,2792263.7999999998,2520045.8799999999,2573250.3200000003,10642204.2099999990,
FS(20),2762085.4299999997,2775881.2999999998,2520626.9199999999,2571497.9200000004,10630091.5700000003,
FS(21),2769038.0999999996,2767362.3999999999,2514235.4800000000,2571147.4399999999,10621783.4199999999,
FS(22),2758457.9499999997,2779813.1000000001,2507263.0000000000,2562735.9200000004,10608269.9700000007,
FS(23),2779315.9599999995,2855827.8999999999,2521498.4800000000,2612854.5600000001,10769496.8999999985,
FS(24),2769038.0999999996,2893835.2999999998,2518012.2399999998,2625121.3600000003,10806007.0000000000,
FS(25),2764201.4599999995,2929221.5000000000,2518012.2399999998,2618111.7600000002,10829546.9599999990,
FS(26),2741529.7099999995,2914804.8999999999,2502614.6799999997,2634934.8000000003,10793884.0899999999,
FS(27),2756644.2099999995,2859759.7000000002,2505229.3599999999,2649304.4800000004,10770937.7500000000,
FS(28),2733065.5899999994,2844032.5000000000,2531957.2000000002,2633182.3999999999,10742237.6899999995,
FS(29),2775990.7699999996,2857138.5000000000,2549097.8799999999,2652809.2800000003,10835036.4299999997,
FS(30),2794732.7500000000,2929876.8000000003,2575825.7199999997,2684002.0000000000,10984437.2700000014,
FS(31),2786570.9199999999,2912839.0000000000,2557813.4800000000,2688558.2399999998,10945781.6400000006,
FS(32),2806219.7699999996,2942982.7999999998,2559556.5999999996,2728162.4800000004,11036921.6499999985,
FS(33),2821938.8499999996,2932498.0000000000,2560718.6799999997,2758654.2399999998,11073809.7699999996,
FS(34),2810451.8299999996,2864346.8000000003,2555489.3199999998,2742181.6800000002,10972469.6299999990,
FS(35),2802592.2899999996,2932498.0000000000,2557813.4800000000,2725008.1600000001,11017911.9299999997,
FS(36),2834937.3199999998,2967884.1999999997,2594128.4800000000,2768117.2000000002,11165067.2000000011,
FS(37),2844610.5999999996,2950191.1000000001,2624052.0399999996,2754448.4800000004,11173302.2200000007,
FS(38),2844006.0199999996,2940361.5999999996,2571177.3999999999,2757602.8000000003,11113147.8200000003,
FS(39),2860934.2599999998,2947569.8999999999,2602263.0399999996,2791949.8399999999,11202717.0399999991,
FS(40),2864259.4499999997,2955433.5000000000,2591223.2799999998,2799660.3999999999,11210576.6300000008,
FS(41),2822543.4299999997,2918736.6999999997,2540382.2799999998,2768467.6800000002,11050130.0899999999,
FS(42),2869700.6699999999,2944948.6999999997,2554327.2399999998,2827698.8000000003,11196675.4100000001,
FS(43),2908696.0799999996,3009823.3999999999,2550550.4800000000,2940903.8399999999,11409973.8000000007,
FS(44),2916555.6199999996,2978369.0000000000,2549388.3999999999,2923379.8399999999,11367692.8599999994,
FS(45),2941645.6899999999,2979024.3000000003,2555198.7999999998,2924431.2800000003,11400300.0699999984,
FS(46),2935599.8899999997,2922013.2000000002,2565076.4800000000,2918823.6000000001,11341513.1699999999,
FS(47),2952225.8399999994,2981645.5000000000,2579602.4800000000,2941604.8000000003,11455078.6200000010,
