代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11582583.5299999993
真實報酬,1582583.5299999993
趨勢值,0.2000479408

選擇檔數,2
找到最佳解世代,2243
找到最佳解實驗,1
Stock#,AXP,PFE,
分配資金,5000000,5000000,
張數,115874,261233,
剩餘資金,36.9000000002,0.3799999999,
FS(1),5000000.0000000000,5000000.0000000000,10000000.0000000000,
FS(2),4984936.3800000008,5013061.6500000004,9997998.0299999993,
FS(3),5133255.0999999996,5164576.7900000000,10297831.8899999987,
FS(4),5066048.1800000006,5135841.1600000001,10201889.3399999999,
FS(5),5064889.4400000004,5122779.5099999998,10187668.9499999993,
FS(6),5242176.6600000001,5141065.8199999994,10383242.4799999986,
FS(7),5220160.5999999996,5135841.1600000001,10356001.7599999979,
FS(8),5100810.3800000008,5057471.2599999998,10158281.6399999987,
FS(9),5130937.6200000001,5086206.8899999997,10217144.5099999979,
FS(10),5088064.2400000002,5175026.1099999994,10263090.3499999996,
FS(11),5056778.2600000007,5161964.4600000000,10218742.7200000007,
FS(12),4908459.5400000000,5041797.2800000003,9950256.8199999984,
FS(13),5031285.9800000004,5193312.4199999999,10224598.3999999985,
FS(14),5118191.4800000004,5271682.3199999994,10389873.7999999989,
FS(15),5135572.5800000001,5219435.7199999997,10355008.2999999989,
FS(16),5185398.4000000004,5208986.4000000004,10394384.7999999989,
FS(17),5216684.3800000008,5203761.7400000002,10420446.1200000010,
FS(18),5282732.5600000005,5303030.2800000003,10585762.8399999999,
FS(19),5282732.5600000005,5316091.9300000006,10598824.4900000002,
FS(20),5297796.1800000006,5295193.2900000000,10592989.4699999988,
FS(21),5289685.0000000000,5323928.9199999999,10613613.9199999981,
FS(22),5319812.2400000002,5313479.5999999996,10633291.8399999999,
FS(23),5237541.7000000011,5305642.6099999994,10543184.3100000005,
FS(24),5256081.5400000000,5323928.9199999999,10580010.4599999990,
FS(25),5263033.9800000004,5365726.1999999993,10628760.1799999997,
FS(26),5263033.9800000004,5342215.2299999995,10605249.2099999990,
FS(27),5362685.6200000001,5300417.9499999993,10663103.5699999984,
FS(28),5348780.7400000002,5310867.2699999996,10659648.0099999979,
FS(29),5362685.6200000001,5344827.5600000005,10707513.1799999997,
FS(30),5374273.0200000005,5399686.4900000002,10773959.5099999998,
FS(31),5332558.3800000008,5344827.5600000005,10677385.9399999995,
FS(32),5341828.3000000007,5344827.5600000005,10686655.8599999994,
FS(33),5316336.0200000005,5352664.5499999998,10669000.5699999984,
FS(34),5359209.4000000004,5363113.8700000001,10722323.2699999996,
FS(35),5337193.3400000008,5329153.5799999991,10666346.9199999999,
FS(36),5404400.2600000007,5363113.8700000001,10767514.1300000008,
FS(37),5446114.9000000004,5326541.2500000000,10772656.1500000004,
FS(38),5458861.0400000000,5169801.4499999993,10628662.4899999984,
FS(39),5451908.5999999996,5261233.0000000000,10713141.5999999996,
FS(40),5457702.3000000007,5274294.6500000004,10731996.9499999993,
FS(41),5517956.7800000003,5389237.1699999999,10907193.9499999993,
FS(42),5622243.3800000008,5441483.7699999996,11063727.1499999985,
FS(43),5687132.8200000003,5478056.3899999997,11165189.2099999990,
FS(44),5753181.0000000000,5491118.0400000000,11244299.0399999991,
FS(45),5782149.5000000000,5339602.9000000004,11121752.3999999985,
FS(46),5758974.7000000011,5391849.5000000000,11150824.2000000011,
FS(47),5738117.3800000008,5326541.2500000000,11064658.6300000008,
FS(48),5816911.7000000011,5368338.5300000003,11185250.2300000004,
FS(49),5815752.9600000000,5381400.1800000006,11197153.1399999987,
FS(50),5813435.4800000004,5449320.7599999998,11262756.2399999984,
FS(51),5774038.3200000003,5384012.5099999998,11158050.8299999982,
FS(52),5740434.8600000003,5457157.7500000000,11197592.6099999994,
FS(53),5734641.1600000001,5464994.7400000002,11199635.9000000004,
FS(54),5801848.0800000001,5480668.7199999997,11282516.7999999989,
FS(55),5881801.1400000006,5522466.0000000000,11404267.1400000006,
FS(56),5916563.3400000008,5532915.3199999994,11449478.6600000001,
FS(57),6004627.5800000001,5493730.3700000001,11498357.9499999993,
FS(58),5931626.9600000000,5404911.1500000004,11336538.1099999994,
FS(59),5923515.7800000003,5378787.8499999996,11302303.6299999990,
FS(60),5858626.3400000008,5360501.5400000000,11219127.8799999990,
FS(61),5841245.2400000002,5428422.1200000001,11269667.3599999994,
FS(62),5872531.2200000007,5459770.0799999991,11332301.2999999989,
FS(63),5924674.5200000005,5467607.0699999994,11392281.5899999999,
FS(64),5979135.3000000007,5603448.2299999995,11582583.5299999993,
