代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10996942.2400000002
真實報酬,996942.2400000002
趨勢值,0.1254367896

選擇檔數,1
找到最佳解世代,2031
找到最佳解實驗,1
Stock#,MCD,
分配資金,10000000,
張數,127161,
剩餘資金,58.9599999999,
FS(1),10000000.0000000000,10000000.0000000000,
FS(2),10038148.2999999989,10038148.2999999989,
FS(3),10054679.2299999986,10054679.2299999986,
FS(4),9994913.5599999987,9994913.5599999987,
FS(5),10007629.6600000001,10007629.6600000001,
FS(6),10085197.8699999992,10085197.8699999992,
FS(7),10136062.2699999977,10136062.2699999977,
FS(8),10110630.0700000003,10110630.0700000003,
FS(9),10256865.2199999988,10256865.2199999988,
FS(10),10267038.0999999978,10267038.0999999978,
FS(11),10317902.5000000000,10317902.5000000000,
FS(12),10291198.6899999995,10291198.6899999995,
FS(13),10363680.4599999990,10363680.4599999990,
FS(14),10492113.0700000003,10492113.0700000003,
FS(15),10469224.0899999980,10469224.0899999980,
FS(16),10490841.4599999990,10490841.4599999990,
FS(17),10508644.0000000000,10508644.0000000000,
FS(18),10518816.8799999990,10518816.8799999990,
FS(19),10481940.1899999995,10481940.1899999995,
FS(20),10378939.7799999993,10378939.7799999993,
FS(21),10368766.9000000004,10368766.9000000004,
FS(22),10297556.7400000002,10297556.7400000002,
FS(23),10268309.7099999990,10268309.7099999990,
FS(24),10241605.9000000004,10241605.9000000004,
FS(25),10261951.6600000001,10261951.6600000001,
FS(26),10317902.5000000000,10317902.5000000000,
FS(27),10319174.1099999994,10319174.1099999994,
FS(28),10333161.8200000003,10333161.8200000003,
FS(29),10218716.9199999981,10218716.9199999981,
FS(30),10265766.4900000002,10265766.4900000002,
FS(31),10359865.6299999990,10359865.6299999990,
FS(32),10330618.5999999978,10330618.5999999978,
FS(33),10403100.3699999992,10403100.3699999992,
FS(34),10493384.6799999978,10493384.6799999978,
FS(35),10515002.0499999989,10515002.0499999989,
FS(36),10528989.7599999979,10528989.7599999979,
FS(37),10509915.6099999994,10509915.6099999994,
FS(38),10464137.6500000004,10464137.6500000004,
FS(39),10406915.1999999993,10406915.1999999993,
FS(40),10467952.4799999986,10467952.4799999986,
FS(41),10726089.3099999987,10726089.3099999987,
FS(42),10754064.7299999986,10754064.7299999986,
FS(43),10722274.4799999986,10722274.4799999986,
FS(44),10891398.6099999994,10891398.6099999994,
FS(45),10890127.0000000000,10890127.0000000000,
FS(46),10918102.4199999981,10918102.4199999981,
FS(47),10943534.6199999992,10943534.6199999992,
FS(48),10885040.5599999987,10885040.5599999987,
FS(49),10853250.3099999987,10853250.3099999987,
FS(50),10807472.3499999978,10807472.3499999978,
FS(51),10803657.5199999977,10803657.5199999977,
FS(52),10911744.3699999992,10911744.3699999992,
FS(53),10869781.2400000002,10869781.2400000002,
FS(54),10859608.3599999994,10859608.3599999994,
FS(55),10962608.7699999977,10962608.7699999977,
FS(56),10970238.4299999978,10970238.4299999978,
FS(57),11004571.9000000004,11004571.9000000004,
FS(58),11261437.1199999992,11261437.1199999992,
FS(59),11205486.2799999993,11205486.2799999993,
FS(60),11192770.1799999978,11192770.1799999978,
FS(61),11074510.4499999993,11074510.4499999993,
FS(62),11035090.5399999991,11035090.5399999991,
FS(63),10996942.2400000002,10996942.2400000002,
