代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10416732.1600000001
真實報酬,416732.1600000001
趨勢值,0.0507013486

選擇檔數,1
找到最佳解世代,2576
找到最佳解實驗,1
Stock#,PG,
分配資金,10000000,
張數,162786,
剩餘資金,56.0200000000,
FS(1),10000000.0000000000,10000000.0000000000,
FS(2),9908839.8399999999,9908839.8399999999,
FS(3),9886049.7999999989,9886049.7999999989,
FS(4),9698845.8999999985,9698845.8999999985,
FS(5),9863259.7599999998,9863259.7599999998,
FS(6),9651637.9599999990,9651637.9599999990,
FS(7),9803028.9399999995,9803028.9399999995,
FS(8),9524664.8799999990,9524664.8799999990,
FS(9),9840469.7200000007,9840469.7200000007,
FS(10),9952792.0600000005,9952792.0600000005,
FS(11),10073253.6999999993,10073253.6999999993,
FS(12),10030929.3399999999,10030929.3399999999,
FS(13),10039068.6400000006,10039068.6400000006,
FS(14),9907211.9799999986,9907211.9799999986,
FS(15),9923490.5800000001,9923490.5800000001,
FS(16),10045580.0800000001,10045580.0800000001,
FS(17),10258829.7400000002,10258829.7400000002,
FS(18),10306037.6799999997,10306037.6799999997,
FS(19),10179064.5999999996,10179064.5999999996,
FS(20),10185576.0399999991,10185576.0399999991,
FS(21),10270224.7599999998,10270224.7599999998,
FS(22),10336967.0199999996,10336967.0199999996,
FS(23),10366268.5000000000,10366268.5000000000,
FS(24),10297898.3799999990,10297898.3799999990,
FS(25),10182320.3199999984,10182320.3199999984,
FS(26),10154646.6999999993,10154646.6999999993,
FS(27),10209993.9399999995,10209993.9399999995,
FS(28),10240923.2799999993,10240923.2799999993,
FS(29),10066742.2599999998,10066742.2599999998,
FS(30),10065114.3999999985,10065114.3999999985,
FS(31),10083020.8599999994,10083020.8599999994,
FS(32),10148135.2599999998,10148135.2599999998,
FS(33),10219761.0999999996,10219761.0999999996,
FS(34),10472079.3999999985,10472079.3999999985,
FS(35),10387430.6799999997,10387430.6799999997,
FS(36),10431382.8999999985,10431382.8999999985,
FS(37),10258829.7400000002,10258829.7400000002,
FS(38),9957675.6400000006,9957675.6400000006,
FS(39),9970698.5199999996,9970698.5199999996,
FS(40),10180692.4599999990,10180692.4599999990,
FS(41),10297898.3799999990,10297898.3799999990,
FS(42),10211621.7999999989,10211621.7999999989,
FS(43),10369524.2200000007,10369524.2200000007,
FS(44),10284875.5000000000,10284875.5000000000,
FS(45),10229528.2599999998,10229528.2599999998,
FS(46),10315804.8399999999,10315804.8399999999,
FS(47),10310921.2599999998,10310921.2599999998,
FS(48),10354873.4799999986,10354873.4799999986,
FS(49),10403709.2799999993,10403709.2799999993,
FS(50),10548588.8199999984,10548588.8199999984,
FS(51),10511148.0399999991,10511148.0399999991,
FS(52),10563239.5600000005,10563239.5600000005,
FS(53),10524170.9199999999,10524170.9199999999,
FS(54),10563239.5600000005,10563239.5600000005,
FS(55),10460684.3800000008,10460684.3800000008,
FS(56),10568123.1400000006,10568123.1400000006,
FS(57),10540449.5199999996,10540449.5199999996,
FS(58),10595796.7599999998,10595796.7599999998,
FS(59),10786256.3800000008,10786256.3800000008,
FS(60),10641376.8399999999,10641376.8399999999,
FS(61),10501380.8800000008,10501380.8800000008,
FS(62),10573006.7200000007,10573006.7200000007,
FS(63),10600680.3399999999,10600680.3399999999,
FS(64),10537193.8000000007,10537193.8000000007,
FS(65),10416732.1600000001,10416732.1600000001,
