代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12490151.0500000007
真實報酬,2490151.0500000007
趨勢值,0.2244569037

選擇檔數,1
找到最佳解世代,2352
找到最佳解實驗,1
Stock#,HD,
分配資金,10000000,
張數,281373,
剩餘資金,3.5800000002,
FS(1),10000000.0000000000,10000000.0000000000,
FS(2),10126617.8500000015,10126617.8500000015,
FS(3),10256049.4300000016,10256049.4300000016,
FS(4),10239167.0500000007,10239167.0500000007,
FS(5),10506471.4000000004,10506471.4000000004,
FS(6),10675295.1999999993,10675295.1999999993,
FS(7),10455824.2599999998,10455824.2599999998,
FS(8),10467079.1800000016,10467079.1800000016,
FS(9),10709059.9600000009,10709059.9600000009,
FS(10),10762520.8300000001,10762520.8300000001,
FS(11),10711873.6899999995,10711873.6899999995,
FS(12),10647157.9000000004,10647157.9000000004,
FS(13),10585255.8399999999,10585255.8399999999,
FS(14),10658412.8200000003,10658412.8200000003,
FS(15),10427686.9600000009,10427686.9600000009,
FS(16),10438941.8800000008,10438941.8800000008,
FS(17),10275745.5400000010,10275745.5400000010,
FS(18),10261676.8900000006,10261676.8900000006,
FS(19),10495216.4799999986,10495216.4799999986,
FS(20),10962295.6600000001,10962295.6600000001,
FS(21),11035452.6400000006,11035452.6400000006,
FS(22),11069217.4000000004,11069217.4000000004,
FS(23),11238041.1999999993,11238041.1999999993,
FS(24),11319639.3699999992,11319639.3699999992,
FS(25),11344962.9399999995,11344962.9399999995,
FS(26),11460325.8699999992,11460325.8699999992,
FS(27),11229600.0099999998,11229600.0099999998,
FS(28),11319639.3699999992,11319639.3699999992,
FS(29),11268992.2299999986,11268992.2299999986,
FS(30),11117050.8099999987,11117050.8099999987,
FS(31),11012942.8000000007,11012942.8000000007,
FS(32),11091727.2400000002,11091727.2400000002,
FS(33),11373100.2400000002,11373100.2400000002,
FS(34),11311198.1800000016,11311198.1800000016,
FS(35),11803600.9300000016,11803600.9300000016,
FS(36),11817669.5800000001,11817669.5800000001,
FS(37),11795159.7400000002,11795159.7400000002,
FS(38),11842993.1500000004,11842993.1500000004,
FS(39),11879571.6400000006,11879571.6400000006,
FS(40),11685424.2699999996,11685424.2699999996,
FS(41),11820483.3099999987,11820483.3099999987,
FS(42),11828924.5000000000,11828924.5000000000,
FS(43),11857061.8000000007,11857061.8000000007,
FS(44),12025885.6000000015,12025885.6000000015,
FS(45),12124366.1500000004,12124366.1500000004,
FS(46),12155317.1800000016,12155317.1800000016,
FS(47),12163758.3699999992,12163758.3699999992,
FS(48),12248170.2699999996,12248170.2699999996,
FS(49),12228474.1600000001,12228474.1600000001,
FS(50),12208778.0500000007,12208778.0500000007,
FS(51),12242542.8099999987,12242542.8099999987,
FS(52),12307258.6000000015,12307258.6000000015,
FS(53),12628023.8200000003,12628023.8200000003,
FS(54),12777151.5099999998,12777151.5099999998,
FS(55),12523915.8099999987,12523915.8099999987,
FS(56),12628023.8200000003,12628023.8200000003,
FS(57),12650533.6600000001,12650533.6600000001,
FS(58),12734945.5599999987,12734945.5599999987,
FS(59),12647719.9300000016,12647719.9300000016,
FS(60),12625210.0899999999,12625210.0899999999,
FS(61),12597072.7900000010,12597072.7900000010,
FS(62),12490151.0500000007,12490151.0500000007,
