代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11498736.2100000009
真實報酬,1498736.2100000009
趨勢值,0.4052734171

選擇檔數,7
找到最佳解世代,2329
找到最佳解實驗,1
Stock#,AAPL,HD,IBM,MCD,MSFT,PFE,TRV,
分配資金,1428571,1428571,1428571,1428571,1428571,1428571,1428571,
張數,25777,36313,7540,14958,56509,71321,25955,
剩餘資金,9.6600000000,17.5799999999,118.0000000001,82.0000000000,23.4799999999,11.3699999999,7.8000000000,
FS(1),1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,10000000.0000000000,
FS(2),1435015.2500000000,1450358.7999999998,1430154.3999999999,1431562.6000000001,1425180.4600000000,1418586.0599999998,1407807.0000000000,9998667.5699999984,
FS(3),1447130.4399999999,1460889.5699999998,1439051.6000000001,1426327.2999999998,1452304.7800000000,1415020.0099999998,1418967.6500000001,10059694.3499999996,
FS(4),1439655.1099999999,1464157.7399999998,1454885.6000000001,1436199.5800000001,1450044.4199999999,1442835.2000000000,1436617.0500000000,10124397.7000000011,
FS(5),1432695.3199999998,1479046.0699999998,1463255.0000000000,1442781.1000000001,1446653.8800000001,1459952.2399999998,1450892.3000000000,10175278.9100000001,
FS(6),1438624.0300000000,1449269.4099999997,1444631.2000000002,1449811.3600000001,1435352.0799999998,1439982.3599999999,1441288.9500000002,10098962.3900000006,
FS(7),1449450.3699999999,1460889.5699999998,1467100.3999999999,1466414.7400000000,1452304.7800000000,1466371.1299999999,1454006.9000000001,10216540.8900000006,
FS(8),1443006.1199999999,1454353.2299999997,1449155.2000000000,1473145.8400000001,1441568.0700000001,1454246.5599999998,1449075.4500000000,10164553.4700000007,
FS(9),1431664.2400000000,1434744.2099999997,1441389.0000000000,1465966.0000000000,1455695.3200000001,1480635.3300000001,1451670.9500000000,10161768.0500000007,
FS(10),1399958.5300000000,1421308.3999999999,1423066.8000000000,1460132.3799999999,1446088.7900000000,1487767.4299999999,1452709.1499999999,10091034.4800000004,
FS(11),1395318.6699999999,1431476.0399999998,1413717.2000000000,1468060.1200000001,1444393.5200000000,1507737.3099999998,1474511.3500000001,10135217.2100000009,
FS(12),1403051.7700000000,1467789.0399999998,1384235.8000000000,1458337.4199999999,1469257.4800000000,1499892.0000000000,1486710.2000000002,10169276.7100000009,
FS(13),1407433.8599999999,1459800.1799999999,1379108.5999999999,1454597.9199999999,1442698.2500000000,1507737.3099999998,1471915.8500000001,10123294.9700000025,
FS(14),1457956.7800000000,1523347.9299999999,1411907.6000000001,1478231.5599999998,1470952.7500000000,1530560.0300000000,1509291.0500000000,10382250.7000000011,
FS(15),1460018.9399999999,1525163.5799999998,1368401.8000000000,1483915.6000000001,1455695.3200000001,1546250.6499999999,1533688.7500000002,10373137.6399999987,
FS(16),1467752.0399999998,1522258.5399999998,1372699.5999999999,1474940.7999999998,1458520.7700000000,1542684.5999999999,1536284.2500000000,10375143.5999999996,
FS(17),1485280.3999999999,1528431.7500000000,1393133.0000000000,1498125.7000000002,1470952.7500000000,1556948.7999999998,1540437.0500000000,10473312.4500000011,
FS(18),1497137.8199999998,1533152.4399999997,1394641.0000000000,1504108.8999999999,1471517.8399999999,1552669.5399999998,1545108.9500000002,10498339.4900000021,
FS(19),1482702.7000000000,1508096.4700000000,1387402.6000000001,1489599.6399999999,1459085.8600000001,1535552.5000000000,1527719.1000000001,10390161.8700000010,
FS(20),1491724.6499999999,1525526.7099999997,1403915.2000000000,1507997.9800000000,1470387.6599999999,1548390.2800000000,1549002.2000000000,10496947.6800000016,
FS(21),1491466.8799999999,1526616.0999999999,1386573.2000000000,1500818.1399999999,1466997.1200000001,1543397.8099999998,1535765.1500000001,10451637.3999999985,
FS(22),1514408.4099999999,1530247.3999999999,1404820.0000000000,1478530.7200000000,1512769.4099999999,1566933.7399999998,1531093.2500000000,10538805.9299999997,
FS(23),1522399.2800000000,1552035.2000000000,1399089.5999999999,1486757.6200000001,1548370.0799999998,1552669.5399999998,1524864.0500000000,10586188.3700000010,
FS(24),1539412.0999999999,1564744.7500000000,1392454.3999999999,1493339.1399999999,1564192.5999999999,1540544.9700000000,1539917.9500000000,10634608.9100000001,
FS(25),1555393.8400000001,1568739.1799999999,1376469.5999999999,1504856.7999999998,1588491.4700000000,1538405.3399999999,1540437.0500000000,10672796.2800000012,
FS(26),1553073.9099999999,1569828.5699999998,1369306.6000000001,1490497.1200000001,1567583.1399999999,1556235.5899999999,1549261.7500000000,10655789.6799999997,
FS(27),1558487.0799999998,1580722.4700000000,1367195.3999999999,1491394.6000000001,1573234.0400000000,1564794.1099999999,1559903.3000000000,10695734.0000000000,
FS(28),1555909.3799999999,1578180.5599999998,1374810.8000000000,1494834.9400000002,1566452.9600000000,1561941.2699999998,1554712.3000000000,10686845.2100000009,
FS(29),1551785.0600000001,1575638.6499999999,1361465.0000000000,1504408.0599999998,1582275.4800000000,1568360.1599999997,1552116.8000000000,10696052.2100000009,
FS(30),1545856.3499999999,1579996.2099999997,1350984.3999999999,1501117.2999999998,1596402.7300000000,1557662.0099999998,1540956.1499999999,10672978.1500000004,
FS(31),1563900.2500000000,1588348.2000000000,1357318.0000000000,1504108.8999999999,1596967.8200000001,1564794.1099999999,1549261.7500000000,10724702.0299999993,
FS(32),1580139.7599999998,1629745.0200000000,1365385.8000000000,1519216.4800000000,1595272.5500000000,1566933.7399999998,1554452.7500000000,10811149.0999999996,
FS(33),1575242.1299999999,1648990.9099999997,1361238.8000000000,1514729.0800000001,1589056.5600000001,1557662.0099999998,1565094.3000000000,10812016.7900000010,
FS(34),1547660.7400000000,1616309.2099999997,1421558.8000000000,1521908.9199999999,1678905.8700000001,1561941.2699999998,1598576.2500000002,10946864.0599999987,
FS(35),1573953.2800000000,1629745.0200000000,1432567.2000000000,1510092.1000000001,1680036.0500000000,1548390.2800000000,1564834.7500000000,10939621.6799999997,
FS(36),1548176.2800000000,1632650.0599999998,1447270.2000000000,1477184.5000000000,1657997.5400000000,1544824.2300000000,1505397.8000000000,10813503.6099999994,
FS(37),1644840.0300000000,1643543.9599999997,1445762.2000000000,1484364.3400000001,1670429.5200000000,1549103.4899999998,1535246.0500000000,10973292.5899999999,
FS(38),1637364.7000000000,1632286.9299999999,1440107.2000000000,1483616.4400000002,1667038.9800000000,1542684.5999999999,1523566.3000000000,10926668.1500000004,
FS(39),1647159.9600000000,1629381.8899999997,1436186.4000000001,1476287.0200000000,1651781.5500000000,1531986.4500000000,1506695.5500000000,10879481.8200000003,
FS(40),1668297.0999999999,1625750.5899999999,1451568.0000000000,1476287.0200000000,1673254.9700000000,1539118.5499999998,1508252.8500000001,10942532.0800000019,
FS(41),1680927.8299999998,1611951.6499999999,1452322.0000000000,1481671.8999999999,1668734.2500000000,1526280.7699999998,1513184.3000000000,10935075.7000000011,
FS(42),1679896.7500000000,1614856.6899999997,1452472.8000000000,1471949.2000000002,1689077.4900000000,1519861.8799999999,1538360.6500000001,10966478.4600000009,
FS(43),1676030.1999999997,1614493.5599999998,1444254.2000000000,1475239.9600000000,1692468.0300000000,1505597.6799999999,1541475.2500000000,10949561.8799999990,
FS(44),1692785.2500000000,1640275.7899999998,1460163.5999999999,1496031.5800000001,1708855.6399999999,1512016.5699999998,1560422.3999999999,11070553.8300000001,
FS(45),1708509.2200000000,1641365.1799999999,1453980.8000000000,1488253.4199999999,1706595.2800000000,1494186.3199999998,1539917.9500000000,11032811.1699999999,
FS(46),1726553.1200000001,1650806.5599999998,1457977.0000000000,1509493.7800000000,1715071.6300000001,1501318.4199999999,1550559.5000000000,11111783.0100000016,
