代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11448021.3999999985
真實報酬,1448021.3999999985
趨勢值,0.2726982111

選擇檔數,2
找到最佳解世代,3721
找到最佳解實驗,1
Stock#,HD,KO,
分配資金,5000000,5000000,
張數,112435,147405,
剩餘資金,15.5500000001,22.3999999997,
FS(1),5000000.0000000000,5000000.0000000000,10000000.0000000000,
FS(2),4998875.6500000004,5000000.0000000000,9998875.6500000004,
FS(3),5078704.5000000000,5017688.5999999996,10096393.0999999996,
FS(4),5082077.5499999998,5014740.5000000000,10096818.0499999989,
FS(5),5111310.6500000004,5053065.7999999998,10164376.4499999993,
FS(6),5078704.5000000000,5036851.2500000000,10115555.7500000000,
FS(7),5089948.0000000000,5010318.3499999996,10100266.3499999996,
FS(8),5096694.0999999996,5007370.2499999991,10104064.3499999996,
FS(9),5164155.0999999996,5044221.4999999991,10208376.5999999996,
FS(10),5178771.6500000004,5078124.6499999994,10256896.3000000007,
FS(11),5139419.4000000004,5041273.3999999994,10180692.8000000007,
FS(12),5164155.0999999996,5075176.5499999998,10239331.6499999985,
FS(13),5251854.4000000004,5089917.0499999998,10341771.4499999993,
FS(14),5275465.7500000000,5072228.4499999993,10347694.1999999993,
FS(15),5236113.5000000000,5104657.5499999998,10340771.0500000007,
FS(16),5278838.7999999998,5098761.3499999996,10377600.1500000004,
FS(17),5282211.8499999996,5085494.8999999994,10367706.7500000000,
FS(18),5276590.0999999996,5073702.5000000000,10350292.5999999996,
FS(19),5310320.5999999996,5073702.5000000000,10384023.0999999996,
FS(20),5348548.5000000000,5148879.0499999998,10497427.5499999989,
FS(21),5336180.6500000004,5129716.3999999994,10465897.0499999989,
FS(22),5330558.8999999994,5098761.3499999996,10429320.2500000000,
FS(23),5328310.2000000002,5103183.4999999991,10431493.6999999993,
FS(24),5215875.2000000002,5067806.2999999998,10283681.5000000000,
FS(25),5328310.2000000002,5070754.3999999994,10399064.5999999996,
FS(26),5376657.2500000000,5106131.5999999996,10482788.8499999996,
FS(27),5408139.0499999998,5123820.1999999993,10531959.2499999981,
FS(28),5463232.2000000002,5170989.7999999989,10634222.0000000000,
FS(29),5525071.4500000002,5178360.0499999998,10703431.5000000000,
FS(30),5562175.0000000000,5175411.9499999993,10737586.9499999993,
FS(31),5531817.5499999998,5184256.2500000000,10716073.7999999989,
FS(32),5514952.2999999998,5170989.7999999989,10685942.0999999996,
FS(33),5490216.5999999996,5188678.3999999994,10678895.0000000000,
FS(34),5552055.8500000006,5203418.8999999994,10755474.7500000000,
FS(35),5598154.1999999993,5241744.2000000002,10839898.3999999985,
FS(36),5585786.3499999996,5263854.9499999993,10849641.2999999989,
FS(37),5570045.4499999993,5268277.0999999996,10838322.5499999989,
FS(38),5636382.1000000006,5299232.1499999994,10935614.2500000000,
FS(39),5626262.9499999993,5297758.0999999987,10924021.0499999989,
FS(40),5611646.3999999994,5355246.0499999989,10966892.4499999993,
FS(41),5611646.3999999994,5440740.9499999993,11052387.3499999978,
FS(42),5656620.4000000004,5455481.4499999993,11112101.8499999996,
FS(43),5620641.2000000002,5464325.7499999991,11084966.9499999993,
FS(44),5621765.5499999998,5436318.7999999998,11058084.3499999996,
FS(45),5604900.2999999998,5414208.0499999989,11019108.3499999996,
FS(46),5691475.2499999991,5415682.0999999996,11107157.3499999996,
FS(47),5686977.8499999996,5371460.5999999987,11058438.4499999993,
FS(48),5549807.1499999994,5308076.4499999993,10857883.5999999978,
FS(49),5593656.7999999998,5315446.7000000002,10909103.5000000000,
FS(50),5692599.6000000006,5322816.9499999993,11015416.5500000007,
FS(51),5729703.1500000004,5302180.2499999991,11031883.4000000004,
FS(52),5811780.6999999993,5339031.4999999991,11150812.1999999993,
FS(53),5850008.5999999996,5451059.2999999989,11301067.8999999985,
FS(54),5825272.9000000004,5467273.8499999996,11292546.7500000000,
FS(55),5797164.1500000004,5440740.9499999993,11237905.0999999996,
FS(56),5785920.6500000004,5464325.7499999991,11250246.4000000004,
FS(57),5745444.0499999998,5431896.6499999994,11177340.6999999993,
FS(58),5760060.5999999996,5462851.7000000002,11222912.2999999989,
FS(59),5836516.3999999994,5523287.7499999991,11359804.1499999985,
FS(60),5832018.9999999991,5579301.6499999994,11411320.6499999985,
FS(61),5841013.7999999998,5648581.9999999991,11489595.7999999989,
FS(62),5823024.1999999993,5624997.1999999993,11448021.3999999985,
