代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11219816.6600000001
真實報酬,1219816.6600000001
趨勢值,0.1072309573

選擇檔數,3
找到最佳解世代,2032
找到最佳解實驗,1
Stock#,TRV,VZ,WMT,
分配資金,3333333,3333333,3333333,
張數,56182,86535,54324,
剩餘資金,54.9400000001,4.7999999997,12.3600000000,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3330523.8999999999,3328140.8999999999,3294762.9600000000,9953428.7599999998,
FS(3),3327152.9800000000,3322083.4499999997,3273576.5999999996,9922814.0299999993,
FS(4),3308051.1000000001,3258912.8999999994,3295849.4399999999,9862814.4399999995,
FS(5),3261420.0399999996,3241605.8999999999,3266514.4800000000,9769541.4199999999,
FS(6),3244565.4399999999,3184492.7999999993,3255649.6799999997,9684708.9199999999,
FS(7),3268161.8799999999,3234683.1000000001,3248587.5599999996,9751433.5399999991,
FS(8),3320411.1400000001,3249394.0499999993,3267057.7199999997,9836863.9100000001,
FS(9),3265352.7799999998,3224298.8999999994,3246957.8399999999,9736610.5199999996,
FS(10),3323782.0599999996,3239009.8499999996,3290960.2799999998,9853753.1899999995,
FS(11),3370413.1200000001,3265835.7000000002,3361038.2399999998,9997288.0599999987,
FS(12),3341198.4800000000,3258912.8999999994,3371359.7999999998,9971472.1799999997,
FS(13),3466484.3400000003,3301315.0499999998,3354519.3599999999,10122319.7500000000,
FS(14),3525475.4399999999,3351505.3499999996,3392546.1600000001,10269527.9499999993,
FS(15),3534464.5599999996,3337659.7500000000,3234463.3199999998,10106588.6299999990,
FS(16),3560308.2799999998,3418137.2999999998,3138309.8399999999,10116756.4199999999,
FS(17),3583342.8999999999,3416406.5999999996,3116037.0000000000,10115787.5000000000,
FS(18),3638963.0799999996,3473519.6999999997,3202412.1600000001,10314895.9399999995,
FS(19),3596264.7600000002,3481307.8499999996,3206758.0800000001,10284331.6899999995,
FS(20),3613681.1799999997,3494288.1000000001,3200239.1999999997,10308209.4799999986,
FS(21),3629412.1399999997,3509864.3999999999,3208931.0400000000,10348208.5800000001,
FS(22),3637277.6199999996,3513325.7999999998,3205671.5999999996,10356276.0199999996,
FS(23),3637839.4399999999,3516787.1999999997,3204585.1200000001,10359212.7599999998,
FS(24),3623793.9399999999,3483903.8999999994,3188831.1600000001,10296530.0000000000,
FS(25),3628850.3200000003,3507268.3500000001,3215449.9199999999,10351569.5899999999,
FS(26),3617613.9199999999,3508999.0499999993,3207844.5599999996,10334458.5299999993,
FS(27),3591208.3799999999,3483038.5499999998,3206758.0800000001,10281006.0099999998,
FS(28),3631659.4199999999,3508999.0499999993,3215449.9199999999,10356109.3899999987,
FS(29),3630535.7800000003,3561785.3999999994,3227944.4399999999,10420266.6200000010,
FS(30),3622670.3000000003,3538420.9499999997,3208931.0400000000,10370023.2900000010,
