代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11911015.5500000007
真實報酬,1911015.5500000007
趨勢值,0.2828270453

選擇檔數,2
找到最佳解世代,1823
找到最佳解實驗,1
Stock#,DIS,WMT,
分配資金,5000000,5000000,
張數,114181,84645,
剩餘資金,14.0100000001,19.8500000000,
FS(1),5000000.0000000000,5000000.0000000000,10000000.0000000000,
FS(2),4971454.7500000000,4994921.2999999998,9966376.0499999989,
FS(3),5002283.6200000001,4993228.3999999994,9995512.0199999996,
FS(4),4901804.3399999999,4968681.3499999996,9870485.6899999995,
FS(5),5003425.4299999997,5010157.3999999994,10013582.8299999982,
FS(6),5058232.3099999996,4998307.0999999996,10056539.4099999983,
FS(7),5140442.6299999999,4996614.2000000002,10137056.8300000001,
FS(8),5170129.6899999995,5010157.3999999994,10180287.0899999980,
FS(9),5202100.3700000001,5029625.7500000000,10231726.1199999992,
FS(10),5157569.7800000003,5000000.0000000000,10157569.7799999993,
FS(11),5139300.8199999994,5023700.5999999996,10163001.4199999999,
FS(12),5147293.4899999993,5010157.3999999994,10157450.8899999987,
FS(13),5061657.7399999993,5220923.4499999993,10282581.1899999995,
FS(14),5002283.6200000001,5284407.1999999993,10286690.8200000003,
FS(15),5068508.5999999996,5336040.6499999994,10404549.2500000000,
FS(16),5068508.5999999996,5394445.6999999993,10462954.2999999989,
FS(17),5068508.5999999996,5394445.6999999993,10462954.2999999989,
FS(18),5074217.6499999994,5507869.9999999991,10582087.6499999985,
FS(19),5081068.5099999998,5528184.7999999998,10609253.3100000005,
FS(20),5192965.8899999997,5559503.4500000002,10752469.3399999999,
FS(21),5160995.2100000000,5539188.6499999994,10700183.8599999994,
FS(22),5219227.5199999996,5571353.7499999991,10790581.2699999977,
FS(23),5069650.4099999992,5548499.5999999996,10618150.0099999979,
FS(24),5070792.2199999997,5585743.3999999994,10656535.6199999992,
FS(25),5119890.0499999998,5544267.3499999996,10664157.3999999985,
FS(26),5198674.9399999995,5580664.7000000002,10779339.6400000006,
FS(27),5210093.0400000000,5575586.0000000000,10785679.0400000010,
FS(28),5279743.4500000002,5774501.7499999991,11054245.1999999993,
FS(29),5229503.8099999996,5716096.7000000002,10945600.5099999998,
FS(30),5295728.7900000000,5732179.2499999991,11027908.0399999991,
FS(31),5278601.6399999997,5677159.9999999991,10955761.6399999987,
FS(32),5387073.5899999999,5724561.1999999993,11111634.7899999991,
FS(33),5376797.2999999998,5734718.5999999996,11111515.8999999985,
FS(34),5377939.1100000003,5766037.2500000000,11143976.3600000013,
FS(35),5424753.3199999994,5739797.2999999998,11164550.6199999992,
FS(36),5449873.1399999997,5799895.2499999991,11249768.3899999987,
FS(37),5412193.4099999992,5730486.3499999996,11142679.7599999998,
FS(38),5420186.0800000001,5696628.3499999996,11116814.4299999997,
FS(39),5332266.7100000000,5771115.9500000002,11103382.6600000001,
FS(40),5400775.3099999996,5804973.9499999993,11205749.2599999998,
FS(41),5465858.4799999995,5805820.4000000004,11271678.8799999990,
FS(42),5460149.4299999997,5781273.3499999996,11241422.7799999993,
FS(43),5537792.5099999998,5901469.2499999991,11439261.7599999998,
FS(44),5562912.3300000001,5870150.5999999987,11433062.9299999997,
FS(45),5548068.7999999998,5988653.5999999996,11536722.3999999985,
FS(46),5493261.9199999999,6016586.4499999993,11509848.3699999992,
FS(47),5485269.2500000000,6040287.0499999998,11525556.2999999989,
FS(48),5480702.0099999998,6074145.0499999998,11554847.0600000005,
FS(49),5407626.1699999999,6103770.7999999998,11511396.9699999988,
FS(50),5397349.8799999999,6116467.5499999998,11513817.4299999997,
FS(51),5413335.2199999997,6120699.7999999998,11534035.0199999996,
FS(52),5502396.3999999994,6194340.9500000002,11696737.3499999996,
FS(53),5464716.6699999999,6177411.9500000002,11642128.6199999992,
FS(54),5634846.3600000003,6187569.3499999987,11822415.7099999990,
FS(55),5634846.3600000003,6166408.0999999987,11801254.4599999990,
FS(56),5593741.2000000002,6054676.7000000002,11648417.9000000004,
FS(57),5548068.7999999998,6115621.0999999996,11663689.8999999985,
FS(58),5478418.3899999997,6081763.0999999987,11560181.4899999984,
FS(59),5498970.9699999997,6106310.1499999994,11605281.1199999992,
FS(60),5514956.3099999996,6101231.4499999993,11616187.7599999998,
FS(61),5675951.5199999996,6235817.0000000000,11911768.5199999996,
FS(62),5702213.1499999994,6307765.2499999991,12009978.3999999985,
FS(63),5686227.8099999996,6346701.9500000002,12032929.7599999998,
FS(64),5610868.3499999996,6300147.2000000002,11911015.5500000007,
