代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11573460.8399999999
真實報酬,1573460.8399999999
趨勢值,0.2517279006

選擇檔數,6
找到最佳解世代,1961
找到最佳解實驗,1
Stock#,AAPL,CSCO,MRK,PFE,WBA,WMT,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,20796,104427,44826,77017,55685,25425,
剩餘資金,74.5600000000,11.0799999999,35.3200000000,18.1200000000,13.9500000000,57.2500000001,
FS(1),1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,9999999.9999999981,
FS(2),1676440.1200000001,1682330.0499999998,1679217.2800000000,1664355.4899999998,1698963.3000000000,1677852.9999999998,10079163.2400000002,
FS(3),1672072.9600000002,1683374.3199999998,1681010.3200000001,1663585.3200000001,1702861.2499999998,1665394.7500000000,10068302.9199999999,
FS(4),1697860.0000000000,1741853.4399999997,1698940.7200000000,1687460.5899999999,1724021.5500000000,1676327.5000000002,10226467.7999999989,
FS(5),1698483.8800000001,1731410.7399999998,1718215.8999999999,1689771.1000000001,1725135.2500000000,1674802.0000000000,10237822.8699999992,
FS(6),1724062.9600000002,1747074.7899999998,1724043.2800000000,1705174.5000000000,1735158.5500000000,1734550.7500000000,10370068.8300000001,
FS(7),1697028.1599999999,1720968.0399999998,1724491.5400000000,1702093.8200000001,1738499.6499999999,1717007.5000000000,10300092.7099999990,
FS(8),1711793.3200000001,1753340.4099999997,1741525.4200000002,1709025.3500000001,1740170.2000000000,1721838.2500000000,10377696.9499999993,
FS(9),1699939.5999999999,1739764.8999999999,1721353.7200000000,1709025.3500000001,1719566.7500000000,1705311.9999999998,10294966.3200000003,
FS(10),1698067.9600000002,1766915.9199999999,1738835.8600000001,1737521.6399999997,1763557.9000000001,1719550.0000000000,10424453.2799999993,
FS(11),1705762.4800000000,1785712.7800000000,1745559.7600000000,1741372.4899999998,1770796.9500000000,1722601.0000000000,10471809.4599999990,
FS(12),1740283.8400000001,1789889.8599999999,1741525.4200000002,1742142.6599999999,1779706.5500000000,1732008.2500000000,10525560.5800000001,
FS(13),1745274.8800000001,1794066.9399999997,1758559.2999999998,1749074.1899999999,1675575.5999999999,1724126.5000000000,10446681.4100000001,
FS(14),1740283.8400000001,1828527.8500000001,1757662.7800000000,1745993.5100000000,1626572.8000000000,1742178.2500000000,10441223.0300000012,
FS(15),1716160.4800000000,1767960.1899999997,1768421.0200000003,1740602.3200000001,1623231.7000000000,1721329.7500000000,10337709.4599999990,
FS(16),1729469.9199999999,1788845.5899999999,1801144.0000000000,1750614.5300000000,1646619.3999999999,1711159.7500000000,10427857.1899999995,
FS(17),1695780.4000000001,1767960.1899999997,1783213.6000000001,1730590.1099999999,1614322.0999999999,1733533.7500000002,10325404.1500000004,
FS(18),1699523.6799999999,1756473.2200000000,1796213.1400000001,1728279.6000000001,1619890.5999999999,1743703.7500000000,10344087.9900000002,
FS(19),1706802.2800000000,1747074.7899999998,1816833.1000000001,1741372.4899999998,1638266.6500000001,1743958.0000000000,10394311.3099999987,
FS(20),1690581.4000000001,1720968.0399999998,1823557.0000000000,1735211.1299999999,1617106.3499999999,1736584.7500000000,10324012.6699999999,
FS(21),1735084.8400000001,1793022.6699999999,1871520.8200000001,1771409.1199999999,1647176.2499999998,1772688.2500000000,10590905.9499999993,
FS(22),1760455.9600000002,1783624.2399999998,1876003.4200000002,1771409.1199999999,1662768.0499999998,1763280.9999999998,10617545.7899999991,
FS(23),1780836.0400000000,1790934.1299999997,1874210.3800000001,1761396.9099999999,1648846.7999999998,1798876.0000000000,10655104.2599999998,
FS(24),1812030.0400000000,1769004.4600000000,1866141.7000000002,1745993.5100000000,1663324.8999999999,1807266.2500000000,10663764.8599999994,
FS(25),1799968.3600000001,1751251.8699999999,1860762.5800000001,1735981.2999999998,1649403.6499999999,1814385.2500000000,10611757.0099999979,
FS(26),1823883.7600000000,1738720.6299999997,1888554.7000000002,1744453.1699999997,1653858.4500000000,1824555.2500000002,10674029.9599999990,
FS(27),1807039.0000000000,1713658.1499999999,1854486.9399999999,1728279.6000000001,1666109.1500000001,1833454.0000000000,10603030.8399999999,
