代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11149583.3800000008
真實報酬,1149583.3800000008
趨勢值,0.1816091043

選擇檔數,3
找到最佳解世代,2013
找到最佳解實驗,1
Stock#,BA,CSCO,MMM,
分配資金,3333333,3333333,3333333,
張數,47087,190367,37348,
剩餘資金,44.2699999997,6.8299999997,24.0000000000,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3298488.6199999996,3302874.2799999998,3322875.5600000001,9924239.4600000009,
FS(3),3315439.9399999995,3312392.6299999994,3346404.7999999998,9974238.3699999992,
FS(4),3391250.0099999993,3327621.9899999998,3393463.2799999998,10112336.2799999993,
FS(5),3301313.8399999994,3276222.8999999999,3338188.2399999998,9915725.9799999986,
FS(6),3342279.5299999998,3203883.4399999995,3307189.3999999999,9853353.3699999992,
FS(7),3449167.0199999996,3201979.7699999996,3316899.8799999999,9968047.6699999999,
FS(8),3469885.2999999993,3209594.4499999997,3330718.6400000001,10010199.3899999987,
FS(9),3454346.5899999994,3207690.7799999998,3326983.8399999999,9989022.2100000009,
FS(10),3356876.5000000000,3361888.0499999998,3260877.8799999999,9979643.4299999997,
FS(11),3345104.7500000000,3415190.8100000001,3287394.9600000000,10047691.5199999996,
FS(12),3332391.2599999993,3424709.1599999992,3305322.0000000000,10062423.4199999999,
FS(13),3388424.7899999991,3483722.9299999997,3345284.3599999999,10217433.0800000001,
FS(14),3415735.2500000000,3491337.6099999994,3324742.9600000000,10231816.8200000003,
FS(15),3444458.3199999998,3517988.9899999998,3321755.1200000001,10284203.4299999997,
FS(16),3472239.6499999994,3586521.1099999994,3371801.4399999999,10430563.1999999993,
FS(17),3497195.7599999993,3628401.8499999992,3364705.3200000003,10490303.9299999997,
FS(18),3507554.8999999994,3609365.1499999999,3372921.8799999999,10489842.9299999997,
FS(19),3488720.0999999996,3584617.4399999995,3396077.6400000001,10469416.1799999997,
FS(20),3490132.7100000000,3618883.5000000000,3385620.2000000002,10494637.4100000001,
FS(21),3497666.6299999994,3599846.7999999998,3396824.6000000001,10494339.0299999993,
FS(22),3485424.0099999993,3622690.8399999999,3372548.3999999999,10480664.2500000000,
FS(23),3486836.6199999996,3649342.2199999997,3365825.7600000002,10502005.5999999996,
FS(24),3478360.9600000000,3656956.8999999999,3389728.4800000000,10525047.3399999999,
FS(25),3483540.5299999998,3708355.9899999998,3396824.6000000001,10588722.1199999992,
FS(26),3514617.9499999997,3681704.6099999994,3417739.4800000000,10614063.0399999991,
FS(27),3556525.3799999994,3767369.7599999993,3431184.7600000002,10755080.9000000004,
FS(28),3570180.6099999994,3765466.0899999999,3498784.6400000001,10834432.3399999999,
FS(29),3553700.1599999997,3755947.7399999998,3477869.7600000002,10787518.6600000001,
FS(30),3499550.1099999994,3757851.4099999992,3454714.0000000000,10712116.5199999996,
FS(31),3485424.0099999993,3780695.4499999997,3446497.4399999999,10712617.8999999985,
FS(32),3515088.8199999998,3828287.1999999997,3474508.4399999999,10817885.4599999990,
FS(33),3556054.5099999993,3879686.2899999996,3505133.7999999998,10940875.5999999978,
FS(34),3555583.6399999997,3858745.9199999995,3474134.9600000000,10888465.5199999996,
FS(35),3588073.6699999995,3853034.9099999992,3515591.2399999998,10956700.8199999984,
FS(36),3586661.0599999996,3799732.1499999999,3477122.7999999998,10863517.0099999998,
FS(37),3577243.6599999997,3774984.4399999995,3480484.1200000001,10832713.2199999988,
FS(38),3579598.0099999993,3792117.4699999997,3476002.3599999999,10847718.8399999999,
FS(39),3570651.4799999995,3740718.3799999994,3459942.7200000002,10771313.5800000001,
FS(40),3516972.2999999993,3702644.9799999995,3427823.4399999999,10647441.7199999988,
FS(41),3548520.5899999994,3740718.3799999994,3467785.7999999998,10757025.7699999977,
FS(42),3629039.3599999994,3872071.6099999994,3539867.4399999999,11040979.4100000001,
FS(43),3647874.1599999997,3893011.9799999995,3535759.1600000001,11076646.2999999989,
FS(44),3658233.2999999993,3898722.9899999998,3561902.7600000002,11118860.0499999989,
FS(45),3584777.5799999991,3862553.2599999993,3566384.5200000000,11013716.3599999994,
FS(46),3490603.5799999991,3866360.5999999992,3566758.0000000000,10923723.1799999978,
