代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11299344.6499999985
真實報酬,1299344.6499999985
趨勢值,0.3098854915

選擇檔數,3
找到最佳解世代,3221
找到最佳解實驗,6
Stock#,JNJ,MMM,VZ,
分配資金,3333333,3333333,3333333,
張數,44935,32821,74805,
剩餘資金,54.6999999997,32.2399999999,22.1999999998,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3330187.5499999998,3307404.4099999997,3330340.7999999998,9967933.7599999979,
FS(3),3354901.7999999993,3331035.5299999998,3333333.0000000000,10019271.3299999982,
FS(4),3387704.3499999996,3370420.7299999995,3347545.9499999997,10105672.0299999993,
FS(5),3372875.7999999998,3354994.8599999999,3325852.5000000000,10053724.1599999983,
FS(6),3391748.5000000000,3369436.0999999996,3317623.9499999997,10078809.5499999989,
FS(7),3388603.0499999993,3368123.2599999998,3315379.7999999998,10072107.1099999994,
FS(8),3406127.6999999997,3395692.8999999994,3324356.3999999994,10126177.9999999981,
FS(9),3399836.7999999993,3376000.2999999998,3330340.7999999998,10106178.8999999985,
FS(10),3406577.0499999998,3373374.6199999996,3316127.8499999996,10096080.5199999996,
FS(11),3422304.2999999993,3388144.0699999998,3321364.1999999997,10131813.5699999984,
FS(12),3458252.2999999993,3419324.0200000000,3328844.6999999997,10206422.0199999977,
FS(13),3444322.4500000002,3385518.3900000001,3360262.7999999998,10190104.6399999987,
FS(14),3454208.1499999999,3371405.3599999999,3375223.7999999993,10200838.3099999987,
FS(15),3426348.4499999997,3398318.5800000001,3396169.1999999997,10220837.2299999986,
FS(16),3395792.6499999994,3339568.9899999998,3420106.7999999998,10155469.4399999976,
FS(17),3403880.9499999997,3357948.7500000000,3450028.7999999993,10211859.4999999981,
FS(18),3429493.8999999994,3399303.2099999995,3467233.9499999997,10296032.0599999987,
FS(19),3420057.5499999998,3413416.2399999998,3480698.8499999996,10314173.6399999987,
FS(20),3446569.1999999997,3405867.4099999997,3494911.7999999998,10347349.4099999983,
FS(21),3469036.6999999997,3389785.1199999996,3524085.7499999995,10382908.5699999984,
FS(22),3489706.7999999993,3428185.6899999999,3567472.6499999994,10485366.1399999987,
FS(23),3477574.3499999996,3435078.0999999996,3536802.5999999996,10449456.0499999989,
FS(24),3493750.9499999997,3431139.5800000001,3551763.5999999996,10476655.1299999990,
FS(25),3513522.3499999996,3469540.1499999994,3587670.0000000000,10570733.4999999981,
FS(26),3524756.0999999996,3472822.2500000000,3576449.2500000000,10574028.5999999996,
FS(27),3530148.2999999998,3450503.9699999997,3617591.9999999995,10598245.2699999996,
FS(28),3529698.9499999997,3449191.1299999999,3586173.8999999994,10565064.9799999986,
FS(29),3554413.1999999993,3479714.6599999997,3626568.5999999996,10660697.4599999972,
FS(30),3558457.3499999996,3492186.6400000001,3592158.2999999998,10642803.2899999991,
FS(31),3541382.0499999998,3459693.8499999996,3646765.9499999997,10647842.8499999996,
FS(32),3543628.7999999998,3452145.0200000000,3661726.9499999997,10657501.7699999996,
FS(33),3570140.4499999997,3467899.0999999996,3635545.1999999997,10673585.7500000000,
FS(34),3550369.0499999998,3444267.9799999995,3650506.1999999997,10645144.2299999986,
FS(35),3583171.5999999996,3492843.0599999996,3666963.2999999998,10742978.9599999990,
FS(36),3580475.5000000000,3451816.8099999996,3677435.9999999995,10709729.3099999987,
FS(37),3633049.4499999993,3481355.7099999995,3701373.5999999996,10815779.7599999979,
FS(38),3651922.1499999994,3455755.3300000001,3660978.8999999994,10768657.3799999990,
FS(39),3663605.2500000000,3489232.7500000000,3676687.9499999997,10829526.9499999993,
FS(40),3681579.2500000000,3467570.8900000001,3681924.2999999998,10831075.4399999995,
FS(41),3715729.8499999996,3496125.1599999997,3702869.6999999997,10914725.7099999990,
FS(42),3687870.1499999994,3468555.5200000000,3664719.1499999999,10821145.8199999984,
FS(43),3703148.0499999993,3473150.4599999995,3687908.6999999997,10864208.2099999972,
FS(44),3686522.1000000001,3471837.6199999996,3707358.0000000000,10865718.7199999988,
FS(45),3644732.5499999998,3470852.9899999998,3697633.3499999996,10813219.8899999987,
FS(46),3663155.8999999994,3477417.1899999999,3692396.9999999995,10832971.0899999980,
FS(47),3685623.3999999994,3534525.7299999995,3729799.4999999995,10949949.6299999990,
FS(48),3699103.8999999994,3552905.4899999998,3778422.7499999995,11030433.1399999987,
FS(49),3717976.5999999996,3534197.5200000000,3804604.4999999995,11056779.6199999992,
FS(50),3671693.5499999993,3471181.1999999997,3788147.3999999999,10931023.1499999985,
FS(51),3749431.0999999996,3483981.3900000001,3774682.5000000000,11008095.9899999984,
FS(52),3770101.2000000002,3461991.3199999998,3705861.8999999994,10937955.4199999999,
FS(53),3737748.0000000000,3445580.8199999998,3808344.7499999995,10991674.5699999984,
FS(54),3796612.8499999996,3469540.1499999994,3908583.4499999997,11174737.4499999974,
FS(55),3811890.7499999995,3472494.0399999996,3904095.1499999994,11188480.9399999976,
FS(56),3839750.4499999997,3524679.4299999997,3913819.7999999998,11278250.6799999997,
FS(57),3792119.3499999996,3540433.5099999998,3874921.1999999997,11207475.0599999987,
FS(58),3829415.3999999994,3442298.7199999997,3981144.2999999998,11252859.4199999981,
FS(59),3824921.8999999999,3406523.8300000001,4011814.3500000001,11243261.0799999982,
FS(60),3845591.9999999995,3407836.6699999999,3999097.5000000000,11252527.1699999981,
FS(61),3829864.7500000000,3436719.1499999994,4032759.7499999995,11299344.6499999985,
