代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11758936.0299999993
真實報酬,1758936.0299999993
趨勢值,0.4751373789

選擇檔數,8
找到最佳解世代,1969
找到最佳解實驗,1
Stock#,AXP,BA,HD,INTC,MSFT,UNH,WBA,WMT,
分配資金,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,
張數,20041,16174,18108,59438,44722,23355,30251,17424,
剩餘資金,42.8300000001,73.2800000000,4.7600000000,18.8599999999,20.1000000000,40.3999999999,28.6800000000,2.2400000001,
FS(1),1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,10000000.0000000000,
FS(2),1260421.3200000001,1246926.9400000002,1272816.0800000001,1264265.1199999999,1258944.4000000001,1245329.0000000000,1263612.9500000000,1276484.4800000000,10088800.2900000010,
FS(3),1285071.7500000002,1272320.1199999999,1276075.5200000000,1278530.2400000000,1267888.8000000000,1249532.8999999999,1231849.3999999999,1284499.5200000000,10145768.2500000000,
FS(4),1295693.4800000002,1279113.2000000000,1276256.6000000001,1292795.3599999999,1256261.0800000001,1252101.9500000000,1208858.6399999999,1278575.3599999999,10139655.6699999999,
FS(5),1293889.7900000000,1310975.9800000000,1272091.7600000000,1301116.6799999999,1258497.1800000002,1256539.3999999999,1214001.3100000001,1277529.9199999999,10184642.0200000014,
FS(6),1296695.5300000000,1313887.3000000000,1292372.7200000002,1282690.8999999997,1252236.1000000001,1256772.9500000000,1229429.3200000001,1272476.9600000000,10196561.7800000012,
FS(7),1312728.3300000001,1341544.8400000001,1291467.3199999998,1289229.0799999998,1246422.2400000002,1266114.9500000000,1248789.9600000000,1271605.7600000000,10267902.4799999986,
FS(8),1308519.7200000002,1361277.1199999999,1281145.7600000000,1286257.1799999999,1248211.1200000001,1280595.0499999998,1241529.7200000000,1282408.6399999999,10289944.3100000005,
FS(9),1308720.1300000001,1370819.7800000000,1281326.8400000001,1287445.9399999999,1248658.3400000001,1272420.7999999998,1294166.4600000000,1283279.8400000001,10346838.1300000008,
FS(10),1310323.4099999999,1368717.1600000001,1271910.6799999999,1286851.5599999998,1258497.1800000002,1278259.5499999998,1292351.3999999999,1275787.5200000000,10342698.4600000009,
