代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11067535.9199999999
真實報酬,1067535.9199999999
趨勢值,0.1677639519

選擇檔數,5
找到最佳解世代,2498
找到最佳解實驗,1
Stock#,AAPL,BA,DD,MSFT,UNH,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,30656,18744,39674,63151,27337,
剩餘資金,2.5600000002,15.1999999999,33.6600000001,7.8299999999,25.0800000001,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,10000000.0000000000,
FS(2),2025751.0400000000,2022492.8000000000,2046418.5800000001,2013893.2200000000,1975396.7000000002,10083952.3399999999,
FS(3),2055793.9200000002,2014995.2000000000,2061097.9600000002,2001894.5299999998,2004920.6600000001,10138702.2700000014,
FS(4),2037400.3199999998,2006372.9600000000,2037293.5600000003,1994316.4099999997,2002186.9600000000,10077570.2099999990,
FS(5),2036480.6400000004,1994751.6799999999,2050385.9800000002,2024628.8899999999,1993439.1200000001,10099686.3100000024,
FS(6),2019006.7200000000,1983880.1599999999,2085299.1000000003,2077044.2200000000,2000546.7400000002,10165776.9400000013,
FS(7),1990190.0800000001,1974320.7200000000,2149174.2400000002,2065045.5300000000,1993712.4900000002,10172443.0600000005,
FS(8),2046903.6799999999,1953889.7599999998,2117435.0400000000,2075781.1999999997,1978950.5100000000,10172960.1899999995,
FS(9),2144083.2000000002,1991190.3200000001,2140049.2200000002,2035364.5599999996,2005194.0300000000,10315881.3300000001,
FS(10),2183016.3199999998,1952390.2400000000,2132907.8999999999,2042942.6799999999,1981684.2100000000,10292941.3499999996,
FS(11),2180563.8399999999,1925586.3200000001,2099185.0000000000,2007578.1199999999,1951886.8800000001,10164800.1600000001,
FS(12),2199877.1200000001,1939456.8799999999,2084108.8800000001,2008209.6299999999,1952706.9900000002,10184359.5000000000,
FS(13),2223482.2400000002,1962886.8799999999,2069429.5000000000,1982317.7200000000,1960361.3499999999,10198477.6899999995,
FS(14),2194359.0400000000,1961199.9199999999,2087679.5400000000,1996842.4500000000,1980864.0999999999,10220945.0500000007,
FS(15),2200183.6799999997,1947704.2400000000,2098391.5200000000,1996210.9399999997,1964188.5300000000,10206678.9100000001,
FS(16),2202636.1599999997,1970759.3599999999,2101168.7000000002,2045468.7200000000,1967468.9700000000,10287501.9100000001,
FS(17),2194052.4800000000,1977132.3200000001,2188848.2400000002,2194505.0800000001,1983051.0600000003,10537589.1800000016,
FS(18),2202636.1599999997,1978069.5200000000,2183690.6200000001,2156614.4800000000,1978677.1399999999,10499687.9199999999,
FS(19),2139791.3599999999,1934583.4399999999,2122195.9200000004,2100410.0899999999,1955167.3200000001,10252148.1299999990,
FS(20),2149907.8399999999,1935708.0799999998,2115848.0800000001,2085253.8500000001,1955714.0600000003,10242431.9100000001,
FS(21),2153280.0000000000,1966823.1200000001,2119815.4800000000,2118723.8799999999,1980317.3600000001,10338959.8399999999,
FS(22),2133660.1599999997,1947891.6799999999,2113070.8999999999,2109251.2300000000,1961181.4600000000,10265055.4299999997,
FS(23),2139791.3599999999,1968322.6400000001,2115451.3400000003,2013261.7099999997,1983597.8000000000,10220424.8499999996,
FS(24),2183936.0000000000,1993814.4800000000,2134494.8599999999,1970319.0299999998,2005194.0300000000,10287758.4000000004,
FS(25),2168914.5600000001,1999062.8000000000,2170201.4600000004,1972845.0699999998,2024056.5600000003,10335080.4500000011,
FS(26),2181790.0800000001,1988191.2799999998,2178533.0000000000,1967161.4799999997,2024603.3000000000,10340279.1400000006,
FS(27),2216737.9199999999,2009184.5599999998,2192815.6400000001,1999368.4899999998,2029797.3300000001,10447903.9399999995,
FS(28),2166155.5200000000,2027553.6799999999,2259071.2200000002,2045468.7200000000,2040185.3899999999,10538434.5300000012,
FS(29),2048436.4799999997,2047422.3200000001,2251533.1600000001,2067571.5700000001,2055220.7400000002,10470184.2699999996,
FS(30),2070202.2400000000,2058106.3999999999,2195592.8200000003,2064414.0199999998,2043192.4600000000,10431507.9399999995,
FS(31),2035867.5200000000,2086784.7200000000,2252723.3800000004,2085885.3599999999,2036084.8400000001,10497345.8200000003,
FS(32),1971183.3599999999,2168133.6799999997,2248755.9800000000,2071360.6299999997,2053580.5200000003,10513014.1699999999,
FS(33),1994175.3599999999,2195125.0399999996,2243598.3599999999,2079570.2599999998,2031437.5500000000,10543906.5700000003,
FS(34),2034947.8399999999,2219304.7999999998,2308663.7200000002,2104199.1499999999,1996719.5600000003,10663835.0700000003,
FS(35),2068362.8800000001,2231300.9600000000,2294381.0800000001,2124407.4700000002,1936578.1600000001,10655030.5500000007,
FS(36),2046903.6799999999,2186127.9199999995,2243201.6200000001,2070729.1199999999,1929197.1699999999,10476159.5099999998,
FS(37),2148681.6000000001,2202622.6399999997,2217016.7800000003,2067571.5700000001,1963368.4199999999,10599261.0099999998,
FS(38),2141937.2800000003,2230551.1999999997,2209875.4600000004,2049889.2899999998,1977036.9199999999,10609290.1500000004,
FS(39),2108828.8000000003,2221366.6399999997,2251929.8999999999,2053046.8399999996,1967742.3400000001,10602914.5200000014,
FS(40),2129368.3199999998,2237673.9199999995,2259467.9600000004,2069466.1000000001,1972663.0000000000,10668639.2999999989,
FS(41),2114040.3199999998,2225677.7599999998,2204717.8400000003,2101041.6000000001,1968015.7100000000,10613493.2299999986,
