代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11739688.7899999991
真實報酬,1739688.7899999991
趨勢值,0.3270161396

選擇檔數,5
找到最佳解世代,1909
找到最佳解實驗,1
Stock#,AAPL,BA,MSFT,NKE,UNH,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,28653,19045,62735,62208,27563,
剩餘資金,20.6000000001,84.5499999999,8.2000000001,12.8000000001,28.7199999999,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,10000000.0000000000,
FS(2),2041260.3199999998,2025901.2000000000,1957340.2000000000,2026127.3600000001,2021774.7699999998,10072403.8499999978,
FS(3),2027220.3500000001,2031233.7999999998,1959849.5999999999,2033592.3199999998,2040793.2400000002,10092689.3099999987,
FS(4),2039254.6100000001,2020187.6999999997,1954203.4500000000,2021150.7200000002,2041344.5000000000,10076140.9799999986,
FS(5),2071919.0300000003,2041518.0999999999,1986198.3000000000,2034214.4000000001,2046581.4700000000,10180431.2999999989,
FS(6),2024641.5800000001,2060182.2000000000,2031994.8500000001,2078382.0799999998,2057055.4099999999,10252256.1199999992,
FS(7),1914614.0599999998,2080369.8999999999,2053952.1000000001,2102643.2000000002,2072215.0600000001,10223794.3199999984,
FS(8),1934957.6900000002,2091225.5499999998,2050815.3499999999,2117573.1200000001,2060087.3399999999,10254659.0499999989,
FS(9),1902866.3300000001,2120364.3999999999,2072145.2500000000,2112596.4800000004,2052920.9600000002,10260893.4199999981,
FS(10),1842408.5000000000,2203019.6999999997,2057716.1999999997,2121305.6000000006,2070561.2800000000,10295011.2799999993,
FS(11),1863898.2500000000,2230444.5000000000,2065871.7500000000,2125038.0800000001,2048235.2500000000,10333487.8299999982,
FS(12),1902006.7400000000,2255012.5499999998,2090338.3999999999,2161118.7200000002,2013230.2400000002,10421706.6499999985,
FS(13),1933238.5100000000,2267201.3500000001,2110413.6000000001,2161740.8000000003,1952591.6400000001,10425185.8999999985,
FS(14),1913181.4099999999,2221302.8999999999,2057088.8499999999,2158008.3200000003,1945149.6299999999,10294731.1099999975,
FS(15),2008309.3700000001,2238062.5000000000,2053952.1000000001,2145566.7200000002,1979603.3799999999,10425494.0700000003,
FS(16),2002005.7100000002,2266439.5499999998,2036386.3000000000,2159874.5600000001,1993384.8799999999,10458091.0000000000,
FS(17),1971060.4700000002,2257107.5000000000,2039523.0499999998,2143700.4800000004,1984013.4600000002,10395404.9599999990,
FS(18),1990257.9800000000,2273676.6499999999,2055834.1500000001,2187868.1600000006,1988974.7999999998,10496611.7399999984,
FS(19),1975931.4800000000,2261487.8499999996,2087201.6500000001,2290511.3600000003,1984289.0899999999,10599421.4299999978,
FS(20),1951576.4300000002,2237872.0499999998,2087829.0000000000,2259407.3600000003,1973815.1499999999,10510499.9899999984,
FS(21),1997421.2300000000,2242633.2999999998,2106649.5000000000,2252564.4800000004,2000551.2600000000,10599819.7699999977,
FS(22),2004011.4199999999,2244347.3500000001,2127979.4000000004,2236390.4000000004,2000275.6299999999,10613004.1999999993,
FS(23),1978796.7800000003,2194830.3499999996,2124215.3000000003,2228303.3600000003,1998897.4799999997,10525043.2699999996,
FS(24),1977077.6000000001,2232158.5499999998,2125470.0000000005,2243855.3600000003,2011852.0899999999,10590413.5999999978,
FS(25),1996561.6400000004,2222445.5999999996,2089083.6999999997,2218972.1600000006,1989250.4299999999,10516313.5299999993,
FS(26),1968768.2300000000,2198639.3499999996,2070890.5499999998,2186001.9200000004,1970231.9600000002,10394532.0099999979,
FS(27),1991690.6300000004,2180165.6999999997,2074654.6499999999,2205286.4000000004,1967475.6599999999,10419273.0399999991,
FS(28),2004297.9500000002,2264535.0499999998,2117941.8000000003,2284290.5600000001,2039139.4600000002,10710204.8200000003,
FS(29),2017191.8000000003,2247013.6499999999,2141153.7500000005,2284912.6400000001,2047132.7299999997,10737404.5699999984,
FS(30),2030372.1800000002,2275200.2499999995,2161228.9500000002,2303575.0400000005,2059536.0799999998,10829912.4999999981,
FS(31),2041260.3199999998,2250822.6499999999,2163738.3500000001,2292377.6000000006,2036107.5300000000,10784306.4500000011,
FS(32),2051288.8700000001,2291959.8500000001,2173148.6000000001,2317882.8800000004,2072490.6899999999,10906770.8900000006,
FS(33),2065042.3099999998,2329097.6000000001,2190714.4000000004,2318504.9600000004,1967200.0300000000,10870559.3000000007,
FS(34),2083093.7000000002,2333477.9499999997,2193223.8000000003,2362050.5600000001,1895260.6000000001,10867106.6099999994,
FS(35),2134096.0400000000,2313480.6999999997,2195105.8500000001,2367027.2000000002,1879825.3200000001,10889535.1099999994,
FS(36),2128078.9100000001,2332716.1499999999,2169384.5000000000,2362672.6400000001,1898016.8999999999,10890869.0999999978,
FS(37),2148709.0699999998,2457270.4500000002,2117941.8000000003,2350231.0400000005,1874588.3500000001,10948740.7099999990,
FS(38),2177362.0699999998,2456508.6499999994,2115432.3999999999,2348986.8800000004,1863563.1499999999,10961853.1499999985,
FS(39),2153007.0200000000,2498598.0999999996,2241529.7500000000,2354585.6000000006,1863838.7800000000,11111559.2500000000,
FS(40),2169052.7000000002,2473649.1499999999,2231492.1500000004,2348986.8800000004,1845095.9399999999,11068276.8200000003,
FS(41),2114898.5300000003,2469459.2499999995,2228355.4000000004,2361428.4800000004,1876517.7600000000,11050659.4199999981,
FS(42),2148709.0699999998,2469840.1499999999,2229610.1000000001,2368271.3600000003,1874588.3500000001,11091019.0300000012,
FS(43),2139540.1100000003,2485457.0499999998,2221454.5499999998,2356451.8400000003,1881479.1000000001,11084382.6500000004,
FS(44),2128651.9700000002,2533640.8999999999,2228982.7500000005,2365783.0400000005,1891677.4099999999,11148736.0699999984,
FS(45),2156158.8500000001,2529070.0999999996,2254704.1000000001,2375736.3200000003,1900497.5700000001,11216166.9399999976,
FS(46),2150714.7800000003,2543925.1999999997,2298618.6000000001,2401241.6000000006,1894158.0799999998,11288658.2599999998,
FS(47),2132376.8600000003,2534783.6000000001,2395230.5000000000,2387555.8400000003,1937431.9900000002,11387378.7899999991,
FS(48),2097706.7300000000,2504692.4999999995,2352570.7000000002,2354585.6000000006,1922823.6000000001,11232379.1300000008,
FS(49),2130944.2100000004,2542401.6000000001,2370136.5000000005,2398753.2800000003,1943220.2200000000,11385455.8099999987,
FS(50),2124640.5500000003,2524118.3999999999,2358216.8500000006,2399997.4399999999,1943220.2200000000,11350193.4599999990,
FS(51),2128651.9700000002,2520309.3999999999,2343787.8000000003,2391288.3200000003,1928060.5700000001,11312098.0599999987,
FS(52),2131230.7399999998,2536307.1999999997,2393975.7999999998,2421148.1600000006,1957277.3500000001,11439939.2499999981,
FS(53),2161889.4500000002,2572873.6000000001,2385192.9000000004,2446031.3600000003,1969129.4399999999,11535116.7500000000,
FS(54),2148995.6000000001,2591728.1499999999,2373900.6000000006,2464071.6800000002,1980981.5300000000,11559677.5600000005,
FS(55),2122921.3700000001,2635150.7500000000,2333750.2000000002,2444165.1200000001,1975744.5600000001,11511732.0000000000,
FS(56),2126646.2600000002,2608868.6499999994,2304892.1000000001,2420526.0800000001,1973815.1499999999,11434748.2399999984,
