代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11333510.0999999996
真實報酬,1333510.0999999996
趨勢值,0.1978776313

選擇檔數,3
找到最佳解世代,1729
找到最佳解實驗,1
Stock#,DD,MRK,UTX,
分配資金,3333333,3333333,3333333,
張數,60092,73697,31004,
剩餘資金,29.7600000001,17.6900000002,92.9599999998,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3286461.2400000002,3369444.5300000003,3347904.8799999999,10003811.6500000004,
FS(3),3313502.6400000001,3342913.6100000003,3338603.6800000002,9995020.9299999997,
FS(4),3359773.4800000000,3387131.8100000005,3369297.6400000001,10116203.9299999997,
FS(5),3309296.2000000002,3376814.2300000004,3325892.0400000000,10012003.4699999988,
FS(6),3394626.8400000003,3449037.2900000000,3365577.1599999997,10209242.2899999991,
FS(7),3394025.9199999999,3463776.6900000004,3351005.2799999998,10208808.8900000006,
FS(8),3366383.6000000006,3507257.9200000009,3331472.7600000002,10205115.2800000012,
FS(9),3388617.6400000001,3488833.6700000009,3331782.7999999998,10209235.1099999994,
FS(10),3431883.8800000004,3524208.2300000004,3369917.7199999997,10326010.8300000001,
FS(11),3442700.4400000004,3542632.4800000004,3366817.3200000003,10352151.2400000002,
FS(12),3412053.5200000005,3538210.6600000001,3383559.4800000000,10333824.6600000001,
FS(13),3397631.4400000004,3542632.4800000004,3382629.3599999999,10322894.2799999993,
FS(14),3359773.4800000000,3547054.3000000007,3374258.2799999998,10281087.0600000005,
FS(15),3391622.2400000002,3583165.8300000001,3403402.0400000000,10378191.1099999994,
FS(16),3394025.9199999999,3606748.8700000001,3416733.7600000002,10417509.5500000007,
FS(17),3338140.3599999999,3659810.7100000000,3420144.2000000002,10418096.2699999996,
FS(18),3319511.8400000003,3653914.9500000002,3439676.7199999997,10413104.5099999998,
FS(19),3345952.3200000003,3672339.2000000002,3457349.0000000000,10475641.5200000014,
FS(20),3342947.7200000002,3672339.2000000002,3437196.3999999999,10452484.3200000003,
FS(21),3421668.2400000002,3698133.1500000004,3420144.2000000002,10539946.5899999999,
FS(22),3313502.6400000001,3667180.4100000001,3400921.7199999997,10381605.7699999996,
FS(23),3327924.7200000002,3634016.7600000007,3377668.7199999997,10339611.2000000011,
FS(24),3303887.9199999999,3597168.2600000007,3381079.1599999997,10282136.3399999999,
FS(25),3360374.4000000004,3639912.5200000005,3445257.4399999999,10445545.3599999994,
FS(26),3491374.9600000004,3652441.0100000007,3447117.6800000002,10590934.6500000004,
FS(27),3575503.7600000002,3642860.4000000004,3440916.8799999999,10659282.0400000010,
FS(28),3513008.0800000001,3607485.8400000008,3368987.5999999996,10489482.5199999996,
FS(29),3488370.3599999999,3561056.7300000004,3351315.3200000003,10400743.4100000001,
FS(30),3553269.7200000002,3565478.5500000007,3328372.3599999999,10447121.6300000008,
FS(31),3559879.8400000003,3544106.4200000009,3364957.0800000001,10468944.3399999999,
FS(32),3611558.9600000004,3530103.9900000002,3336743.4399999999,10478407.3900000006,
FS(33),3723330.0800000001,3603800.9900000002,3404642.2000000002,10731774.2699999996,
FS(34),3756981.6000000006,3595694.3200000003,3395030.9600000000,10747707.8800000008,
FS(35),3746765.9600000004,3634753.7300000004,3430995.5999999996,10812516.2900000010,
FS(36),3755178.8400000003,3637701.6100000003,3435956.2399999998,10828837.6899999995,
FS(37),3801449.6800000002,3641386.4600000000,3456108.8399999999,10898945.9800000004,
FS(38),3838706.7200000002,3664232.5300000003,3493933.7199999997,10996873.9700000007,
FS(39),3816472.6800000002,3669391.3200000003,3497344.1599999997,10983209.1600000001,
FS(40),3816472.6800000002,3680445.8700000001,3495173.8799999999,10992093.4299999997,
FS(41),3799646.9199999999,3688552.5400000000,3528348.1599999997,11016548.6199999992,
FS(42),3753977.0000000000,3647282.2200000007,3487732.9199999999,10888993.1399999987,
FS(43),3737151.2400000002,3664969.5000000000,3500444.5600000001,10902566.3000000007,
FS(44),3730541.1200000001,3665706.4700000007,3497034.1200000001,10893282.7100000009,
FS(45),3689077.6400000001,3692974.3600000003,3519357.0000000000,10901410.0000000000,
FS(46),3693284.0800000001,3669391.3200000003,3523697.5600000001,10886373.9600000009,
FS(47),3645811.4000000004,3649493.1300000008,3525557.7999999998,10820863.3300000001,
FS(48),3654825.2000000002,3676024.0500000007,3529278.2799999998,10860128.5299999993,
FS(49),3585118.4800000000,3914802.3300000001,3497344.1599999997,10997265.9699999988,
FS(50),3650017.8400000003,3905958.6900000004,3492073.4800000000,11048051.0099999998,
FS(51),3684270.2800000003,3870584.1300000008,3536719.2399999998,11091574.6500000004,
FS(52),3687274.8800000004,3869110.1900000004,3541369.8399999999,11097755.9100000001,
FS(53),3686073.0400000005,3828576.8400000008,3541059.7999999998,11055710.6799999997,
FS(54),3930647.4800000000,3819733.2000000002,3565242.9199999999,11315624.5999999996,
FS(55),3909014.3599999999,3784358.6400000006,3600277.4399999999,11293651.4399999995,
FS(56),3827289.2400000002,3802782.8900000006,3560592.3200000003,11190665.4499999993,
FS(57),3714917.2000000002,3830787.7500000000,3466340.1599999997,11012046.1099999994,
FS(58),3688476.7200000002,3871321.1000000006,3528038.1200000001,11087836.9400000013,
FS(59),3684871.2000000002,3896378.0800000001,3530208.3999999999,11111458.6799999997,
FS(60),3827890.1600000006,3847738.0600000005,3511916.0400000000,11187545.2599999998,
FS(61),3877766.5200000005,3943544.1600000001,3555631.6800000002,11376943.3600000013,
FS(62),3894592.2800000003,3903747.7800000003,3535169.0400000000,11333510.0999999996,
