代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11516446.6200000010
真實報酬,1516446.6200000010
趨勢值,0.1675127340

選擇檔數,4
找到最佳解世代,1882
找到最佳解實驗,1
Stock#,CAT,DD,MRK,V,
分配資金,2500000,2500000,2500000,2500000,
張數,29673,43905,49820,48751,
剩餘資金,49.7500000000,49.3000000001,32.4000000000,48.7199999999,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2488724.2600000002,2420971.0000000005,2479075.5999999996,2459049.1599999997,9847820.0199999996,
FS(3),2491691.5600000001,2431508.2000000002,2456656.6000000001,2471236.9099999997,9851093.2699999996,
FS(4),2504747.6799999997,2413946.2000000002,2431746.6000000001,2458561.6499999999,9809002.1299999990,
FS(5),2537091.2500000000,2455216.9000000004,2460642.1999999997,2460511.6899999995,9913462.0399999991,
FS(6),2554598.3200000003,2550929.8000000003,2469111.6000000001,2457099.1199999996,10031738.8399999999,
FS(7),2564390.4100000001,2612396.8000000003,2462635.0000000000,2430773.5799999996,10070195.7899999991,
FS(8),2530563.1899999999,2566735.6000000001,2438721.3999999999,2506825.1399999997,10042845.3300000001,
FS(9),2539168.3599999999,2548734.5500000003,2407334.7999999998,2479524.5799999996,9974762.2899999991,
FS(10),2553411.3999999999,2596151.9500000002,2410324.0000000000,2527300.5600000001,10087187.9100000001,
FS(11),2592876.4899999998,2600981.5000000005,2395876.2000000002,2532175.6599999997,10121909.8499999996,
FS(12),2579226.9100000001,2638739.8000000003,2386410.3999999999,2598964.5299999998,10203341.6400000006,
FS(13),2616318.1600000001,2720403.1000000001,2436230.3999999999,2624802.5600000001,10397754.2200000007,
FS(14),2597624.1700000004,2744989.9000000004,2430750.1999999997,2633577.7399999998,10406942.0099999998,
FS(15),2638869.6400000001,2737526.0500000003,2457154.7999999998,2632115.2100000000,10465665.7000000011,
FS(16),2669432.8299999996,2743672.7500000005,2459147.6000000001,2657465.7299999995,10529718.9100000001,
FS(17),2697622.1799999997,2777479.6000000001,2461638.5999999996,2665753.3999999999,10602493.7799999993,
FS(18),2704743.7000000002,2804700.7000000002,2477082.7999999998,2683791.2699999996,10670318.4700000007,
FS(19),2696435.2600000002,2788455.8500000001,2480570.1999999997,2677453.6399999997,10642914.9500000011,
FS(20),2696435.2600000002,2788455.8500000001,2488043.1999999997,2692566.4499999997,10665500.7599999998,
FS(21),2694654.8799999999,2776162.4500000002,2493523.3999999999,2714016.8899999997,10678357.6199999992,
FS(22),2666762.2600000002,2742794.6500000004,2465624.2000000002,2693541.4699999997,10568722.5800000001,
FS(23),2665278.6099999999,2730501.2500000000,2477580.9999999995,2695491.5099999998,10568852.3699999992,
FS(24),2630264.4700000002,2725671.7000000002,2478079.2000000002,2679403.6799999997,10513419.0500000007,
FS(25),2638869.6400000001,2695377.2500000005,2496512.6000000001,2699879.1000000001,10530638.5899999999,
FS(26),2645100.9700000002,2698450.6000000001,2480570.1999999997,2708654.2799999998,10532776.0500000007,
FS(27),2662014.5799999996,2663765.6500000004,2467118.8000000003,2704754.1999999997,10497653.2300000004,
FS(28),2685752.9800000000,2670351.4000000004,2485054.0000000000,2695004.0000000000,10536162.3800000008,
FS(29),2667355.7200000002,2619421.6000000001,2646470.7999999998,2668190.9499999997,10601439.0700000003,
FS(30),2687236.6299999999,2666839.0000000005,2640492.3999999999,2713529.3799999994,10708097.4100000001,
FS(31),2742131.6799999997,2691864.8500000006,2616578.8000000003,2727179.6599999997,10777754.9900000002,
FS(32),2730262.4800000000,2694060.1000000001,2615582.3999999999,2702804.1599999997,10742709.1400000006,
FS(33),2713348.8700000001,2693182.0000000005,2588181.3999999999,2830044.2699999996,10824756.5400000010,
FS(34),2688423.5499999998,2871875.3500000001,2582203.0000000000,2826631.6999999997,10969133.5999999996,
FS(35),2659937.4700000002,2856069.5500000003,2558289.3999999999,2839794.4699999997,10914090.8899999987,
FS(36),2625516.7900000000,2796358.7500000000,2570744.3999999999,2781780.7799999998,10774400.7200000007,
FS(37),2556972.1600000001,2714256.4000000004,2589675.9999999995,2696466.5299999998,10557371.0899999999,
FS(38),2708897.9200000004,2694938.2000000002,2617077.0000000000,2635527.7799999998,10656440.9000000004,
FS(39),2743912.0600000001,2692303.9000000004,2634015.7999999998,2693053.9600000000,10763285.7199999988,
FS(40),2689017.0100000002,2796797.8000000003,2601134.6000000001,2646253.0000000000,10733202.4100000001,
FS(41),2765573.3500000001,2833238.9500000002,2665900.5999999996,2692078.9399999995,10956791.8399999999,
FS(42),2786641.1799999997,2845532.3500000006,2638997.7999999998,2625777.5799999996,10896948.9100000001,
FS(43),2742428.4100000001,2794163.5000000005,2594658.0000000000,2601889.5899999994,10733139.5000000000,
FS(44),2744802.2500000000,2811286.4500000002,2665900.5999999996,2615052.3599999999,10837041.6600000001,
FS(45),2728778.8299999996,2804261.6500000004,2666897.0000000000,2627727.6199999996,10827665.0999999996,
FS(46),2784267.3399999999,2850361.9000000004,2678853.8000000003,2669165.9699999997,10982649.0099999998,
FS(47),2815127.2600000002,2851240.0000000000,2728673.8000000003,2703291.6699999999,11098332.7299999986,
FS(48),2804148.2500000000,2866167.7000000002,2734652.1999999997,2688178.8599999999,11093147.0100000016,
FS(49),2817797.8299999996,2928512.8000000003,2775006.3999999999,2709629.2999999998,11230946.3300000001,
FS(50),2853702.1600000001,2899535.5000000005,2740132.3999999999,2732054.7599999998,11225424.8199999984,
FS(51),2851921.7799999998,2895145.0000000000,2745114.3999999999,2730592.2299999995,11222773.4100000001,
FS(52),2864977.8999999999,2920609.8999999999,2762053.1999999997,2754480.2199999997,11302121.2200000007,
FS(53),2865274.6299999999,2925000.4000000004,2774508.1999999997,2755455.2399999998,11320238.4700000007,
FS(54),2854889.0799999996,2903486.9500000002,2742125.1999999997,2728642.1899999995,11229143.4199999999,
FS(55),2875956.9100000001,2947391.9500000002,2780486.6000000001,2723767.0899999994,11327602.5499999989,
FS(56),2893167.2500000000,2936415.7000000002,2791447.0000000000,2722304.5600000001,11343334.5099999998,
FS(57),2887826.1099999999,2935537.6000000001,2798920.0000000000,2756917.7699999996,11379201.4800000004,
FS(58),2860823.6799999997,2952660.5500000003,2785468.5999999996,2768130.5000000000,11367083.3299999982,
FS(59),2884265.3500000001,2990418.8500000001,2803403.8000000003,2755942.7500000000,11434030.7500000000,
FS(60),2869428.8500000001,3033006.7000000002,2822833.5999999996,2757892.7899999996,11483161.9399999995,
FS(61),2877440.5600000001,3045739.1500000004,2839274.2000000002,2753992.7100000000,11516446.6200000010,
