代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11099072.1699999999
真實報酬,1099072.1699999999
趨勢值,0.1594489813

選擇檔數,4
找到最佳解世代,2872
找到最佳解實驗,1
Stock#,CAT,DD,JNJ,MRK,
分配資金,2500000,2500000,2500000,2500000,
張數,27817,40019,27463,50515,
剩餘資金,86.2099999999,13.0700000000,43.1100000000,12.6499999999,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,9999999.9999999981,
FS(2),2498609.1499999999,2488794.6799999997,2522519.6599999997,2512123.5999999996,10022047.0899999980,
FS(3),2465785.0899999999,2484392.5899999999,2535701.8999999999,2512628.7500000000,9998508.3299999982,
FS(4),2473852.0200000000,2456779.4800000000,2589529.3799999999,2531319.2999999998,10051480.1799999997,
FS(5),2479693.5899999999,2459580.8100000001,2585959.1899999999,2515154.5000000000,10040388.0899999999,
FS(6),2495549.2799999998,2427965.7999999998,2601613.1000000001,2501515.4500000002,10026643.6299999990,
FS(7),2517802.8799999999,2433968.6499999999,2601887.7299999995,2519700.8500000001,10073360.1099999994,
FS(8),2500556.3399999999,2387546.6099999999,2595296.6099999999,2683369.4499999997,10166769.0099999998,
FS(9),2519193.7300000000,2430767.1299999999,2601338.4699999997,2677307.6499999999,10228606.9800000004,
FS(10),2570655.1799999997,2453577.9600000000,2603535.5099999998,2653060.4500000002,10280829.0999999996,
FS(11),2559528.3799999999,2455578.9099999997,2599141.4299999997,2652050.1499999999,10266298.8699999992,
FS(12),2543672.6899999999,2454778.5299999998,2610675.8900000001,2624266.8999999999,10233394.0099999998,
FS(13),2520306.4099999997,2617655.8599999999,2582389.0000000000,2618205.0999999996,10338556.3699999973,
FS(14),2493602.0899999999,2603249.0199999996,2590353.2699999996,2593957.8999999999,10281162.2799999993,
FS(15),2461334.3700000001,2548823.1799999997,2546961.7299999995,2606586.6499999999,10163705.9299999997,
FS(16),2397077.1000000001,2473987.6499999999,2488465.5400000000,2625782.3499999996,9985312.6399999987,
FS(17),2539500.1400000001,2456379.2900000000,2470065.3299999996,2653565.6000000001,10119510.3599999994,
FS(18),2572324.1999999997,2453978.1499999999,2474459.4099999997,2670740.6999999997,10171502.4599999990,
FS(19),2520862.7500000000,2549223.3700000001,2441503.8100000001,2637400.7999999998,10148990.7299999986,
FS(20),2592630.6099999999,2582439.1399999997,2457981.6099999999,2703070.2999999998,10336121.6599999983,
FS(21),2612380.6799999997,2593644.4600000000,2429694.7199999997,2675792.1999999997,10311512.0599999987,
FS(22),2570933.3500000001,2546822.2300000000,2383282.2500000000,2630833.8499999996,10131871.6799999978,
FS(23),2573158.7100000000,2562429.6399999997,2378888.1699999999,2703070.2999999998,10217546.8200000003,
FS(24),2558137.5299999998,2556026.5999999996,2397013.7500000000,2704080.6000000001,10215258.4799999986,
FS(25),2610155.3199999998,2598046.5499999998,2437384.3599999999,2716204.2000000002,10361790.4299999997,
FS(26),2639085.0000000000,2598846.9299999997,2472811.6299999999,2766719.2000000002,10477462.7599999998,
FS(27),2628792.7100000000,2612453.3899999997,2501098.5199999996,2772781.0000000000,10515125.6199999992,
FS(28),2641588.5299999998,2669280.3700000001,2553278.2199999997,2813698.1499999999,10677845.2699999996,
FS(29),2675247.1000000001,2642867.8300000001,2538173.5699999998,2778337.6499999999,10634626.1499999985,
FS(30),2673578.0800000001,2638865.9299999997,2542018.3900000001,2783389.1499999999,10637851.5500000007,
FS(31),2685817.5600000001,2662076.9499999997,2547510.9900000002,2800564.2500000000,10695969.7499999981,
FS(32),2686095.7300000000,2666078.8500000001,2531307.8199999998,2813193.0000000000,10696675.3999999985,
FS(33),2676359.7799999998,2646469.5399999996,2516752.4299999997,2780358.2500000000,10619940.0000000000,
FS(34),2696109.8500000001,2686488.5399999996,2537075.0499999998,2819254.7999999998,10738928.2399999984,
FS(35),2712243.7100000000,2676483.7899999996,2513456.8699999996,2830368.1000000001,10732552.4699999988,
FS(36),2707236.6499999999,2675683.4099999997,2502197.0400000000,2837945.3500000001,10723062.4499999993,
FS(37),2681923.1799999997,2691290.8199999998,2502197.0400000000,2824306.2999999998,10699717.3399999980,
FS(38),2703898.6099999999,2725707.1599999997,2502197.0400000000,2842491.7000000002,10774294.5099999998,
FS(39),2689990.1099999999,2764525.5899999999,2509062.7900000000,2862192.5499999998,10825771.0399999991,
FS(40),2697500.6999999997,2776131.1000000001,2529934.6699999999,2878862.5000000000,10882428.9699999988,
FS(41),2679141.4800000000,2760523.6899999999,2514555.3900000001,2850068.9500000002,10804289.5099999998,
FS(42),2698891.5499999998,2818951.4299999997,2563439.5299999998,2882398.5499999998,10963681.0599999987,
