代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10979955.4899999984
真實報酬,979955.4899999984
趨勢值,0.2780513793

選擇檔數,6
找到最佳解世代,1593
找到最佳解實驗,1
Stock#,CVX,INTC,KO,MCD,UNH,WMT,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,14996,69589,44802,17917,23560,22937,
剩餘資金,10.5600000000,9.4500000000,31.5999999999,26.6600000001,31.6000000001,63.5800000001,
FS(1),1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,9999999.9999999981,
FS(2),1662017.2400000000,1657619.4299999999,1679210.5599999998,1667920.1900000002,1661247.2000000002,1668271.5900000001,9996290.2100000009,
FS(3),1642372.4800000000,1636742.7300000000,1685034.8199999998,1676699.5200000000,1668550.8000000000,1671482.7700000003,9980887.1199999992,
FS(4),1668615.4800000000,1669449.5599999998,1703851.6599999999,1701066.6400000001,1669728.8000000003,1670335.9199999999,10083052.0599999987,
FS(5),1680312.3600000001,1684759.1399999999,1700267.5000000000,1718625.3000000003,1681273.2000000002,1691667.3300000001,10156908.8300000001,
FS(6),1674913.8000000000,1690326.2600000000,1728044.7399999998,1699633.2800000000,1643106.0000000000,1691896.7000000002,10127924.7799999993,
FS(7),1703256.2400000000,1702852.2799999998,1731180.8799999999,1708233.4400000002,1663838.8000000003,1715751.1799999999,10225116.8199999984,
FS(8),1680012.4400000002,1708419.3999999999,1725356.6199999999,1700170.7900000003,1654886.0000000000,1719421.0999999999,10188270.3499999978,
FS(9),1687210.5200000000,1718857.7500000000,1731628.8999999999,1710383.4800000000,1677739.2000000000,1728595.9000000001,10254419.7500000000,
FS(10),1701756.6400000001,1723033.0900000001,1744173.4600000000,1716116.9200000002,1732162.8000000000,1738458.8100000003,10355705.7199999988,
FS(11),1690209.7200000000,1723033.0900000001,1678762.5399999998,1720417.0000000000,1739466.4000000001,1727907.7900000000,10279800.5399999991,
FS(12),1703556.1599999999,1704939.9500000000,1662185.7999999998,1711996.0100000000,1732869.6000000001,1716898.0300000000,10232449.5499999970,
FS(13),1718552.1599999999,1721641.3099999998,1671146.1999999997,1715579.4100000001,1731220.4000000001,1686391.8200000001,10244535.2999999989,
FS(14),1689759.8400000001,1699372.8300000001,1665769.9600000000,1728121.3100000003,1738995.2000000002,1677217.0200000003,10199240.1600000001,
FS(15),1711803.9600000002,1713986.5199999998,1680106.5999999999,1729017.1600000001,1790827.2000000002,1682492.5300000000,10308237.9699999988,
FS(16),1724100.6799999999,1713290.6300000001,1692203.1399999999,1731167.2000000002,1774570.8000000000,1682492.5300000000,10317828.9799999986,
FS(17),1732198.5200000000,1725816.6499999999,1696683.3399999999,1718087.7900000003,1792005.2000000002,1715292.4400000002,10380087.9399999995,
FS(18),1734897.8000000000,1723033.0900000001,1705643.7399999998,1703575.0200000000,1791062.8000000000,1710246.3000000000,10368462.7500000000,
FS(19),1729499.2400000000,1723033.0900000001,1711468.0000000000,1704829.2100000002,1820512.8000000000,1713457.4800000002,10402803.8199999984,
FS(20),1722151.2000000002,1704939.9500000000,1707883.8399999999,1689958.1000000001,1816507.5999999999,1700154.0200000003,10341598.7099999972,
FS(21),1729349.2800000000,1712594.7400000000,1716396.2200000000,1701783.3200000003,1840774.3999999999,1723320.3899999999,10424222.3499999996,
FS(22),1716002.8400000001,1704939.9500000000,1718188.2999999998,1702500.0000000000,1837476.0000000000,1715751.1799999999,10394862.2699999996,
FS(23),1722301.1599999999,1713986.5199999998,1723564.5399999998,1712533.5200000000,1829230.0000000000,1717586.1399999999,10419205.8800000008,
FS(24),1725750.2400000000,1714682.4099999999,1727148.6999999997,1711100.1600000001,1823575.6000000003,1710705.0400000000,10412966.1499999985,
FS(25),1737147.2000000002,1728600.2100000000,1731628.8999999999,1705725.0600000003,1834884.3999999999,1707264.4900000002,10445254.2599999998,
FS(26),1717202.5200000000,1720945.4199999999,1738349.1999999997,1769867.9200000002,1832528.4000000001,1718503.6200000001,10497401.0800000001,
FS(27),1734297.9600000002,1723033.0900000001,1723564.5399999998,1768613.7300000000,1828287.5999999999,1732495.1900000002,10510296.1099999994,
FS(28),1716302.7600000000,1709811.1799999999,1701163.5399999998,1744604.9500000002,1814387.2000000002,1718732.9900000002,10405006.6199999992,
FS(29),1711054.1599999999,1704939.9500000000,1710123.9399999999,1748367.5200000000,1783523.6000000001,1703823.9400000002,10361837.1099999994,
FS(30),1725600.2800000000,1718857.7500000000,1714604.1399999999,1748725.8600000001,1808497.2000000002,1712998.7400000002,10429287.9700000007,
FS(31),1743145.6000000001,1727208.4299999999,1720428.3999999999,1743529.9300000002,1837711.6000000001,1715063.0700000001,10487091.0299999993,
FS(32),1727549.7600000000,1741126.2300000000,1708779.8799999999,1721850.3600000001,1883889.2000000000,1706117.6399999999,10489317.0700000003,
FS(33),1732198.5200000000,1769657.7200000000,1722668.5000000000,1730808.8600000001,1920878.4000000001,1729054.6399999999,10605270.6400000006,
FS(34),1733998.0400000000,1751564.5800000001,1722220.4799999997,1710562.6500000001,1916402.0000000002,1745569.2800000000,10580321.0299999993,
FS(35),1737297.1599999999,1748085.1300000001,1720428.3999999999,1723283.7200000002,1914988.4000000001,1760707.7000000002,10604794.5100000016,
FS(36),1755892.2000000002,1771745.3899999999,1730284.8399999999,1718446.1300000001,1910747.5999999999,1763230.7700000003,10650350.9299999978,
