代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11120923.0500000007
真實報酬,1120923.0500000007
趨勢值,0.3143244436

選擇檔數,4
找到最佳解世代,3195
找到最佳解實驗,6
Stock#,CSCO,JNJ,MCD,TRV,
分配資金,2500000,2500000,2500000,2500000,
張數,115901,27304,26505,30055,
剩餘資金,15.4300000000,45.7599999999,48.4000000002,25.0999999998,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,9999999.9999999981,
FS(2),2528975.2500000000,2548601.1199999996,2517493.3000000003,2527951.1499999994,10123020.8200000003,
FS(3),2534770.3000000003,2528123.1199999996,2518553.5000000005,2535765.4499999997,10117212.3699999992,
FS(4),2528975.2500000000,2536314.3199999998,2533396.3000000003,2536667.0999999996,10135352.9700000007,
FS(5),2518544.1600000001,2548055.0399999996,2531275.9000000004,2522541.2500000000,10120416.3499999996,
FS(6),2513908.1200000001,2551604.5600000001,2523324.4000000004,2518032.9999999995,10106870.0800000001,
FS(7),2504636.0400000000,2552696.7199999997,2618212.3000000003,2512021.9999999995,10187567.0599999987,
FS(8),2528975.2500000000,2555700.1599999997,2616356.9500000002,2507513.7500000000,10208546.1099999994,
FS(9),2494204.9500000002,2539317.7599999998,2580840.2500000005,2482267.5499999998,10096630.5099999998,
FS(10),2474501.7800000003,2534130.0000000000,2586406.3000000003,2484371.3999999994,10079409.4800000004,
FS(11),2493045.9400000004,2564710.4800000000,2586936.4000000004,2510819.7999999998,10155512.6200000010,
FS(12),2506954.0600000001,2564983.5199999996,2579249.9500000007,2523142.3499999996,10174329.8799999990,
FS(13),2506954.0600000001,2555427.1199999996,2547178.9000000004,2500601.0999999996,10110161.1799999997,
FS(14),2530134.2599999998,2569898.2399999998,2560431.4000000004,2501502.7499999995,10161966.6499999985,
FS(15),2508113.0700000003,2619318.4800000000,2530480.7500000005,2518032.9999999995,10175945.2999999989,
FS(16),2500000.0000000000,2599386.5600000001,2549299.3000000007,2520437.3999999994,10169123.2599999998,
FS(17),2589243.7700000000,2658909.2799999998,2542142.9500000002,2525546.7499999995,10315842.7499999981,
FS(18),2586925.7500000000,2649898.9599999995,2540287.6000000006,2507513.7500000000,10284626.0599999987,
FS(19),2552155.4500000002,2656178.8799999999,2548769.2000000002,2509317.0499999993,10266420.5799999982,
FS(20),2588084.7599999998,2660547.5199999996,2577394.6000000001,2524344.5499999993,10350371.4299999997,
FS(21),2598515.8500000006,2682117.6799999997,2598333.5500000003,2557705.5999999996,10436672.6799999997,
FS(22),2677328.5300000003,2674199.5199999996,2594887.9000000004,2536366.5499999998,10482782.5000000000,
FS(23),2664579.4199999999,2682117.6799999997,2586671.3500000006,2544180.8499999996,10477549.3000000007,
FS(24),2676169.5200000000,2682936.7999999998,2588526.7000000002,2554098.9999999995,10501732.0199999996,
FS(25),2632127.1400000001,2687305.4399999999,2594092.7500000005,2560711.0999999996,10474236.4299999997,
FS(26),2648353.2800000003,2672834.3199999998,2571298.4500000007,2554700.0999999996,10447186.1500000004,
FS(27),2658784.3700000001,2677476.0000000000,2599658.8000000003,2546585.2499999995,10482504.4199999999,
FS(28),2679646.5500000003,2701776.5600000001,2606815.1500000004,2579345.1999999993,10567583.4599999990,
FS(29),2625173.0800000001,2635973.9199999999,2635440.5500000007,2554399.5499999993,10450987.0999999996,
FS(30),2603151.8900000001,2644984.2399999998,2631729.8500000006,2563716.5999999996,10443582.5800000001,
FS(31),2648353.2800000003,2652356.3199999998,2653463.9500000002,2569727.5999999996,10523901.1500000004,
FS(32),2652989.3200000003,2708602.5600000001,2672547.5500000003,2581449.0499999998,10615588.4800000004,
FS(33),2669215.4600000004,2696315.7599999998,2672547.5500000003,2608197.9999999995,10646276.7699999996,
