代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10896215.2799999993
真實報酬,896215.2799999993
趨勢值,0.3308904653

選擇檔數,7
找到最佳解世代,2354
找到最佳解實驗,1
Stock#,AAPL,CSCO,CVX,DIS,INTC,MCD,VZ,
分配資金,1428571,1428571,1428571,1428571,1428571,1428571,1428571,
張數,16906,62084,11434,17955,54010,14149,30253,
剩餘資金,14.0000000000,18.1599999999,7.0400000000,71.2000000000,6.5000000000,87.9600000001,24.3400000000,
FS(1),1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,10000000.0000000000,
FS(2),1431106.9000000001,1424225.1200000001,1426055.5200000000,1442037.2500000000,1426410.6000000001,1435221.0300000003,1425545.7000000000,10010605.1199999992,
FS(3),1451394.0999999999,1425466.8000000000,1433373.2800000000,1458376.3000000000,1413448.2000000002,1431117.8200000003,1433714.0100000000,10046893.5099999979,
FS(4),1435671.5200000000,1410566.6399999999,1428914.0200000000,1454964.8499999999,1415068.5000000000,1428429.5100000002,1436134.2500000000,10009752.2900000010,
FS(5),1430599.7200000000,1419879.2400000000,1443320.8600000001,1441678.1500000001,1424250.2000000000,1442720.0000000000,1455193.6400000001,10057644.8100000005,
FS(6),1420118.0000000000,1429191.8399999999,1430286.1000000001,1465199.2000000000,1422629.8999999999,1442578.5100000002,1466992.3100000001,10076998.8600000013,
FS(7),1414200.9000000001,1429191.8399999999,1429600.0600000001,1471483.4500000000,1420469.5000000000,1456444.5300000003,1466689.7800000000,10088083.0599999987,
FS(8),1431783.1399999999,1439746.1200000001,1432001.2000000000,1479922.3000000000,1424250.2000000000,1455454.1000000001,1457008.8200000001,10120168.8799999990,
FS(9),1433980.9199999999,1419258.3999999999,1438975.9399999999,1473817.5999999999,1428571.0000000000,1464933.9300000002,1447630.3900000001,10107171.1799999997,
FS(10),1434319.0400000000,1416154.1999999997,1445493.3200000001,1452989.8000000000,1422089.7999999998,1457859.4300000002,1452470.8700000001,10081379.4599999990,
FS(11),1422146.7200000000,1501209.2799999998,1415650.5800000001,1439164.4500000000,1404806.6000000001,1450360.4600000002,1450958.2200000002,10084299.3100000005,
FS(12),1443110.1599999999,1513005.2400000000,1408447.1600000001,1443473.6499999999,1394544.7000000000,1459415.8200000003,1484539.0500000000,10146538.7799999993,
