代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11476061.8900000006
真實報酬,1476061.8900000006
趨勢值,0.1613128363

選擇檔數,3
找到最佳解世代,2062
找到最佳解實驗,1
Stock#,KO,NKE,UNH,
分配資金,3333333,3333333,3333333,
張數,84839,86828,40904,
剩餘資金,8.6900000001,6.0800000000,66.0400000002,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3342665.2900000000,3349830.3199999998,3365238.1199999996,10057734.7300000004,
FS(3),3324000.7100000000,3339410.9600000000,3312881.0000000000,9976293.6699999999,
FS(4),3386781.5700000003,3348962.0400000000,3333742.0400000000,10069486.6500000004,
FS(5),3338423.3399999999,3314230.8400000003,3242117.0800000001,9894772.2600000016,
FS(6),3346907.2400000002,3345488.9200000004,3277294.5200000000,9969691.6800000016,
FS(7),3357087.9199999999,3345488.9200000004,3267068.5200000000,9969646.3600000013,
FS(8),3366420.2100000000,3331596.4399999999,3281384.9199999999,9979402.5700000003,
FS(9),3388478.3499999996,3354171.7200000002,3334151.0800000001,10076802.1500000004,
FS(10),3408839.7100000000,3355908.2799999998,3346831.3199999998,10111580.3100000005,
FS(11),3468227.0100000002,3348962.0400000000,3332514.9199999999,10149704.9700000007,
FS(12),3508101.3399999999,3410609.9200000004,3368101.4000000004,10286813.6600000001,
FS(13),3500465.8299999996,3408873.3599999999,3414322.9199999999,10323663.1100000013,
FS(14),3499617.4399999999,3426238.9600000000,3412686.7600000002,10338544.1600000001,
FS(15),3513191.6799999997,3427107.2399999998,3426594.1199999996,10366894.0399999991,
FS(16),3488588.3699999996,3442736.2799999998,3427003.1600000001,10358328.8100000005,
FS(17),3513191.6799999997,3473994.3599999999,3445819.0000000000,10433006.0399999991,
FS(18),3529311.0899999999,3450550.8000000003,3481814.5200000000,10461677.4100000001,
FS(19),3529311.0899999999,3460970.1600000001,3533353.5600000001,10523635.8100000005,
FS(20),3531856.2600000002,3421897.5599999996,3531717.4000000004,10485472.2200000007,
FS(21),3539491.7700000000,3410609.9200000004,3545624.7600000002,10495727.4500000011,
FS(22),3532704.6499999999,3441868.0000000000,3533762.6000000001,10508336.2500000000,
FS(23),3544582.1099999999,3421897.5599999996,3550124.2000000002,10516604.8700000010,
FS(24),3552217.6199999996,3469652.9600000000,3561168.2800000003,10583039.8599999994,
FS(25),3549672.4500000002,3561690.6400000001,3589392.0400000000,10700756.1300000008,
FS(26),3544582.1099999999,3577319.6800000002,3595936.6799999997,10717839.4700000007,
FS(27),3558156.3499999996,3553007.8400000003,3622524.2800000003,10733689.4700000007,
FS(28),3577669.3200000003,3580792.8000000003,3568940.0400000000,10727403.1600000020,
FS(29),3559004.7400000002,3552139.5599999996,3561986.3599999999,10673131.6600000001,
FS(30),3517433.6299999999,3553007.8400000003,3525172.7600000002,10595615.2300000004,
FS(31),3520827.1899999999,3543456.7600000002,3519037.1600000001,10583322.1100000013,
FS(32),3532704.6499999999,3525222.8800000004,3565258.6799999997,10623187.2100000009,
FS(33),3530159.4800000000,3539115.3599999999,3558305.0000000000,10627580.8399999999,
FS(34),3545430.5000000000,3559085.8000000003,3584483.5600000001,10689000.8600000013,
FS(35),3567488.6399999997,3552139.5599999996,3591437.2399999998,10711066.4399999995,
FS(36),3581911.2700000000,3503515.8800000004,3590210.1199999996,10675638.2699999996,
FS(37),3553914.3999999999,3478335.7600000002,3541943.4000000004,10574194.5600000005,
FS(38),3586153.2200000002,3509593.8400000003,3608207.8799999999,10703955.9399999995,
FS(39),3544582.1099999999,3462706.7200000002,3525172.7600000002,10532462.5900000017,
FS(40),3580214.4900000002,3885559.0800000001,3542352.4399999999,11008127.0100000016,
FS(41),3584456.4399999999,3869061.7600000002,3538671.0800000001,10992190.2800000012,
FS(42),3619240.4299999997,3872534.8800000004,3528036.0400000000,11019812.3499999996,
FS(43),3626027.5500000003,3807413.8800000004,3471997.5600000001,10905439.9900000002,
FS(44),3619240.4299999997,3876876.2799999998,3472815.6400000001,10968933.3499999996,
FS(45),3648085.6899999999,3920290.2799999998,3518628.1199999996,11087005.0899999999,
FS(46),3698989.0899999999,3873403.1600000001,3480587.4000000004,11052980.6500000004,
FS(47),3726137.5700000003,3823911.2000000002,3443773.7999999998,10993823.5700000003,
FS(48),3779586.1399999997,3856905.8400000003,3543170.5200000000,11179663.5000000000,
FS(49),3721895.6199999996,3787443.4399999999,3474451.7999999998,10983791.8599999994,
FS(50),3772799.0200000000,3785706.8800000004,3492858.6000000001,11051365.5000000000,
FS(51),3738863.4199999999,3707561.6800000002,3433956.8400000003,10880382.9400000013,
FS(52),3702382.6499999999,3694537.4800000000,3387735.3199999998,10784656.4499999993,
FS(53),3667598.6599999997,3698010.6000000006,3360738.6799999997,10726348.9400000013,
FS(54),3610756.5300000003,3778760.6400000001,3492858.6000000001,10882376.7700000014,
FS(55),3637905.0100000002,3784838.6000000006,3606980.7600000002,11029725.3700000010,
FS(56),3672689.0000000000,3859510.6800000002,3621706.2000000002,11153906.8800000008,
FS(57),3451259.2100000000,3935051.0400000000,3720284.8400000003,11106596.0900000017,
FS(58),3446168.8699999996,3901188.1200000001,3672018.1199999996,11019376.1099999994,
FS(59),3466530.2300000000,3923763.3999999999,3708422.6799999997,11098717.3100000005,
FS(60),3480952.8599999999,3946338.6800000002,3748508.6000000001,11175801.1400000006,
FS(61),3458046.3299999996,3978465.0400000000,3768551.5600000001,11205063.9299999997,
FS(62),3441078.5300000003,4014064.5200000000,3789412.6000000001,11244556.6500000004,
FS(63),3475014.1299999999,3992357.5200000000,3802501.8799999999,11269874.5299999993,
FS(64),3512343.2900000000,4037508.0800000001,3840133.5600000001,11389985.9299999997,
FS(65),3553066.0100000002,4036639.8000000003,3886355.0800000001,11476061.8900000006,
