代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12525222.6999999993
真實報酬,2525222.6999999993
趨勢值,0.1631791966

選擇檔數,1
找到最佳解世代,2413
找到最佳解實驗,1
Stock#,NKE,
分配資金,10000000,
張數,252270,
剩餘資金,17.1999999999,
FS(1),10000000.0000000000,10000000.0000000000,
FS(2),9941977.8999999985,9941977.8999999985,
FS(3),10080726.4000000004,10080726.4000000004,
FS(4),10348132.5999999996,10348132.5999999996,
FS(5),10393541.1999999993,10393541.1999999993,
FS(6),10322905.5999999996,10322905.5999999996,
FS(7),10403632.0000000000,10403632.0000000000,
FS(8),10320382.8999999985,10320382.8999999985,
FS(9),10322905.5999999996,10322905.5999999996,
FS(10),10295155.9000000004,10295155.9000000004,
FS(11),10242179.1999999993,10242179.1999999993,
FS(12),10282542.3999999985,10282542.3999999985,
FS(13),10340564.5000000000,10340564.5000000000,
FS(14),10320382.8999999985,10320382.8999999985,
FS(15),10179111.6999999993,10179111.6999999993,
FS(16),10105953.4000000004,10105953.4000000004,
FS(17),10196770.5999999996,10196770.5999999996,
FS(18),10060544.8000000007,10060544.8000000007,
FS(19),11289099.6999999993,11289099.6999999993,
FS(20),11241168.4000000004,11241168.4000000004,
FS(21),11251259.1999999993,11251259.1999999993,
FS(22),11062056.6999999993,11062056.6999999993,
FS(23),11263872.6999999993,11263872.6999999993,
FS(24),11390007.6999999993,11390007.6999999993,
FS(25),11253781.8999999985,11253781.8999999985,
FS(26),11109987.9999999981,11109987.9999999981,
FS(27),11205850.5999999996,11205850.5999999996,
FS(28),11004034.5999999978,11004034.5999999978,
FS(29),10998989.1999999993,10998989.1999999993,
FS(30),10771946.1999999993,10771946.1999999993,
FS(31),10734105.6999999993,10734105.6999999993,
FS(32),10744196.5000000000,10744196.5000000000,
FS(33),10978807.5999999996,10978807.5999999996,
FS(34),10996466.5000000000,10996466.5000000000,
FS(35),11213418.6999999993,11213418.6999999993,
FS(36),11432893.5999999996,11432893.5999999996,
FS(37),11334508.2999999989,11334508.2999999989,
FS(38),11400098.4999999981,11400098.4999999981,
FS(39),11465688.6999999993,11465688.6999999993,
FS(40),11559028.5999999996,11559028.5999999996,
FS(41),11662459.2999999989,11662459.2999999989,
FS(42),11599391.7999999989,11599391.7999999989,
FS(43),11730572.1999999993,11730572.1999999993,
FS(44),11728049.5000000000,11728049.5000000000,
FS(45),11788594.2999999989,11788594.2999999989,
FS(46),11851661.7999999989,11851661.7999999989,
FS(47),11942479.0000000000,11942479.0000000000,
FS(48),11932388.1999999993,11932388.1999999993,
FS(49),11828957.5000000000,11828957.5000000000,
FS(50),11977796.7999999989,11977796.7999999989,
FS(51),11967705.9999999981,11967705.9999999981,
FS(52),12086272.8999999985,12086272.8999999985,
FS(53),12124113.4000000004,12124113.4000000004,
FS(54),12045909.6999999993,12045909.6999999993,
FS(55),12116545.2999999989,12116545.2999999989,
FS(56),12169522.0000000000,12169522.0000000000,
FS(57),12230066.7999999989,12230066.7999999989,
FS(58),12272952.6999999993,12272952.6999999993,
FS(59),12288088.9000000004,12288088.9000000004,
FS(60),12356201.7999999989,12356201.7999999989,
FS(61),12272952.6999999993,12272952.6999999993,
FS(62),12336020.1999999993,12336020.1999999993,
FS(63),12525222.6999999993,12525222.6999999993,
