代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12408112.3400000017
真實報酬,2408112.3400000017
趨勢值,0.2433944172

選擇檔數,2
找到最佳解世代,2127
找到最佳解實驗,1
Stock#,UNH,WBA,
分配資金,5000000,5000000,
張數,58906,84688,
剩餘資金,58.7200000003,20.4800000001,
FS(1),5000000.0000000000,5000000.0000000000,10000000.0000000000,
FS(2),5001178.1200000010,5060975.3600000003,10062153.4800000004,
FS(3),5067152.8400000008,5146510.2400000012,10213663.0800000019,
FS(4),5012370.2600000007,5136347.6800000006,10148717.9400000013,
FS(5),4959354.8600000003,5067750.4000000004,10027105.2600000016,
FS(6),5102496.4400000013,5204944.9600000009,10307441.4000000022,
FS(7),5003534.3600000003,5212566.8799999999,10216101.2400000002,
FS(8),5030042.0600000005,5334517.6000000006,10364559.6600000020,
FS(9),4945217.4200000009,5139735.2000000002,10084952.6200000010,
FS(10),4878653.6400000006,5139735.2000000002,10018388.8400000017,
FS(11),4839775.6800000006,5161754.0800000010,10001529.7600000016,
FS(12),5030042.0600000005,5114328.8000000007,10144370.8600000013,
FS(13),5194389.8000000007,5104166.2400000012,10298556.0400000010,
FS(14),5215595.9600000009,5098238.0800000010,10313834.0400000010,
FS(15),5357559.4200000009,5212566.8799999999,10570126.3000000007,
FS(16),5288050.3400000008,5208332.4800000004,10496382.8200000022,
FS(17),5340476.6800000006,5256604.6400000006,10597081.3200000003,
FS(18),5398204.5600000005,5305723.6800000006,10703928.2400000002,
FS(19),5427068.5000000000,5344680.1600000001,10771748.6600000001,
FS(20),5457110.5600000005,5394646.0800000010,10851756.6400000006,
FS(21),5475960.4800000004,5320967.5200000005,10796928.0000000000,
FS(22),5530154.0000000000,5331976.9600000009,10862130.9600000009,
FS(23),5596717.7800000012,5438683.8400000008,11035401.6200000010,
FS(24),5587881.8800000008,5503046.7200000007,11090928.6000000015,
FS(25),5594950.6000000006,5525065.5999999996,11120016.2000000011,
FS(26),5643253.5200000005,5560634.5600000005,11203888.0800000001,
FS(27),5667404.9800000004,5644475.6800000006,11311880.6600000020,
FS(28),5514249.3800000008,5667341.4400000004,11181590.8200000022,
FS(29),5581402.2200000007,5740173.1200000001,11321575.3400000017,
FS(30),5636773.8600000003,5716460.4800000004,11353234.3400000017,
FS(31),5636184.8000000007,5711379.2000000002,11347564.0000000019,
FS(32),5649144.1200000010,5670728.9600000000,11319873.0800000001,
FS(33),5602608.3800000008,5668188.3200000012,11270796.7000000011,
FS(34),5682720.5400000010,5636006.8799999999,11318727.4200000018,
FS(35),5784038.8600000003,5763885.7600000007,11547924.6200000010,
FS(36),5705693.8800000008,5741020.0000000009,11446713.8800000027,
FS(37),5705104.8200000003,5702910.4000000004,11408015.2200000007,
FS(38),5696857.9800000004,5724082.4000000004,11420940.3800000008,
FS(39),5708050.1200000010,5735938.7200000007,11443988.8400000017,
FS(40),5766956.1200000010,5742713.7600000007,11509669.8800000008,
FS(41),5779326.3800000008,5798607.8400000008,11577934.2200000007,
FS(42),5809957.5000000000,5810464.1600000001,11620421.6600000001,
FS(43),5835287.0800000010,5739326.2400000002,11574613.3200000003,
FS(44),5880644.7000000002,5652944.4800000004,11533589.1800000016,
FS(45),5937783.5200000005,5706297.9199999999,11644081.4400000013,
FS(46),5871219.7400000012,5750335.6800000006,11621555.4200000018,
FS(47),5910097.7000000002,5809617.2800000003,11719714.9800000004,
FS(48),5885946.2400000012,5735938.7200000007,11621884.9600000028,
FS(49),5950742.8400000008,5808770.4000000004,11759513.2400000021,
FS(50),5837054.2600000007,5771507.6800000006,11608561.9400000013,
FS(51),5874754.1000000006,6183091.3600000013,12057845.4600000009,
FS(52),5817615.2800000012,6309276.4800000004,12126891.7600000016,
FS(53),5788751.3400000008,6219507.2000000002,12008258.5400000010,
FS(54),5646198.8200000003,6130584.8000000007,11776783.6200000010,
FS(55),5839999.5600000005,6096709.5999999996,11936709.1600000001,
FS(56),6022608.1600000001,6299113.9199999999,12321722.0800000001,
FS(57),6037334.6600000001,6201722.7200000007,12239057.3800000008,
FS(58),6069732.9600000009,6289798.2400000002,12359531.2000000011,
FS(59),6058540.8200000003,6479499.3600000013,12538040.1800000016,
FS(60),6048526.8000000007,6493049.4400000004,12541576.2400000021,
FS(61),6040869.0200000005,6475264.9600000000,12516133.9800000004,
FS(62),6027909.7000000002,6503212.0000000009,12531121.7000000011,
FS(63),6058540.8200000003,6440542.8799999999,12499083.7000000011,
FS(64),5954866.2600000007,6453246.0800000010,12408112.3400000017,
