代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11008245.5699999984
真實報酬,1008245.5699999984
趨勢值,0.2025879832

選擇檔數,4
找到最佳解世代,1998
找到最佳解實驗,1
Stock#,BA,PFE,UTX,WBA,
分配資金,2500000,2500000,2500000,2500000,
張數,19836,82808,23518,38473,
剩餘資金,68.9200000000,26.4799999999,36.6000000001,24.4599999998,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2496231.1600000001,2507452.7200000002,2513640.4399999999,2510002.9800000000,10027327.2999999989,
FS(3),2464096.8399999999,2487578.7999999998,2538334.3400000003,2526161.6399999997,10016171.6199999992,
FS(4),2471237.7999999998,2487578.7999999998,2553621.0400000000,2564249.9100000001,10076687.5500000007,
FS(5),2468659.1200000001,2477641.8400000003,2565380.0400000000,2574637.6200000001,10086318.6199999992,
FS(6),2472427.9600000000,2500828.0800000001,2563498.6000000001,2607724.3999999999,10144479.0399999991,
FS(7),2486709.8799999999,2510765.0400000000,2546095.2800000003,2596951.9600000000,10140522.1599999983,
FS(8),2496826.2400000002,2519045.8400000003,2543273.1200000001,2594643.5800000001,10153788.7799999993,
FS(9),2549590.0000000000,2519045.8400000003,2543273.1200000001,2576176.5399999996,10188085.4999999981,
FS(10),2556135.8800000004,2512421.2000000002,2527045.7000000002,2575022.3500000001,10170625.1299999990,
FS(11),2547408.0399999996,2510765.0400000000,2525164.2600000002,2560402.6099999999,10143739.9499999993,
FS(12),2591840.6799999997,2533123.2000000002,2558795.0000000000,2618496.8399999999,10302255.7199999988,
FS(13),2610684.8800000004,2520702.0000000000,2555502.4800000000,2608109.1300000004,10294998.4900000002,
FS(14),2612470.1199999996,2520702.0000000000,2559265.3599999999,2590796.2800000003,10283233.7599999979,
FS(15),2633893.0000000000,2521530.0800000001,2594072.0000000000,2600414.5300000003,10349909.6099999994,
FS(16),2670192.8800000004,2502484.2399999998,2558559.8200000003,2605800.7500000000,10337037.6899999995,
FS(17),2674160.0800000001,2523186.2399999998,2627232.3799999999,2608878.5899999999,10433457.2899999991,
FS(18),2673565.0000000000,2575355.2800000003,2590779.4800000000,2634270.7700000000,10473970.5299999993,
FS(19),2665233.8800000004,2579495.6799999997,2588898.0400000000,2639656.9899999998,10473284.5899999999,
FS(20),2626156.9599999995,2588604.5600000001,2579726.0200000000,2607339.6699999999,10401827.2099999990,
FS(21),2623975.0000000000,2614275.0400000000,2579490.8400000003,2568097.2100000000,10385838.0899999980,
FS(22),2617825.8399999999,2629180.4800000000,2610299.4199999999,2592335.1999999997,10449640.9399999995,
FS(23),2604932.4399999999,2622555.8400000003,2615473.3799999999,2612341.1600000001,10455302.8200000003,
FS(24),2622586.4800000000,2649054.3999999999,2617354.8200000003,2639272.2599999998,10528267.9599999972,
FS(25),2584303.0000000000,2647398.2399999998,2658746.5000000000,2605800.7500000000,10496248.4900000002,
FS(26),2572004.6799999997,2645742.0800000001,2704371.4199999999,2638887.5300000003,10561005.7099999990,
FS(27),2472427.9600000000,2638289.3599999999,2669329.6000000001,2621959.4100000001,10402006.3300000001,
FS(28),2447236.2400000002,2620899.6799999997,2682029.3200000003,2808938.1899999999,10559103.4299999997,
FS(29),2395662.6399999997,2562934.0800000001,2637580.3000000003,2866262.9600000000,10462439.9799999986,
FS(30),2421647.7999999998,2555481.3599999999,2631935.9800000000,2825481.5800000001,10434546.7199999988,
FS(31),2464691.9199999999,2539747.8400000003,2662979.7400000002,2785084.9300000002,10452504.4299999997,
FS(32),2480759.0800000001,2577011.4399999999,2678736.8000000003,2769695.7300000000,10506203.0499999989,
FS(33),2492859.0400000000,2647398.2399999998,2750701.8799999999,2861646.1999999997,10752605.3599999994,
FS(34),2503967.2000000002,2644914.0000000000,2718482.2200000002,2817402.2500000000,10684765.6699999999,
FS(35),2543440.8399999999,2657335.2000000002,2754935.1200000001,2857414.1699999999,10813125.3299999982,
FS(36),2579344.0000000000,2604338.0800000001,2756581.3799999999,2943593.6899999999,10883857.1499999985,
FS(37),2603345.5600000001,2601853.8400000003,2749525.9800000000,2949749.3700000001,10904474.7499999981,
FS(38),2611081.5999999996,2620899.6799999997,2757286.9199999999,2941670.0399999996,10930938.2399999984,
FS(39),2624173.3599999999,2599369.6000000001,2748350.0800000001,2954366.1300000004,10926259.1699999999,
FS(40),2615048.8000000003,2598541.5200000000,2732828.2000000002,2925896.1099999999,10872314.6299999990,
FS(41),2578352.1999999997,2579495.6799999997,2704606.6000000001,2931667.0600000001,10794121.5399999991,
FS(42),2577757.1199999996,2594401.1199999996,2705547.3200000003,2923972.4600000000,10801678.0199999977,
FS(43),2559904.7200000002,2580323.7599999998,2660392.7600000002,2866262.9600000000,10666884.1999999993,
FS(44),2529754.0000000000,2601853.8400000003,2622763.9600000000,2873572.8300000001,10627944.6299999990,
FS(45),2569029.2799999998,2637461.2800000003,2651220.7400000002,2947056.2599999998,10804767.5599999987,
FS(46),2614453.7200000002,2691286.4800000000,2696375.3000000003,2983605.6099999999,10985721.1099999994,
FS(47),2609296.3599999999,2703707.6799999997,2681558.9600000000,2911276.3700000001,10905839.3699999992,
FS(48),2596006.2400000002,2713644.6400000001,2691671.7000000002,2912430.5600000001,10913753.1399999987,
FS(49),2601957.0399999996,2686318.0000000000,2689084.7200000002,2895502.4399999999,10872862.1999999993,
FS(50),2586286.5999999996,2689630.3199999998,2669799.9600000000,2885114.7300000000,10830831.6099999994,
FS(51),2581525.9599999995,2683005.6799999997,2669799.9600000000,2877035.3999999999,10811366.9999999981,
FS(52),2594221.0000000000,2716128.8799999999,2731652.3000000003,2925126.6499999999,10967128.8299999982,
FS(53),2602948.8399999999,2740971.2800000003,2764107.1400000001,2925896.1099999999,11033923.3699999992,
FS(54),2626553.6799999997,2702879.6000000001,2799384.1400000001,2908198.5300000003,11037015.9499999993,
FS(55),2690623.9599999995,2716956.9600000000,2832779.7000000002,2924741.9199999999,11165102.5399999972,
FS(56),2670391.2400000002,2687146.0800000001,2821726.2400000002,2908198.5300000003,11087462.0899999999,
FS(57),2659481.4399999999,2716128.8799999999,2792799.1000000001,2917816.7800000003,11086226.1999999993,
FS(58),2627942.1999999997,2699567.2800000003,2802441.4800000000,2882806.3500000001,11012757.3099999987,
FS(59),2769967.9599999995,2645742.0800000001,2749761.1600000001,2838177.6699999999,11003648.8699999973,
FS(60),2931433.0000000000,2635805.1199999996,2738707.7000000002,2868956.0699999998,11174901.8899999987,
FS(61),2883628.2400000002,2587776.4800000000,2699432.6400000001,2837408.2100000000,11008245.5699999984,
