代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11110066.9499999993
真實報酬,1110066.9499999993
趨勢值,0.1597242534

選擇檔數,4
找到最佳解世代,2562
找到最佳解實驗,1
Stock#,BA,MRK,UTX,WBA,
分配資金,2500000,2500000,2500000,2500000,
張數,18883,41308,22791,36889,
剩餘資金,79.6300000003,39.8399999999,55.2100000001,32.4700000001,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2497922.8700000006,2510740.0800000001,2499772.0900000003,2462373.2200000002,9970808.2599999998,
FS(3),2492069.1400000001,2502478.4800000000,2529628.2999999998,2485613.2900000000,10009789.2099999990,
FS(4),2479795.1900000004,2516523.1999999997,2534642.3199999998,2504795.5700000003,10035756.2799999993,
FS(5),2496601.0600000005,2540068.7599999998,2536465.6000000001,2530617.8700000001,10103753.2900000010,
FS(6),2460156.8700000006,2556178.8799999999,2576577.7599999998,2498524.4400000004,10091437.9500000011,
FS(7),2448449.4100000001,2478932.9199999999,2620792.2999999998,2530248.9800000004,10078423.6099999994,
FS(8),2353656.7500000005,2477693.6799999997,2586833.7100000000,2514017.8200000003,9932201.9600000009,
FS(9),2329675.3400000003,2451256.5600000001,2599140.8500000001,2693298.3600000003,10073371.1100000013,
FS(10),2280579.5400000005,2384337.5999999996,2556065.8599999999,2748262.9700000002,9969245.9700000007,
FS(11),2305316.2700000005,2352530.4399999999,2550596.0200000000,2709160.6300000004,9917603.3599999994,
FS(12),2346292.3800000004,2346334.2399999998,2580680.1400000001,2670427.1800000002,9943733.9399999995,
FS(13),2361587.6100000003,2380619.8799999999,2595950.1099999999,2655671.5800000001,9993829.1800000016,
FS(14),2373106.2400000002,2436385.6799999997,2665690.5699999998,2743836.2900000000,10219018.7799999993,
FS(15),2383680.7200000002,2461170.4800000000,2634466.8999999999,2701413.9400000004,10180732.0400000010,
FS(16),2421257.8900000001,2435559.5200000000,2669792.9500000002,2739778.5000000000,10266388.8599999994,
FS(17),2455436.1200000006,2363270.5200000000,2671388.3199999998,2822409.8600000003,10312504.8200000003,
FS(18),2478284.5500000007,2373597.5200000000,2664551.0200000000,2828312.1000000001,10344745.1900000013,
FS(19),2485648.9200000004,2386816.0800000001,2672072.0499999998,2820565.4100000001,10365102.4600000009,
