代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11383224.6200000010
真實報酬,1383224.6200000010
趨勢值,0.1966717278

選擇檔數,4
找到最佳解世代,2052
找到最佳解實驗,1
Stock#,BA,PFE,UNH,WBA,
分配資金,2500000,2500000,2500000,2500000,
張數,19238,79795,24806,32894,
剩餘資金,21.9000000002,22.6500000001,51.3200000000,56.0000000000,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2482685.8000000007,2486434.8500000001,2458822.0400000000,2450659.0000000000,9878601.6900000013,
FS(3),2453444.0400000005,2507181.5499999998,2453860.8399999999,2456908.8599999999,9871395.2900000010,
FS(4),2491535.2800000003,2541493.3999999999,2478914.8999999999,2519736.3999999999,10031679.9800000004,
FS(5),2535590.3000000007,2593360.1499999999,2597239.5200000000,2550985.6999999997,10277175.6700000018,
FS(6),2530588.4200000004,2605329.3999999999,2572929.6399999997,2489144.9800000000,10197992.4400000013,
FS(7),2517698.9600000004,2614904.8000000003,2543906.6199999996,2490131.8000000003,10166642.1800000016,
FS(8),2523470.3600000003,2588572.4499999997,2556805.7399999998,2475658.4399999999,10144506.9900000002,
FS(9),2508272.3400000003,2591764.2499999995,2563255.2999999998,2466777.0600000001,10130068.9500000011,
FS(10),2503655.2200000002,2585380.6499999999,2591286.0799999996,2459869.3199999998,10140191.2699999996,
FS(11),2515967.5400000005,2617298.6499999999,2623781.9399999999,2500986.8199999998,10258034.9500000011,
FS(12),2524432.2600000002,2641237.1499999999,2620061.0400000000,2501644.6999999997,10287375.1500000004,
FS(13),2547325.4800000004,2604531.4499999997,2711843.2399999998,2486513.4600000000,10350213.6300000008,
FS(14),2609464.2200000002,2618096.6000000001,2824214.4199999995,2500657.8799999999,10552433.1199999992,
FS(15),2589841.4600000004,2589370.3999999999,2778323.3199999998,2486513.4600000000,10444048.6400000025,
FS(16),2579260.5600000001,2617298.6499999999,2768648.9800000000,2494736.9600000000,10459945.1500000004,
FS(17),2548672.1400000001,2601339.6499999999,2728959.3799999999,2464803.4200000004,10343774.5900000017,
FS(18),2686416.2200000002,2549472.8999999999,2690510.0799999996,2426646.3799999999,10353045.5800000001,
FS(19),2843013.5400000005,2539897.5000000000,2713579.6599999997,2452961.5799999996,10549452.2800000012,
FS(20),2796649.9600000004,2493616.3999999999,2635688.8199999998,2425988.5000000000,10351943.6800000016,
FS(21),2813771.7800000003,2525534.3999999999,2661487.0600000001,2463487.6600000001,10464280.9000000004,
FS(22),2834548.8200000003,2555058.5500000003,2674386.1799999997,2460198.2600000002,10524191.8100000024,
FS(23),2832240.2600000002,2559048.2999999998,2677114.8399999999,2456250.9800000000,10524654.3800000008,
FS(24),2858788.7000000002,2632459.7000000002,2699440.2399999998,2460198.2600000002,10650886.9000000004,
FS(25),2847245.9000000004,2646822.7999999998,2669176.9199999995,2504934.1000000001,10668179.7200000007,
FS(26),2839165.9400000004,2638843.2999999998,2641642.2599999998,2513157.6000000001,10632809.1000000015,
FS(27),2848015.4200000004,2725021.8999999999,2703161.1399999997,2522696.8599999999,10798895.3200000003,
FS(28),2845706.8600000003,2733001.3999999999,2724990.4199999995,2616115.8199999998,10919814.5000000000,
FS(29),2848977.3200000003,2782474.2999999998,2724742.3599999999,2630260.2399999998,10986454.2200000007,
FS(30),2880527.6400000001,2764121.4499999997,2714819.9600000000,2589800.6200000001,10949269.6700000018,
FS(31),2884182.8600000003,2759333.7500000000,2722757.8799999999,2565788.0000000000,10932062.4900000021,
FS(32),2908230.3600000003,2751354.2499999995,2723005.9399999999,2558880.2600000002,10941470.8100000005,
FS(33),2957864.4000000004,2745768.5999999996,2729455.5000000000,2536183.3999999999,10969271.9000000022,
FS(34),3045589.6800000006,2757737.8500000001,2793703.0400000000,2537170.2199999997,11134200.7900000028,
FS(35),2976910.0200000005,2744172.6999999997,2887469.7200000002,2585195.4600000000,11193747.9000000022,
FS(36),2969984.3400000003,2740182.9500000002,2863407.8999999999,2644404.6600000001,11217979.8500000015,
FS(37),2943628.2800000003,2765717.3499999996,2829175.6199999996,2631904.9399999999,11170426.1900000013,
FS(38),2919003.6400000001,2760131.7000000002,2819501.2799999998,2685851.1000000001,11184487.7200000007,
FS(39),2902074.2000000002,2738587.0499999998,2818757.0999999996,2732889.5200000000,11192307.8700000010,
FS(40),2958826.3000000007,2774494.8000000003,2837857.7200000002,2750652.2800000003,11321831.1000000015,
FS(41),2992877.5600000001,2757737.8500000001,2799656.4800000000,2737165.7399999998,11287437.6300000008,
FS(42),2969407.2000000002,2764121.4499999997,2823470.2399999998,2730915.8799999999,11287914.7699999996,
