代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10967202.0800000019
真實報酬,967202.0800000019
趨勢值,0.1403848567

選擇檔數,3
找到最佳解世代,2619
找到最佳解實驗,1
Stock#,IBM,NKE,WBA,
分配資金,3333333,3333333,3333333,
張數,21552,72526,44509,
剩餘資金,100.6800000001,38.0399999999,53.9900000000,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000019,
FS(2),3415446.1200000001,3385551.7200000002,3328882.1000000001,10129880.9400000013,
FS(3),3382902.6000000006,3355816.0600000001,3323541.0200000000,10062260.6800000016,
FS(4),3403377.0000000000,3384826.4600000000,3328882.1000000001,10117086.5600000005,
FS(5),3377730.1200000001,3328981.4399999999,3389414.3399999999,10096126.9000000004,
FS(6),3356824.6800000002,3306498.3800000004,3400541.5899999999,10063865.6500000004,
FS(7),3417385.8000000003,3363793.9200000004,3413449.1999999997,10194629.9199999999,
FS(8),3409627.0800000001,3311575.1999999997,3539854.7599999998,10261058.0400000010,
FS(9),3416523.7200000002,3336234.0400000000,3558993.6299999994,10311752.3900000006,
FS(10),3457041.4800000004,3337684.5600000001,3504247.5600000001,10298974.6000000015,
FS(11),3469110.6000000006,3331157.2200000002,3471755.9899999998,10272024.8100000024,
FS(12),3495619.5600000001,3394980.1000000001,3462409.1000000001,10353009.7600000016,
FS(13),3532257.9600000000,3397881.1400000001,3431697.8899999997,10361837.9900000002,
FS(14),3527085.4800000004,3442847.2599999998,3433033.1599999997,10402966.9000000004,
FS(15),3511137.0000000000,3445748.2999999998,3498016.2999999998,10454902.6000000015,
FS(16),3552516.8400000003,3460253.5000000000,3578132.5000000000,10590903.8400000017,
FS(17),3508981.8000000003,3511021.6999999997,3561219.0800000001,10581223.5800000019,
FS(18),3467170.9200000004,3517549.0400000000,3634213.8399999999,10618934.8000000007,
FS(19),3490231.5600000001,3521900.6000000001,3697861.7099999995,10709994.8700000010,
FS(20),3458765.6400000001,3581371.9200000004,3721896.5699999998,10762035.1300000008,
FS(21),3470619.2400000002,3553086.7800000003,3703647.8799999994,10727354.9000000004,
FS(22),3435920.5200000000,3536405.7999999998,3695191.1699999995,10667518.4900000002,
FS(23),3473852.0400000005,3570493.0200000000,3703202.7900000000,10747548.8500000015,
FS(24),3416092.6800000002,3514648.0000000000,3665370.1399999997,10596111.8200000003,
FS(25),3465015.7200000002,3533504.7599999998,3716555.4899999998,10715076.9700000007,
FS(26),3401221.8000000003,3500142.7999999998,3681838.4699999997,10583204.0700000003,
FS(27),3379454.2800000003,3457352.4600000000,3672491.5800000001,10509299.3200000022,
FS(28),3404885.6400000001,3518999.5600000001,3749937.2399999998,10673823.4400000013,
FS(29),3325143.2400000002,3474758.6999999997,3726347.4699999997,10526250.4100000001,
FS(30),3385488.8400000003,3497241.7599999998,3862099.9199999995,10744831.5200000014,
FS(31),3382902.6000000006,3500868.0600000001,3839400.3300000001,10723171.9900000021,
FS(32),3444325.8000000003,3536405.7999999998,3880348.6099999999,10861081.2100000009,
FS(33),3444325.8000000003,3565416.1999999997,3888360.2299999995,10898103.2300000004,
FS(34),3510490.4399999999,3698138.7800000003,3927083.0600000001,11135713.2800000012,
FS(35),3548206.4399999999,3679282.0200000000,3913285.2700000000,11140774.7300000004,
FS(36),3513076.6800000002,3650271.6200000001,3916845.9899999998,11080195.2900000010,
FS(37),3431179.0800000001,3590075.0400000000,3822486.9099999997,10843742.0300000012,
FS(38),3461136.3600000003,3602404.4600000000,3758393.9499999997,10821935.7700000014,
FS(39),3457041.4800000004,3621986.4800000000,3796226.6000000001,10875255.5600000005,
FS(40),3505964.5200000000,3658974.7400000002,3827382.8999999994,10992323.1600000001,
FS(41),3459196.6800000002,3638667.4600000000,3769076.1099999999,10866941.2500000019,
FS(42),3430748.0400000005,3610382.3200000003,3750382.3300000001,10791513.6900000013,
FS(43),3458119.0800000001,3614008.6200000001,3826492.7199999997,10898621.4199999999,
FS(44),3492386.7599999998,3616909.6599999997,3917291.0800000001,11026588.5000000000,
FS(45),3493033.3199999998,3612558.1000000001,3884799.5099999998,10990391.9300000016,
FS(46),3488291.8799999999,3656798.9600000000,3902603.1099999999,11047694.9500000011,
FS(47),3498852.3600000003,3652447.3999999999,4122477.5699999998,11273778.3300000019,
FS(48),3510059.4000000004,3625612.7800000003,4095772.1699999995,11231445.3500000015,
FS(49),3499714.4399999999,3600228.6800000002,4081974.3799999994,11181918.5000000000,
FS(50),3497990.2800000003,3609657.0600000001,4093991.8100000001,11201640.1500000004,
FS(51),3537430.4399999999,3620535.9600000000,4074407.8500000001,11232375.2500000000,
FS(52),3515878.4399999999,3622711.7400000002,3984499.6699999995,11123090.8500000015,
FS(53),3462860.5200000000,3574119.3200000003,3870556.6299999994,10907537.4700000007,
FS(54),3581181.0000000000,3626338.0400000000,3877678.0699999998,11085198.1100000013,
FS(55),3540232.2000000002,3637216.9399999999,3876342.7999999998,11053792.9400000013,
FS(56),3563939.4000000004,3632140.1200000001,3873227.1699999995,11069307.6900000013,
FS(57),3669113.1600000001,3666952.6000000001,3858539.1999999997,11194605.9600000009,
FS(58),3659199.2400000002,3661150.5200000000,3826937.8100000001,11147288.5700000003,
FS(59),3679673.6400000001,3660425.2599999998,3833169.0699999998,11173268.9700000007,
FS(60),3748424.5200000000,3621261.2200000002,3831388.7099999995,11201075.4500000011,
FS(61),3758769.4800000004,3632865.3800000004,3764180.1199999996,11155815.9800000004,
FS(62),3691742.7599999998,3584272.9600000000,3691185.3599999999,10967202.0800000019,
