代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10539632.3800000008
真實報酬,539632.3800000008
趨勢值,0.0842051167

選擇檔數,2
找到最佳解世代,1715
找到最佳解實驗,1
Stock#,IBM,UNH,
分配資金,5000000,5000000,
張數,31156,43706,
剩餘資金,85.1200000003,33.5999999998,
FS(1),5000000.0000000000,5000000.0000000000,10000000.0000000000,
FS(2),5017135.7999999998,4932692.7599999998,9949828.5600000005,
FS(3),4966974.6399999997,4974650.5199999996,9941625.1600000001,
FS(4),5021809.2000000002,5017045.3399999999,10038854.5400000010,
FS(5),4938311.1200000001,4933566.8799999999,9871878.0000000000,
FS(6),5009035.2400000002,5021853.0000000000,10030888.2400000002,
FS(7),4916813.4800000004,4915210.3599999994,9832023.8399999999,
FS(8),4885345.9200000009,4926573.9199999999,9811919.8400000017,
FS(9),4922110.0000000000,5020978.8799999999,9943088.8800000008,
FS(10),4806832.7999999998,5037150.0999999996,9843982.9000000004,
FS(11),4894069.6000000006,5180068.7199999997,10074138.3200000003,
FS(12),4890330.8800000008,5139859.1999999993,10030190.0800000019,
FS(13),4979125.4800000004,5243005.3599999994,10222130.8399999999,
FS(14),4979125.4800000004,5277970.1600000001,10257095.6400000006,
FS(15),5074774.4000000004,5207166.4399999995,10281940.8400000017,
FS(16),5129297.4000000004,5202795.8399999999,10332093.2400000021,
FS(17),5078513.1200000001,5162586.3199999994,10241099.4400000013,
FS(18),4960120.3199999994,5093530.8399999999,10053651.1600000001,
FS(19),5003427.1600000001,5080856.0999999996,10084283.2599999998,
FS(20),4997507.5200000005,5157778.6600000001,10155286.1800000016,
FS(21),5068231.6399999997,5288459.5999999996,10356691.2400000002,
FS(22),5000623.1200000001,5170016.3399999999,10170639.4600000009,
FS(23),4959497.2000000002,5133303.2999999998,10092800.5000000000,
FS(24),4999065.3199999994,5129369.7599999998,10128435.0800000001,
FS(25),5048603.3599999994,5144229.7999999998,10192833.1600000001,
FS(26),5049538.0400000000,5128932.6999999993,10178470.7400000002,
FS(27),5042683.7199999997,5165645.7399999993,10208329.4600000009,
FS(28),5057950.1600000001,5181379.8999999994,10239330.0600000005,
FS(29),5074151.2800000003,5201047.5999999996,10275198.8800000008,
FS(30),5059196.4000000004,5217218.8199999994,10276415.2200000007,
FS(31),5056703.9200000009,5241257.1200000001,10297961.0400000010,
FS(32),5113719.4000000004,5127621.5199999996,10241340.9199999999,
FS(33),5082563.4000000004,5314683.1999999993,10397246.6000000015,
FS(34),5005919.6399999997,5188372.8599999994,10194292.5000000000,
FS(35),5176966.0800000001,5182691.0799999991,10359657.1600000001,
FS(36),5117769.6799999997,5213285.2799999993,10331054.9600000009,
FS(37),5152041.2800000003,5149037.4600000000,10301078.7400000002,
FS(38),5304082.5600000005,5168705.1600000001,10472787.7200000007,
FS(39),5289750.7999999998,5187498.7399999993,10477249.5400000010,
FS(40),5319349.0000000000,5080419.0399999991,10399768.0400000010,
FS(41),5418736.6399999997,5139422.1399999997,10558158.7800000012,
FS(42),5433691.5200000005,4965472.2599999998,10399163.7800000012,
FS(43),5336796.3599999994,4868882.0000000000,10205678.3599999994,
FS(44),5410947.6399999997,4947552.7999999998,10358500.4399999995,
FS(45),5420294.4400000004,5006992.9600000000,10427287.4000000004,
FS(46),5392565.6000000006,4954982.8199999994,10347548.4200000018,
FS(47),5298162.9200000009,4960227.5399999991,10258390.4600000009,
FS(48),5327449.5600000005,5015734.1600000001,10343183.7200000007,
FS(49),5380103.2000000002,5055943.6799999997,10436046.8800000008,
FS(50),5331499.8399999999,5016171.2199999997,10347671.0600000005,
FS(51),5313740.9200000009,5010489.4399999995,10324230.3600000013,
FS(52),5367640.7999999998,5063810.7599999998,10431451.5600000005,
FS(53),5422786.9200000009,5180505.7799999993,10603292.7000000011,
FS(54),5398173.6799999997,5215470.5799999991,10613644.2599999998,
FS(55),5391942.4800000004,5236012.3999999994,10627954.8800000008,
FS(56),5405028.0000000000,5268791.8999999994,10673819.9000000004,
FS(57),5413751.6799999997,5298949.0399999991,10712700.7200000007,
FS(58),5400666.1600000001,5264858.3599999994,10665524.5199999996,
FS(59),5365771.4400000004,5226834.1399999997,10592605.5800000019,
FS(60),5300655.4000000004,5167831.0399999991,10468486.4400000013,
FS(61),5358917.1200000001,5220715.2999999998,10579632.4199999999,
FS(62),5349881.8800000008,5228145.3199999994,10578027.2000000011,
FS(63),5285700.5200000005,5253931.8599999994,10539632.3800000008,
