代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10861430.6200000010
真實報酬,861430.6200000010
趨勢值,0.1677217154

選擇檔數,4
找到最佳解世代,1984
找到最佳解實驗,1
Stock#,DIS,GS,JPM,NKE,
分配資金,2500000,2500000,2500000,2500000,
張數,22620,12656,39301,49613,
剩餘資金,37.6000000001,60.3200000000,63.3900000000,0.9300000000,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2511536.2000000002,2522401.1200000001,2543624.1099999999,2501488.3900000001,10079049.8200000003,
FS(3),2506559.8000000003,2496962.5599999996,2531047.7900000005,2491069.6600000001,10025639.8100000005,
FS(4),2481904.0000000000,2483800.3199999998,2512183.3100000001,2486108.3600000003,9963995.9900000002,
FS(5),2471498.8000000003,2498228.1599999997,2534977.8900000001,2516868.4199999999,10021573.2699999996,
FS(6),2490725.8000000003,2537588.3199999998,2573885.8799999999,2541178.7900000000,10143378.7900000010,
FS(7),2456569.6000000001,2553155.1999999997,2572313.8400000003,2550109.1299999999,10132147.7699999996,
FS(8),2471046.3999999999,2537968.0000000000,2568776.7500000000,2539690.3999999999,10117481.5500000007,
FS(9),2469915.3999999999,2549358.3999999999,2575064.9100000001,2534232.9700000002,10128571.6799999997,
FS(10),2486654.2000000002,2564419.0400000000,2595894.4399999999,2565985.2900000000,10212952.9700000007,
FS(11),2495023.6000000001,2568848.6399999997,2589213.2700000000,2604187.3000000003,10257272.8100000005,
FS(12),2495702.2000000002,2590237.2799999998,2610435.8100000001,2598729.8700000001,10295105.1600000001,
FS(13),2500904.8000000003,2599602.7199999997,2633623.4000000004,2595753.0900000003,10329884.0099999998,
FS(14),2492761.6000000001,2595552.7999999998,2612793.8700000001,2595256.9600000004,10296365.2300000004,
FS(15),2497059.3999999999,2593907.5199999996,2619475.0400000005,2589799.5300000003,10300241.4900000002,
FS(16),2494118.8000000003,2629977.1200000001,2612400.8599999999,2590791.7900000000,10327288.5700000003,
FS(17),2475570.3999999999,2612005.5999999996,2583318.1200000001,2565489.1600000001,10236383.2800000012,
FS(18),2496607.0000000000,2645923.6799999997,2612400.8599999999,2551101.3900000001,10306032.9299999997,
FS(19),2500226.2000000002,2638583.1999999997,2601789.5900000003,2537705.8799999999,10278304.8699999992,
FS(20),2496607.0000000000,2609600.9600000000,2585283.1700000004,2522325.8500000006,10213816.9800000004,
FS(21),2509952.7999999998,2630103.6799999997,2597073.4700000002,2524310.3700000001,10261440.3200000003,
FS(22),2505202.6000000001,2612638.3999999999,2594715.4100000001,2533240.7100000004,10245797.1199999992,
FS(23),2514703.0000000000,2636178.5599999996,2621440.0900000003,2543163.3100000001,10315484.9600000009,
FS(24),2495023.6000000001,2643519.0400000000,2606898.7200000002,2529271.6699999999,10274713.0299999993,
FS(25),2495023.6000000001,2663515.5199999996,2649736.8100000001,2531256.1900000004,10339532.1200000010,
FS(26),2472177.4000000004,2655162.5599999996,2628907.2800000003,2516372.2900000000,10272619.5299999993,
FS(27),2454760.0000000000,2645417.4399999999,2640304.5700000003,2514387.7700000000,10254869.7800000012,
FS(28),2488237.6000000001,2697433.5999999996,2682749.6500000004,2563504.6400000001,10431925.4900000002,
FS(29),2502262.0000000000,2707684.9600000000,2692967.9100000001,2576900.1499999999,10479815.0199999996,
FS(30),2487106.6000000001,2696547.6799999997,2682356.6400000001,2574419.5000000000,10440430.4199999999,
FS(31),2492309.2000000002,2680094.8799999999,2672138.3799999999,2564000.7700000000,10408543.2300000004,
FS(32),2512214.8000000003,2702875.6799999997,2687072.7600000002,2593768.5700000003,10495931.8100000005,
FS(33),2521941.3999999999,2694902.3999999999,2678033.5300000003,2598729.8700000001,10493607.1999999993,
FS(34),2561074.0000000000,2716037.9199999999,2703186.1700000004,2629489.9300000002,10609788.0200000014,
FS(35),2547502.0000000000,2698192.9600000000,2675675.4700000002,2642885.4400000004,10564255.8700000010,
FS(36),2568086.2000000002,2740210.8799999999,2710260.3500000001,2649335.1299999999,10667892.5600000005,
FS(37),2587991.7999999998,2764130.7199999997,2741308.1400000001,2659257.7300000004,10752688.3900000006,
FS(38),2573515.0000000000,2713886.3999999999,2712618.4100000001,2634947.3600000003,10634967.1699999999,
FS(39),2588896.6000000001,2693510.2399999998,2698077.0400000005,2610140.8600000003,10590624.7400000002,
FS(40),2601111.3999999999,2697939.8399999999,2709867.3400000003,2721770.1100000003,10730688.6899999995,
FS(41),2557228.6000000001,2628078.7199999997,2641090.5900000003,2671164.8500000006,10497562.7600000016,
FS(42),2581884.3999999999,2642506.5599999996,2663099.1500000004,2679599.0600000001,10567089.1699999999,
FS(43),2604278.2000000002,2657060.9600000000,2675282.4600000000,2714824.2900000000,10651445.9100000001,
FS(44),2600659.0000000000,2647695.5199999996,2653666.9100000001,2725739.1499999999,10627760.5800000001,
FS(45),2617171.6000000001,2633014.5599999996,2646199.7200000002,2724746.8900000001,10621132.7700000014,
FS(46),2648839.6000000001,2635166.0800000001,2625370.1899999999,2760964.3799999999,10670340.2500000000,
FS(47),2605635.3999999999,2582643.6799999997,2571527.8200000003,2710855.2500000000,10470662.1500000004,
FS(48),2614909.6000000001,2592135.6799999997,2598252.5000000000,2714824.2900000000,10520122.0700000003,
FS(49),2633910.3999999999,2622256.9600000000,2635195.4399999999,2741615.3100000001,10632978.1099999994,
FS(50),2670328.6000000001,2659339.0400000000,2676068.4800000004,2788747.6600000001,10794483.7799999993,
FS(51),2665804.6000000001,2685157.2799999998,2713404.4300000002,2786763.1400000001,10851129.4500000011,
FS(52),2675983.6000000001,2695282.0800000001,2719299.5800000001,2775848.2800000003,10866413.5399999991,
FS(53),2693401.0000000000,2672754.3999999999,2733840.9500000002,2786763.1400000001,10886759.4900000021,
FS(54),2688650.8000000003,2688954.0800000001,2720085.6000000001,2798174.1299999999,10895864.6099999994,
FS(55),2704937.2000000002,2688068.1599999997,2722050.6500000004,2806608.3400000003,10921664.3499999996,
FS(56),2698829.8000000003,2676804.3199999998,2715762.4899999998,2803135.4300000002,10894532.0400000010,
FS(57),2699282.2000000002,2698952.3199999998,2754277.4700000002,2830422.5800000001,10982934.5700000003,
FS(58),2687293.6000000001,2671109.1200000001,2736985.0300000003,2827941.9300000002,10923329.6799999997,
FS(59),2689781.7999999998,2624281.9199999999,2708295.2999999998,2803135.4300000002,10825494.4500000011,
FS(60),2674852.6000000001,2594793.4399999999,2672924.4000000004,2771879.2400000002,10714449.6799999997,
FS(61),2679602.7999999998,2610233.7599999998,2674496.4399999999,2815042.5500000003,10779375.5499999989,
FS(62),2710818.4000000004,2617827.3599999999,2709474.3300000001,2850763.9100000001,10888884.0000000000,
FS(63),2715116.2000000002,2622383.5199999996,2713404.4300000002,2853244.5600000001,10904148.7100000009,
FS(64),2714437.6000000001,2595426.2399999998,2693360.9200000004,2858205.8600000003,10861430.6200000010,
