代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11533206.4700000007
真實報酬,1533206.4700000007
趨勢值,0.0313004509

選擇檔數,2
找到最佳解世代,2328
找到最佳解實驗,1
Stock#,INTC,NKE,
分配資金,5000000,5000000,
張數,172117,87077,
剩餘資金,1.1499999999,38.6599999999,
FS(1),5000000.0000000000,5000000.0000000000,10000000.0000000019,
FS(2),5013769.3599999994,5040926.1900000004,10054695.5500000007,
FS(3),5012048.1899999995,5083593.9199999999,10095642.1100000013,
FS(4),4993115.3199999994,5012190.7800000003,10005306.1000000015,
FS(5),4970740.1099999994,4986067.6799999997,9956807.7900000010,
FS(6),5101549.0299999993,5022640.0200000005,10124189.0500000007,
FS(7),4986230.6399999997,4983455.3700000001,9969686.0099999998,
FS(8),5070567.9699999997,4922501.4700000007,9993069.4400000013,
FS(9),4969018.9399999995,4946012.2599999998,9915031.2000000011,
FS(10),4994836.4899999993,4979101.5200000005,9973938.0099999998,
FS(11),5005163.5099999988,5006095.3900000006,10011258.9000000004,
FS(12),4975903.6199999992,4999129.2299999995,9975032.8499999996,
FS(13),4881239.2699999996,5005224.6200000001,9886463.8900000006,
FS(14),4738382.1599999992,4889412.2100000000,9627794.3700000010,
FS(15),4571428.6699999990,4653433.5400000000,9224862.2099999990,
FS(16),4518072.3999999994,4522818.0400000000,9040890.4399999995,
FS(17),4452667.9399999995,4508014.9500000002,8960682.8900000006,
FS(18),4698795.2500000000,4735285.9199999999,9434081.1700000018,
FS(19),4771084.3899999997,4903344.5300000003,9674428.9200000018,
FS(20),4891566.2900000000,4898119.9100000001,9789686.2000000011,
FS(21),4912220.3299999991,4865901.4199999999,9778121.7500000000,
FS(22),4788296.0899999999,4730061.2999999998,9518357.3900000006,
FS(23),4922547.3499999996,4819750.6100000003,9742297.9600000009,
FS(24),5005163.5099999988,4826716.7700000005,9831880.2799999993,
FS(25),4908777.9899999993,4776212.1100000003,9684990.0999999996,
FS(26),5077452.6499999994,4865901.4199999999,9943354.0700000003,
FS(27),5032702.2299999995,4783178.2700000005,9815880.5000000000,
FS(28),5037865.7399999993,4805818.2900000000,9843684.0299999993,
FS(29),5072289.1399999997,4868513.7299999995,9940802.8700000010,
FS(30),5058519.7799999993,4871996.8100000005,9930516.5899999999,
FS(31),5117039.5599999996,4956461.5000000000,10073501.0600000005,
FS(32),5123924.2399999993,5032218.4900000002,10156142.7300000004,
FS(33),5113597.2199999997,5019156.9400000004,10132754.1600000001,
FS(34),4994836.4899999993,5009578.4700000007,10004414.9600000009,
FS(35),5018932.8699999992,5074886.2200000007,10093819.0899999999,
FS(36),4934595.5400000000,5049633.8900000006,9984229.4300000016,
FS(37),4946643.7299999995,5026123.0999999996,9972766.8300000001,
FS(38),4901893.3099999996,4998258.4600000000,9900151.7700000014,
FS(39),4958691.9199999990,5442351.1600000001,10401043.0800000001,
FS(40),4950086.0699999994,5317831.0499999998,10267917.1200000010,
FS(41),5032702.2299999995,5210726.3400000008,10243428.5700000003,
FS(42),5187607.5299999993,5354403.3900000006,10542010.9199999999,
FS(43),5163511.1499999994,5391846.5000000000,10555357.6500000004,
FS(44),5251290.8199999994,5451929.6299999999,10703220.4500000011,
FS(45),5371772.7199999997,5411003.4400000004,10782776.1600000001,
FS(46),5462994.7299999995,5363981.8600000003,10826976.5899999999,
FS(47),5562822.5899999999,5316089.5099999998,10878912.1000000015,
FS(48),5597245.9900000002,5438868.0800000001,11036114.0700000022,
FS(49),5531841.5299999993,5439738.8499999996,10971580.3800000008,
FS(50),5543889.7199999997,5505046.5999999996,11048936.3200000003,
FS(51),5514629.8299999991,5478052.7299999995,10992682.5600000005,
FS(52),5645438.7499999991,5478923.5000000000,11124362.2500000000,
FS(53),5636832.8999999994,5607797.4600000009,11244630.3600000013,
FS(54),5686746.8299999991,5680942.1399999997,11367688.9700000007,
FS(55),5781411.1799999997,5800237.6299999999,11581648.8100000005,
FS(56),5755593.6299999990,5763665.2900000000,11519258.9199999999,
FS(57),5743545.4399999985,5768019.1399999997,11511564.5800000001,
FS(58),5920825.9499999993,5765406.8299999991,11686232.7799999993,
FS(59),6006884.4499999993,5683554.4500000002,11690438.9000000004,
FS(60),5953528.1799999997,5720126.7900000000,11673654.9700000007,
FS(61),5932874.1399999997,5695745.2299999995,11628619.3700000010,
FS(62),5974182.2199999997,5716643.7100000009,11690825.9300000016,
FS(63),5857142.6599999992,5708806.7800000003,11565949.4400000013,
FS(64),5827882.7699999996,5705323.7000000002,11533206.4700000007,
