代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12103861.4400000013
真實報酬,2103861.4400000013
趨勢值,0.1970941854

選擇檔數,4
找到最佳解世代,4389
找到最佳解實驗,1
Stock#,DIS,HD,MSFT,NKE,
分配資金,2500000,2500000,2500000,2500000,
張數,25123,22110,59780,46023,
剩餘資金,10.2699999999,22.3000000002,0.4000000000,30.6400000000,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,9999999.9999999981,
FS(2),2559792.7400000002,2575395.1000000006,2592061.1999999997,2547403.6900000004,10274652.7300000004,
FS(3),2562305.0400000000,2578048.3000000003,2600430.3999999999,2551085.5300000003,10291869.2699999996,
FS(4),2536679.5800000001,2529848.5000000005,2547226.1999999997,2524392.1900000004,10138146.4699999988,
FS(5),2613053.5000000000,2574289.6000000006,2623744.6000000001,2571795.8800000004,10382883.5800000001,
FS(6),2560295.1999999997,2519899.0000000005,2574725.0000000000,2528074.0300000003,10182993.2299999986,
FS(7),2577630.0699999998,2531396.2000000002,2587876.5999999996,2540040.0100000002,10236942.8799999990,
FS(8),2624861.3100000001,2552400.7000000002,2599234.7999999998,2573176.5699999998,10349673.3799999990,
FS(9),2608280.1299999999,2536702.6000000006,2572931.5999999996,2575017.4900000002,10292931.8200000003,
FS(10),2598482.1600000001,2568762.1000000006,2629124.7999999998,2619659.8000000003,10416028.8599999994,
FS(11),2611797.3500000001,2605022.5000000000,2648254.3999999999,2659699.8100000001,10524774.0600000005,
FS(12),2617826.8700000001,2607012.4000000004,2645265.3999999999,2652796.3600000003,10522901.0299999993,
FS(13),2583659.5900000003,2545325.5000000005,2599234.7999999998,2647733.8300000001,10375953.7199999988,
FS(14),2597979.6999999997,2577606.1000000001,2636896.1999999997,2682251.0800000001,10494733.0799999982,
FS(15),2574866.5400000000,2560360.3000000003,2624342.3999999999,2668904.4100000001,10428473.6499999985,
FS(16),2551753.3799999999,2568541.0000000005,2622548.9999999995,2656478.2000000002,10399321.5799999982,
FS(17),2527886.5300000003,2572299.7000000002,2624940.1999999997,2641750.8399999999,10366877.2699999996,
FS(18),2519847.1699999999,2581143.7000000002,2626733.5999999996,2876468.1400000001,10604192.6099999994,
FS(19),2474374.5400000000,2522773.3000000003,2587876.5999999996,2810655.2500000000,10395679.6899999995,
FS(20),2497738.9300000002,2496462.4000000004,2596843.5999999996,2754046.9600000004,10345091.8899999987,
FS(21),2567580.8700000001,2553506.2000000002,2645863.1999999997,2829984.9100000001,10596935.1799999997,
FS(22),2579388.6800000002,2587555.6000000001,2666786.1999999997,2849774.8000000003,10683505.2799999993,
FS(23),2587679.2700000000,2604801.4000000004,2724175.0000000000,2881530.6699999999,10798186.3399999980,
FS(24),2609033.8199999998,2635534.3000000003,2787541.8000000003,2859899.8600000003,10892009.7799999993,
FS(25),2607023.9800000000,2624037.1000000006,2794715.3999999999,2835047.4400000004,10860823.9199999999,
FS(26),2597477.2400000002,2645483.8000000003,2797704.3999999999,2809734.7900000000,10850400.2300000004,
FS(27),2628127.2999999998,2676658.9000000004,2836561.3999999999,2874627.2200000002,11015974.8199999984,
FS(28),2651994.1499999999,2682628.6000000001,2816236.1999999997,2875087.4500000002,11025946.3999999985,
FS(29),2671841.3199999998,2695231.3000000003,2809660.3999999999,2909604.7000000002,11086337.7199999988,
FS(30),2677870.8400000003,2688819.4000000004,2803084.6000000001,2895337.5699999998,11065112.4100000001,
FS(31),2656265.0600000001,2659192.0000000000,2790530.7999999998,2895797.8000000003,11001785.6600000001,
FS(32),2710530.7400000002,2693241.4000000004,2810258.1999999997,2963911.8400000003,11177942.1799999997,
FS(33),2719323.7900000000,2713803.7000000002,2840148.1999999997,3002571.1599999997,11275846.8499999996,
FS(34),2750225.0800000001,2721763.3000000003,2846723.9999999995,3065622.6699999999,11384335.0499999989,
FS(35),2759520.5900000003,2716235.8000000003,2855691.0000000000,3046293.0100000002,11377740.4000000004,
FS(36),2765801.3400000003,2726185.3000000003,2821616.3999999999,3048594.1599999997,11362197.1999999993,
FS(37),2845190.0200000000,2749621.9000000004,2871233.7999999998,3047213.4699999997,11513259.1899999995,
FS(38),2841170.3400000003,2755149.4000000004,3160568.9999999995,3003951.8500000001,11760840.5899999980,
FS(39),2851973.2300000000,2763993.4000000004,3243065.3999999999,3023281.5100000002,11882313.5399999991,
FS(40),2858253.9800000000,2752054.0000000005,3209588.5999999996,3010395.0699999998,11830291.6499999985,
FS(41),2872574.0900000003,2737682.5000000000,3226924.7999999998,3021440.5900000003,11858621.9800000004,
FS(42),2890160.1899999999,2733481.6000000001,3189861.1999999997,3017298.5200000000,11830801.5099999998,
FS(43),2857500.2900000000,2733702.7000000002,3146819.6000000001,3015457.6000000001,11753480.1899999976,
FS(44),2890160.1899999999,2750727.4000000004,3182687.6000000001,3019139.4399999999,11842714.6299999971,
FS(45),2902721.6899999999,2778364.9000000004,3237087.3999999999,3023741.7400000002,11941915.7299999986,
FS(46),2845190.0200000000,2772174.1000000001,3252032.3999999999,2999809.7800000003,11869206.2999999989,
FS(47),2838909.2700000000,2779691.5000000005,3250836.8000000003,3034327.0300000003,11903764.5999999996,
FS(48),2905987.6800000002,2785440.1000000006,3283118.0000000000,3032486.1100000003,12007031.8900000006,
FS(49),2924829.9300000002,2752717.3000000003,3237685.1999999997,3002571.1599999997,11917803.5899999980,
FS(50),2949952.9300000002,2769520.9000000004,3198828.1999999997,2991525.6400000001,11909827.6699999999,
FS(51),2927342.2300000000,2757360.4000000004,3207197.3999999999,2932155.9700000002,11824055.9999999981,
FS(52),2919554.1000000001,2737461.4000000004,3187470.0000000000,2899019.4100000001,11743504.9099999983,
FS(53),2885135.5900000003,2653222.3000000003,3158775.6000000001,2804212.0300000003,11501345.5200000014,
FS(54),2912268.4300000002,2671794.7000000002,3214371.0000000000,2841030.4300000002,11639464.5599999987,
FS(55),2917544.2599999998,2789862.1000000006,3166547.0000000000,2820780.3100000001,11694733.6699999999,
FS(56),2968041.4900000002,2797821.7000000002,3219153.3999999999,2894417.1100000003,11879433.7000000011,
FS(57),2982361.6000000001,2804896.9000000004,3224533.5999999996,2894417.1100000003,11906209.2099999990,
FS(58),3016528.8799999999,2878965.4000000004,3239478.5999999996,3052736.2300000000,12187709.1099999994,
FS(59),3000198.9300000002,2929597.3000000003,3239478.5999999996,3048133.9300000002,12217408.7599999998,
FS(60),2963268.1200000001,2953918.3000000003,3243065.3999999999,3049514.6200000006,12209766.4399999995,
FS(61),2981356.6800000002,2977133.8000000003,3209588.5999999996,3086793.2500000000,12254872.3299999982,
FS(62),2892421.2599999998,2979123.7000000007,3223935.7999999998,3091395.5500000003,12186876.3099999987,
FS(63),2850717.0800000001,2960109.1000000001,3249043.3999999999,3043991.8600000003,12103861.4400000013,
