代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11113791.0700000003
真實報酬,1113791.0700000003
趨勢值,0.2218374031

選擇檔數,4
找到最佳解世代,2124
找到最佳解實驗,1
Stock#,IBM,JNJ,PFE,XOM,
分配資金,2500000,2500000,2500000,2500000,
張數,18605,23316,83222,30757,
剩餘資金,46.1499999999,58.4800000000,11.1200000001,71.0400000000,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2535907.6499999999,2495803.1200000001,2495006.6800000002,2543674.9399999999,10070392.3899999987,
FS(3),2563815.1499999999,2486709.8799999999,2487516.7000000002,2534447.8400000003,10072489.5700000003,
FS(4),2563815.1499999999,2483212.4800000000,2472536.7400000002,2531064.5700000003,10050628.9399999995,
FS(5),2607536.8999999999,2488808.3199999998,2479194.5000000000,2597807.2599999998,10173346.9799999986,
FS(6),2587443.5000000000,2476684.0000000000,2443409.0400000000,2541521.9499999997,10049058.4899999984,
FS(7),2612374.1999999997,2491139.9199999999,2475033.3999999999,2534447.8400000003,10112995.3599999994,
FS(8),2608281.1000000001,2498134.7200000002,2462550.1000000001,2527681.3000000003,10096647.2200000007,
FS(9),2648653.9500000002,2511424.8399999999,2538282.1200000001,2527988.8700000001,10226349.7799999993,
FS(10),2656468.0499999998,2510259.0400000000,2504993.3200000003,2534755.4100000001,10206475.8199999984,
FS(11),2659816.9500000002,2512590.6400000001,2458389.0000000000,2547365.7799999998,10178162.3699999992,
FS(12),2693864.0999999996,2504430.0400000000,2416778.0000000000,2548903.6300000004,10163975.7699999996,
FS(13),2735725.3499999996,2488808.3199999998,2441744.6000000001,2586734.7399999998,10253013.0099999998,
FS(14),2736655.6000000001,2506528.4800000000,2450899.0200000000,2589810.4399999999,10283893.5399999991,
FS(15),2765307.2999999998,2501398.9600000000,2502496.6600000001,2571971.3800000004,10341174.2999999989,
FS(16),2755446.6499999999,2503730.5600000001,2528295.4800000000,2587349.8800000004,10374822.5700000003,
FS(17),2705213.1499999999,2529844.4800000000,2512483.3000000003,2575969.7900000000,10323510.7199999988,
FS(18),2752655.8999999999,2525414.4399999999,2503328.8799999999,2583043.9000000004,10364443.1199999992,
FS(19),2761028.1499999999,2523549.1600000001,2478362.2800000003,2590425.5800000001,10353365.1699999981,
FS(20),2778330.8000000003,2544766.7200000002,2500832.2200000002,2599960.2500000000,10423889.9900000002,
FS(21),2761214.1999999997,2541036.1600000001,2502496.6600000001,2599652.6799999997,10404399.6999999993,
FS(22),2817773.3999999999,2522849.6800000002,2466711.2000000002,2571048.6699999999,10378382.9499999993,
FS(23),2837680.7500000000,2545932.5200000000,2500000.0000000000,2551671.7599999998,10435285.0299999993,
FS(24),2829308.5000000000,2531942.9199999999,2556590.9600000000,2557823.1600000001,10475665.5399999991,
FS(25),2790796.1499999999,2540336.6800000002,2609853.0400000000,2528604.0099999998,10469589.8799999990,
FS(26),2791168.2500000000,2551295.2000000002,2740511.5800000001,2562436.7100000000,10645411.7400000002,
FS(27),2758237.3999999999,2547797.7999999998,2726363.8399999999,2533525.1300000004,10565924.1699999999,
FS(28),2778702.8999999999,2543834.0800000001,2704726.1200000001,2559361.0099999998,10586624.1099999994,
FS(29),2776842.3999999999,2540803.0000000000,2653960.7000000002,2562744.2799999998,10534350.3799999990,
FS(30),2783912.2999999998,2555492.0800000001,2659786.2400000002,2594423.9899999998,10593614.6099999994,
FS(31),2813680.2999999998,2561787.3999999999,2708055.0000000000,2609187.3500000001,10692710.0499999989,
FS(32),2812377.9499999997,2561087.9199999999,2717209.4199999999,2627641.5500000003,10718316.8399999999,
FS(33),2822796.7500000000,2569015.3600000003,2704726.1200000001,2613493.3300000001,10710031.5599999987,
FS(34),2837866.7999999998,2586502.3600000003,2713880.5400000000,2638406.5000000000,10776656.1999999993,
FS(35),2679166.1499999999,2627305.3600000003,2737182.7000000002,2651632.0099999998,10695286.2199999988,
FS(36),2718422.7000000002,2648289.7599999998,2765478.1799999997,2669778.6400000001,10801969.2799999993,
FS(37),2777772.6499999999,2648056.5999999996,2766310.4000000004,2669471.0700000003,10861610.7199999988,
FS(38),2762888.6499999999,2642227.5999999996,2768807.0600000005,2692231.2500000000,10866154.5600000005,
FS(39),2768656.1999999997,2646657.6400000001,2763813.7400000002,2686079.8500000001,10865207.4299999997,
FS(40),2773679.5500000003,2632668.0400000000,2750498.2199999997,2695306.9499999997,10852152.7599999979,
FS(41),2799540.5000000000,2629403.7999999998,2746337.1200000001,2720835.2599999998,10896116.6799999997,
FS(42),2736283.5000000000,2622642.1600000001,2738847.1399999997,2707609.7500000000,10805382.5499999989,
FS(43),2715259.8500000001,2613315.7599999998,2722202.7400000002,2718989.8400000003,10769768.1899999995,
FS(44),2702794.5000000000,2628937.4800000000,2729692.7199999997,2741442.4499999997,10802867.1499999985,
FS(45),2681584.7999999998,2627538.5200000000,2804592.5200000005,2710070.3100000001,10823786.1499999985,
FS(46),2683817.3999999999,2616580.0000000000,2779625.9199999999,2704841.6200000001,10784864.9399999976,
FS(47),2725120.5000000000,2631968.5600000001,2793773.6600000001,2707917.3200000003,10858780.0399999991,
FS(48),2740376.5999999996,2628704.3199999998,2794605.8799999999,2722373.1100000003,10886059.9099999983,
FS(49),2741306.8500000001,2651554.0000000000,2814579.1600000001,2724218.5299999998,10931658.5399999991,
