代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10862755.5400000010
真實報酬,862755.5400000010
趨勢值,0.1510136895

選擇檔數,5
找到最佳解世代,1636
找到最佳解實驗,1
Stock#,AAPL,CAT,MRK,PG,VZ,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,20312,27674,35505,24452,39658,
剩餘資金,80.4800000001,0.0200000001,3.3500000001,70.9199999998,47.0600000000,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,10000000.0000000000,
FS(2),1984969.1200000001,2037359.9000000001,2017397.4500000002,2003912.3200000001,2013483.7200000002,10057122.5099999998,
FS(3),1989031.5200000003,2076656.9800000002,2011006.5500000000,2016627.3599999999,2019432.4200000002,10112754.8300000001,
FS(4),2003453.0400000000,2114847.1000000001,2029824.2000000002,2023962.9599999997,2011104.2400000000,10183191.5399999991,
FS(5),2011577.8400000003,2125639.9600000000,2023788.3500000001,2012959.5599999998,2052348.5600000001,10226314.2700000014,
FS(6),2009749.7600000002,2161616.1600000001,2045801.4500000000,2021028.7200000000,2043227.2200000002,10281423.3099999987,
FS(7),2024171.2800000003,2135325.8599999999,2030179.2500000000,2033743.7600000000,2060280.1600000001,10283700.3100000005,
FS(8),2007515.4400000002,2104054.2400000002,2017042.4000000001,2034477.3200000001,2088833.9200000002,10251923.3200000003,
FS(9),1977250.5600000003,2081915.0400000000,1992188.9000000001,2019072.5599999998,2084868.1200000001,10155295.1799999997,
FS(10),1979688.0000000000,2071675.6599999999,1997159.6000000001,2038145.1199999999,2101524.4800000000,10188192.8600000013,
FS(11),1973188.1600000001,2077487.1999999997,1991478.8000000003,2028364.3200000001,2095575.7800000003,10166094.2599999998,
FS(12),1981516.0800000001,2075273.2799999998,2041540.8500000001,2039612.2399999998,2120163.7400000002,10258106.1899999995,
FS(13),1936423.4400000002,2101286.8400000003,1984377.8000000000,2032765.6799999997,2132854.3000000003,10187708.0600000005,
FS(14),1931751.6800000002,2115123.8400000003,1993254.0500000000,2030565.0000000000,2132061.1400000001,10202755.7099999990,
FS(15),1948204.4000000001,2116784.2799999998,1997159.6000000001,2039612.2399999998,2145544.8600000003,10247305.3800000008,
FS(16),1940892.0800000001,2115123.8400000003,2025208.5500000000,2043524.5599999998,2142768.8000000003,10267517.8300000001,
FS(17),1952063.6800000002,2164660.2999999998,2047931.7500000000,2059173.8399999999,2168149.9199999999,10391979.4900000002,
FS(18),1897221.2800000003,2021032.2400000000,1984022.7500000002,2011492.4399999999,2158632.0000000000,10072400.7100000009,
FS(19),1869596.9600000004,1975370.1399999999,1963784.9000000001,1986306.8800000001,2170925.9800000000,9965984.8600000013,
FS(20),1901080.5600000003,2006918.5000000000,1973371.2500000000,2016382.8399999999,2174098.6200000001,10071851.7699999996,
FS(21),1917533.2800000003,2054241.0400000000,2025563.6000000001,2051838.2399999998,2183616.5400000000,10232792.7000000011,
FS(22),1941907.6800000002,2097965.9600000000,2045446.4000000001,2070421.7600000000,2214549.7800000003,10370291.5800000001,
FS(23),1947798.1600000001,2115677.3200000003,2057163.0500000000,2073111.4800000000,2230016.3999999999,10423766.4100000001,
FS(24),1929517.3600000001,2058392.1399999999,2059293.3500000001,2089249.7999999998,2241913.8000000003,10378366.4499999993,
FS(25),1940485.8400000003,2070845.4399999999,2100479.1499999999,2079224.4800000000,2231206.1400000001,10422241.0499999989,
FS(26),1948813.7600000002,2076933.7200000000,2086987.2500000002,2074334.0799999998,2196307.1000000001,10383375.9100000001,
FS(27),1963844.6400000004,2141137.4000000004,2107225.1000000001,2097318.9600000000,2216929.2599999998,10526455.3600000013,
FS(28),1969938.2400000002,2153037.2199999997,2106870.0500000003,2096829.9199999999,2218119.0000000000,10544794.4299999997,
FS(29),1978875.5200000003,2208385.2199999997,2116101.3500000001,2096829.9199999999,2199876.3199999998,10600068.3300000001,
FS(30),1967703.9200000004,2205341.0800000001,2114326.1000000001,2100253.1999999997,2220895.0600000001,10608519.3600000013,
FS(31),2006702.9600000004,2215580.4600000000,2117876.6000000001,2099764.1600000001,2214549.7800000003,10654473.9600000009,
FS(32),2006499.8400000003,2233291.8200000003,2117166.5000000000,2103187.4399999999,2214549.7800000003,10674695.3800000008,
FS(33),2027827.4400000002,2208938.6999999997,2095508.4500000002,2101231.2800000003,2218119.0000000000,10651624.8699999992,
FS(34),2028639.9200000004,2206724.7799999998,2082726.6499999999,2107099.7599999998,2208997.6600000001,10634188.7699999996,
FS(35),2030468.0000000000,2205341.0800000001,2087342.3000000000,2086315.5599999998,2205825.0200000000,10615291.9599999990,
FS(36),2019702.6400000004,2214196.7600000002,2087342.3000000000,2084848.4399999999,2195910.5200000000,10602000.6600000001,
FS(37),2004062.4000000001,2196762.1399999997,2088407.4500000002,2096096.3599999999,2224860.8600000003,10610189.2100000009,
FS(38),1977250.5600000003,2177667.0800000001,2079176.1500000001,2098052.5200000000,2215739.5200000000,10547885.8300000001,
FS(39),1963641.5200000003,2290023.5200000000,2072075.1500000001,2085092.9599999997,2173702.0400000000,10584535.1899999995,
FS(40),2091200.8800000004,2327383.4199999999,2080596.3500000001,2065286.8399999999,2193927.6200000001,10758395.1099999994,
FS(41),2119434.5600000001,2294728.1000000001,2074560.5000000000,2073845.0400000000,2175684.9399999999,10738253.1400000006,
FS(42),2116794.0000000000,2290300.2600000002,2082726.6499999999,2092917.6000000001,2197496.8399999999,10780235.3499999996,
FS(43),2154168.0800000001,2267884.3200000003,2082726.6499999999,2112968.2399999998,2161408.0600000001,10779155.3499999996,
FS(44),2122278.2400000002,2248235.7799999998,2071010.0000000000,2121526.4399999999,2141579.0600000001,10704629.5200000014,
FS(45),2148886.9600000000,2270098.2400000002,2046866.6000000001,2102209.3599999999,2137613.2599999998,10705674.4199999999,
FS(46),2150511.9199999999,2262903.0000000000,2053612.5500000003,2104165.5200000000,2138803.0000000000,10709995.9900000002,
FS(47),2183214.2400000002,2284765.4600000000,2267352.6499999999,2097563.4800000000,2127302.1800000002,10960198.0099999998,
FS(48),2201291.9199999999,2309118.5800000001,2231847.6499999999,2097074.4399999999,2125319.2800000003,10964651.8700000010,
FS(49),2210229.2000000002,2292237.4399999999,2218710.8000000003,2102698.3999999999,2128095.3399999999,10951971.1799999997,
FS(50),2193776.4800000000,2287256.1200000001,2224036.5500000003,2110523.0400000000,2134044.0400000000,10949636.2300000004,
FS(51),2192354.6400000001,2303583.7799999998,2259186.5000000000,2120792.8799999999,2136026.9399999999,11011944.7400000021,
FS(52),2197432.6400000001,2296942.0200000000,2249245.1000000001,2128373.0000000000,2127698.7599999998,10999691.5199999996,
FS(53),2223838.2400000002,2328767.1200000001,2248179.9500000002,2127883.9600000000,2126112.4399999999,11054781.7100000009,
FS(54),2221807.0400000000,2332641.4800000000,2238238.5500000003,2117125.0800000001,2092403.1399999999,11002215.2900000010,
FS(55),2218557.1200000001,2335962.3599999999,2247114.8000000003,2126416.8399999999,2108662.9199999999,11036714.0399999991,
FS(56),2215713.4399999999,2307458.1399999997,2259186.5000000000,2138153.7999999998,2096765.5200000000,11017277.4000000004,
FS(57),2221400.7999999998,2320188.1800000002,2249600.1499999999,2134975.0400000000,2080109.1600000001,11006273.3299999982,
FS(58),2204135.6000000001,2313269.6800000002,2256346.1000000001,2123727.1199999996,2084074.9600000000,10981553.4600000009,
FS(59),2211041.6799999997,2324892.7600000002,2257411.2500000000,2137175.7200000002,2087247.6000000001,11017769.0100000016,
FS(60),2194385.8399999999,2301093.1200000001,2227232.0000000000,2134975.0400000000,2083281.8000000000,10940967.7999999989,
FS(61),2185042.3199999998,2292514.1800000002,2212674.9500000002,2149401.7200000002,2092006.5600000001,10931639.7300000004,
FS(62),2172245.7599999998,2287532.8599999999,2231492.6000000001,2141577.0800000001,2065039.1200000001,10897887.4199999999,
FS(63),2169808.3199999998,2299709.4199999999,2237173.3999999999,2159182.5200000000,2082092.0600000001,10947965.7199999988,
FS(64),2153152.4800000000,2282551.5400000000,2226521.8999999999,2140599.0000000000,2072970.7200000002,10875795.6400000006,
FS(65),2155183.6799999997,2267884.3200000003,2229362.3000000003,2134975.0400000000,2075350.2000000000,10862755.5400000010,
