代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11251521.2400000002
真實報酬,1251521.2400000002
趨勢值,0.1646987486

選擇檔數,4
找到最佳解世代,2042
找到最佳解實驗,1
Stock#,AAPL,INTC,PG,V,
分配資金,2500000,2500000,2500000,2500000,
張數,26071,76335,29488,33566,
剩餘資金,51.8100000000,28.7500000000,7.3600000000,4.3199999999,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2476536.1000000001,2494656.5499999998,2519462.0799999996,2506377.5400000000,9997032.2699999996,
FS(3),2490614.4399999999,2516793.6999999997,2507372.0000000000,2485902.2799999998,10000682.4199999999,
FS(4),2501303.5499999998,2534350.7500000000,2501474.3999999999,2485902.2799999998,10023030.9800000004,
FS(5),2520596.0900000003,2595418.7500000000,2529193.1199999996,2565118.0400000000,10210326.0000000000,
FS(6),2528417.3900000001,2624426.0500000003,2528603.3599999999,2568474.6399999997,10249921.4399999995,
FS(7),2539888.6299999999,2667173.6499999999,2528603.3599999999,2600698.0000000000,10336363.6400000006,
FS(8),2525549.5800000001,2672517.0999999996,2532731.6799999997,2600026.6799999997,10330825.0400000010,
FS(9),2575605.9000000004,2687020.7500000000,2532141.9199999999,2622851.5600000001,10417620.1300000008,
FS(10),2575345.1899999999,2677097.2000000002,2536270.2400000002,2628222.1199999996,10416934.7500000000,
FS(11),2602719.7400000002,2675570.5000000000,2533911.2000000002,2628557.7799999998,10440759.2200000007,
FS(12),2603762.5800000001,2683204.0000000000,2540988.3199999998,2642319.8399999999,10470274.7400000002,
FS(13),2606108.9699999997,2724424.8999999999,2515923.5199999996,2663802.0799999996,10510259.4700000007,
FS(14),2592291.3400000003,2616029.2000000002,2514154.2400000002,2644669.4600000000,10367144.2400000002,
FS(15),2572216.6699999999,2645799.8499999996,2527718.7199999997,2682263.3799999999,10427998.6200000010,
FS(16),2537802.9500000002,2648089.8999999999,2530077.7599999998,2649704.3599999999,10365674.9700000007,
FS(17),2520335.3799999999,2678623.9000000004,2514449.1199999996,2634599.6599999997,10348008.0599999987,
FS(18),2684061.2600000002,2658776.7999999998,2490563.8399999999,2635942.2999999998,10469344.1999999993,
FS(19),2720299.9500000002,2654196.7000000002,2500884.6400000001,2658095.8599999999,10533477.1500000004,
