代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10678504.9699999988
真實報酬,678504.9699999988
趨勢值,0.1501949423

選擇檔數,6
找到最佳解世代,1962
找到最佳解實驗,1
Stock#,AAPL,BA,GS,INTC,JPM,V,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,15715,12511,10536,47823,26123,21296,
剩餘資金,90.2500000000,75.6899999999,81.5199999999,34.4499999999,18.6000000001,41.0399999999,
FS(1),1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,10000000.0000000000,
FS(2),1641993.4500000000,1646523.2899999998,1644329.6799999999,1652797.3300000001,1662747.5500000000,1667091.9199999999,9915487.2199999988,
FS(3),1662580.1000000001,1649901.2600000000,1668351.7600000000,1637972.2000000000,1689131.7800000000,1676249.1999999997,9984190.2999999989,
FS(4),1663837.3000000000,1641644.0000000000,1665296.3200000001,1653753.7899999998,1686519.4800000002,1692647.1199999999,10003702.0099999998,
FS(5),1689138.4500000000,1648149.7199999997,1707861.7600000000,1672882.9899999998,1731973.5000000000,1706702.4799999997,10156712.8999999985,
FS(6),1703124.8000000000,1653904.7800000000,1715658.4000000001,1675752.3699999999,1726748.8999999999,1702656.2399999998,10177849.4899999984,
FS(7),1710039.4000000001,1659284.5100000000,1722085.3600000001,1670013.6100000001,1720740.6100000001,1704998.7999999998,10187166.2899999991,
FS(8),1697310.2500000000,1655030.7700000000,1708915.3600000001,1651362.6399999999,1705328.0400000000,1696906.3200000001,10114857.3799999990,
FS(9),1696210.2000000002,1664038.6899999999,1726510.4800000002,1658536.0899999999,1710030.1799999999,1706276.5599999998,10161606.1999999974,
FS(10),1700138.9500000002,1665289.7899999998,1720083.5200000000,1653275.5600000001,1706372.9600000000,1704146.9599999997,10149311.7400000002,
FS(11),1720568.4500000000,1684806.9500000000,1744316.3200000001,1669535.3799999999,1716822.1600000001,1723100.3999999997,10259153.6599999983,
FS(12),1718996.9500000000,1689060.6899999999,1745369.9200000002,1683882.2800000000,1716560.9299999999,1720970.7999999998,10274845.5699999984,
FS(13),1716482.5500000000,1685557.6099999999,1745580.6399999999,1674795.9100000001,1721263.0700000001,1721609.6799999999,10265293.4599999990,
FS(14),1714282.4500000000,1689060.6899999999,1749689.6799999999,1672404.7600000000,1722830.4500000002,1709470.9599999997,10257742.9899999984,
FS(15),1718682.6499999999,1682054.5300000000,1751480.7999999998,1685316.9700000000,1720479.3800000001,1713730.1599999997,10271748.4899999984,
FS(16),1705324.9000000001,1688935.5800000001,1751796.8799999999,1691055.7300000000,1718912.0000000000,1726294.7999999998,10282323.8899999987,
FS(17),1710668.0000000000,1678301.2299999997,1749900.4000000001,1692968.6499999999,1718128.3100000001,1720757.8399999999,10270728.4299999997,
FS(18),1697781.7000000000,1667666.8799999999,1741682.3200000001,1681012.8999999999,1722830.4500000002,1709896.8799999999,10220875.1299999990,
FS(19),1690552.7999999998,1663788.4699999997,1748003.9200000002,1678143.5200000000,1725965.2100000000,1710535.7599999995,10216993.6799999997,
FS(20),1680652.3499999999,1654405.2199999997,1748741.4399999999,1686273.4299999999,1729883.6600000001,1715859.7599999995,10215819.8599999994,
FS(21),1678766.5499999998,1662787.5900000001,1758223.8400000001,1700142.0999999999,1748953.4500000002,1722248.5599999998,10271126.0899999980,
FS(22),1665880.2500000000,1636639.5999999999,1784563.8400000001,1707315.5500000000,1763321.1000000001,1728637.3599999999,10286361.7000000011,
FS(23),1667451.7500000000,1619624.6399999999,1785512.0800000001,1716401.9199999999,1763321.1000000001,1722887.4399999999,10275202.9299999997,
FS(24),1677352.2000000000,1625254.5900000001,1775502.8799999999,1722618.9100000001,1755745.4299999999,1731405.8399999999,10287883.8499999996,
FS(25),1693067.2000000000,1641018.4500000000,1782562.0000000000,1725488.2899999998,1763059.8699999999,1746313.0399999998,10351512.8499999996,
FS(26),1692595.7500000000,1663913.5800000001,1784142.4000000001,1748921.5600000001,1761753.7200000000,1757599.9199999999,10408930.9299999997,
FS(27),1702967.6499999999,1659534.7299999997,1787724.6399999999,1743661.0300000000,1754439.2800000000,1772720.0799999996,10421051.4099999983,
FS(28),1658337.0500000000,1662787.5900000001,1808691.2800000000,1742704.5699999998,1756790.3500000001,1766970.1599999997,10396284.9999999981,
FS(29),1620778.2000000000,1608114.5200000000,1776135.0400000000,1694881.5699999998,1741116.5500000003,1732044.7199999997,10173074.5999999978,
FS(30),1657079.8499999999,1628007.0100000000,1802369.6799999999,1725488.2899999998,1751826.9800000002,1766970.1599999997,10331745.9699999988,
FS(31),1696524.5000000000,1610992.0499999998,1759593.5200000000,1703011.4800000000,1737981.7900000000,1743970.4799999997,10252077.8199999984,
FS(32),1756555.8000000000,1597355.0600000001,1750743.2800000000,1703489.7099999997,1734585.8000000003,1735452.0799999996,10278185.7299999967,
FS(33),1816272.7999999998,1598606.1599999999,1770972.4000000001,1748443.3300000001,1740855.3200000001,1746526.0000000000,10421680.0099999998,
FS(34),1806058.0500000000,1585219.3899999999,1749057.5200000000,1801526.8600000001,1719434.4600000000,1747803.7599999995,10409104.0399999991,
FS(35),1784999.9500000000,1594977.9700000000,1751270.0800000001,1777137.1299999999,1729099.9700000000,1757174.0000000000,10394663.0999999996,
