代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11249250.6200000010
真實報酬,1249250.6200000010
趨勢值,0.2690004692

選擇檔數,4
找到最佳解世代,2022
找到最佳解實驗,1
Stock#,AAPL,BA,DIS,NKE,
分配資金,2500000,2500000,2500000,2500000,
張數,22423,17554,27059,50382,
剩餘資金,59.7300000001,134.8600000001,18.9900000000,45.1600000001,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2502242.3000000003,2470860.3599999999,2487011.6799999997,2505038.2000000002,9965152.5399999991,
FS(3),2462777.8199999998,2458045.9399999999,2526517.8199999998,2505542.0200000000,9952883.5999999996,
FS(4),2440579.0500000003,2449620.0199999996,2501623.5400000000,2517129.8800000004,9908952.4900000002,
FS(5),2475783.1599999997,2510883.4800000000,2555200.3599999999,2564992.7799999998,10106859.7799999993,
FS(6),2490358.1099999999,2496313.6599999997,2553847.4099999997,2573557.7200000002,10114076.9000000004,
FS(7),2486321.9699999997,2547044.7199999997,2560882.7500000000,2575573.0000000000,10169822.4399999995,
FS(8),2417034.8999999999,2592685.1199999996,2569541.6299999994,2538794.1400000001,10118055.7899999991,
FS(9),2431385.6200000001,2607254.9399999999,2643142.1099999999,2557939.3000000003,10239721.9700000007,
FS(10),2370395.0600000001,2633059.3199999998,2649636.2700000000,2529725.3800000004,10182816.0300000012,
FS(11),2401787.2599999998,2600057.8000000003,2643683.2900000000,2525694.8200000003,10171223.1699999999,
FS(12),2466365.5000000000,2570742.6199999996,2682107.0699999998,2553404.9199999999,10272620.1100000013,
FS(13),2465468.5800000001,2551257.6800000002,2688871.8199999998,2599252.5400000005,10304850.6200000010,
FS(14),2467935.1099999999,2569162.7599999998,2658295.1499999994,2574565.3600000003,10269958.3799999990,
FS(15),2505381.5200000000,2580923.9399999999,2641789.1599999997,2583634.1200000001,10311728.7400000002,
FS(16),2506951.1299999999,2624808.9399999999,2643953.8799999994,2605298.3800000004,10381012.3300000001,
FS(17),2494170.0200000000,2628670.8199999998,2658836.3300000001,2586657.0400000005,10368334.2100000009,
FS(18),2506726.8999999999,2633937.0199999996,2673989.3699999996,2595725.8000000003,10410379.0899999999,
FS(19),2501793.8399999999,2629197.4399999999,2678048.2199999997,2570030.9800000000,10379070.4800000004,
FS(20),2499327.3100000001,2662023.4199999995,2696989.5200000000,2550885.8200000003,10409226.0700000003,
FS(21),2478249.6899999999,2643065.1000000001,2682107.0699999998,2522671.9000000004,10326093.7599999998,
FS(22),2455154.0000000000,2675188.9199999995,2677236.4499999997,2551893.4600000000,10359472.8300000001,
FS(23),2464347.4300000002,2672731.3599999999,2665330.4899999998,2542320.8800000004,10344730.1600000001,
FS(24),2446633.2599999998,2671151.5000000000,2704836.6299999994,2612351.8600000003,10434973.2500000000,
FS(25),2465468.5800000001,2672555.8199999998,2723777.9299999997,2547862.9000000004,10409665.2300000004,
FS(26),2489685.4199999999,2705908.4199999995,2759766.3999999994,2624947.3600000003,10580307.5999999996,
FS(27),2514126.4900000002,2727850.9199999995,2797378.4099999997,2597237.2599999998,10636593.0800000001,
FS(28),2555160.5800000001,2747160.3199999998,2837425.7299999995,2605802.2000000002,10745548.8300000001,
FS(29),2540585.6299999999,2758921.5000000000,2815778.5299999998,2596733.4399999999,10712019.0999999996,
FS(30),2582965.1000000001,2750144.5000000000,2810096.1399999997,2635023.7599999998,10778229.5000000000,
FS(31),2582965.1000000001,2711701.2399999998,2815507.9399999995,2609328.9399999999,10719503.2200000007,
FS(32),2597091.5899999999,2699413.4399999999,2824708.0000000000,2584137.9399999999,10705350.9700000007,
FS(33),2600455.0400000000,2712227.8599999999,2811719.6799999997,2565496.6000000001,10689899.1799999997,
FS(34),2615478.4500000002,2741718.5800000001,2849331.6899999995,2561969.8600000003,10768498.5800000001,
FS(35),2622429.5800000001,2745404.9199999995,2853661.1299999994,2609328.9399999999,10830824.5700000003,
FS(36),2624896.1099999999,2764538.7799999998,2856367.0299999998,2635023.7599999998,10880825.6799999997,
FS(37),2607630.3999999999,2764187.7000000002,2852578.7700000000,2626962.6400000001,10851359.5099999998,
FS(38),2612787.6899999999,2770331.6000000001,2845272.8399999999,2615374.7799999998,10843766.9100000001,
FS(39),2629380.7100000000,2764538.7799999998,2845814.0200000000,2584137.9399999999,10823871.4499999993,
FS(40),2618169.2100000000,2740314.2599999998,2822272.6899999995,2570534.8000000003,10751290.9600000009,
FS(41),2617496.5200000000,2733117.1199999996,2829308.0299999998,2572550.0800000001,10752471.7500000000,
FS(42),2597091.5899999999,2732941.5800000001,2820107.9699999997,2560962.2200000002,10711103.3599999994,
FS(43),2604491.1800000002,2755586.2399999998,2870437.7099999995,2618901.5200000000,10849416.6500000004,
FS(44),2601576.1899999999,2784550.3399999999,2907237.9499999997,2673817.9000000004,10967182.3800000008,
FS(45),2614805.7599999998,2786130.2000000002,2905614.4099999997,2673314.0800000001,10979864.4500000011,
FS(46),2643955.6599999997,2792976.2599999998,2948908.8100000001,2716138.7799999998,11101979.5099999998,
FS(47),2668172.5000000000,2779284.1399999997,2932132.2299999995,2689436.3200000003,11069025.1899999995,
FS(48),2670863.2599999998,2792449.6399999997,2932673.4099999997,2675833.1800000002,11071819.4899999984,
FS(49),2685213.9800000000,2798242.4600000000,2961355.9499999997,2654672.7400000002,11099485.1300000008,
FS(50),2674002.4800000000,2778757.5199999996,2909673.2599999998,2640061.9600000000,11002495.2200000007,
