代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11765682.9099999983
真實報酬,1765682.9099999983
趨勢值,0.2779607354

選擇檔數,3
找到最佳解世代,2109
找到最佳解實驗,1
Stock#,AAPL,DIS,V,
分配資金,3333333,3333333,3333333,
張數,30444,33690,44191,
剩餘資金,19.4400000002,44.4000000001,5.8699999997,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3345815.0400000000,3318509.3999999999,3346148.3899999997,10010473.8299999982,
FS(3),3321764.2799999998,3367696.7999999998,3416412.0799999996,10105874.1599999983,
FS(4),3347337.2400000002,3391279.7999999998,3407573.8799999994,10146191.9199999999,
FS(5),3380216.7599999998,3436087.4999999995,3504794.0799999996,10321099.3399999999,
FS(6),3413400.7200000002,3482916.5999999996,3503468.3499999996,10399786.6699999999,
FS(7),3469113.2400000002,3532777.7999999998,3497281.6099999999,10499173.6499999985,
FS(8),3449324.6399999997,3505825.7999999998,3468999.3699999996,10424150.8099999987,
FS(9),3506863.7999999998,3498750.8999999999,3499933.0699999998,10505548.7699999977,
FS(10),3506863.7999999998,3505488.8999999999,3496839.6999999993,10509193.3999999985,
FS(11),3526043.5199999996,3516943.5000000000,3513190.3699999996,10556178.3899999987,
FS(12),3530610.1200000001,3500772.2999999998,3462370.7199999993,10493754.1399999987,
FS(13),3551007.6000000001,3547601.3999999999,3451322.9699999993,10549932.9699999988,
FS(14),3560445.2400000002,3552991.7999999998,3462812.6299999994,10576250.6699999999,
FS(15),3563794.0800000001,3556360.7999999998,3453090.6099999999,10573246.4899999984,
FS(16),3540352.2000000002,3551644.2000000002,3442484.7700000000,10534482.1699999999,
FS(17),3547354.3199999998,3542547.8999999999,3453532.5200000000,10543435.7399999984,
FS(18),3569882.8799999999,3543221.7000000002,3462370.7199999993,10575476.2999999989,
FS(19),3554660.8799999999,3513911.3999999999,3460161.1699999995,10528734.4499999993,
FS(20),3553747.5600000001,3522670.7999999998,3461486.8999999994,10537906.2599999998,
FS(21),3526043.5199999996,3511216.1999999997,3447787.6899999995,10485048.4099999983,
FS(22),3536090.0400000000,3573879.5999999996,3513190.3699999996,10623161.0099999998,
FS(23),3532132.3199999998,3619698.0000000000,3541914.5200000000,10693745.8399999980,
FS(24),3550094.2799999998,3617676.5999999996,3583454.0599999996,10751225.9399999995,
FS(25),3589671.4800000000,3671580.6000000001,3632947.9799999995,10894201.0599999987,
FS(26),3622551.0000000000,3650692.7999999998,3612620.1199999996,10885864.9199999999,
FS(27),3626204.2799999998,3651366.5999999996,3593176.0799999996,10870747.9599999990,
FS(28),3645688.4399999999,3687078.0000000000,3614829.6699999995,10947597.1099999994,
FS(29),3630466.4399999999,3622730.1000000001,3595827.5400000000,10849025.0800000001,
FS(30),3624073.2000000002,3640585.7999999998,3586989.3399999999,10851649.3399999999,
FS(31),3653299.4399999999,3637553.6999999997,3590966.5299999998,10881820.6699999999,
FS(32),3652995.0000000000,3643954.7999999998,3605549.5599999996,10902500.3599999994,
FS(33),3646601.7599999998,3614307.6000000001,3611736.2999999998,10872646.6599999983,
FS(34),3653299.4399999999,3627109.7999999998,3616597.3099999996,10897007.5499999989,
FS(35),3655734.9600000000,3608917.2000000002,3630296.5200000000,10894949.6799999997,
FS(36),3652386.1200000001,3635195.3999999999,3678022.7999999998,10965605.3200000003,
FS(37),3710534.1599999997,3639912.0000000000,3707630.7700000000,11058077.9299999997,
FS(38),3712360.7999999998,3640585.7999999998,3678464.7099999995,11031412.3099999987,
FS(39),3712665.2400000002,3682361.3999999999,3701885.9399999995,11096913.5799999982,
FS(40),3702923.1599999997,3737613.0000000000,3698792.5699999998,11139329.7299999986,
FS(41),3694398.8399999999,3727842.8999999999,3655043.4799999995,11077286.2199999988,
FS(42),3919684.4399999999,3749741.3999999999,3643111.9099999997,11312538.7499999981,
FS(43),3912986.7599999998,3726495.2999999998,3636925.1699999995,11276408.2299999986,
FS(44),3929730.9600000004,3716051.3999999999,3803967.1499999994,11449750.5099999998,
FS(45),3966568.1999999997,3691457.6999999997,3792919.3999999994,11450946.2999999989,
FS(46),4004318.7599999998,3672254.3999999999,3790709.8499999996,11467284.0099999998,
FS(47),4019845.1999999997,3672254.3999999999,3760218.0599999996,11452318.6599999983,
FS(48),4031413.9199999995,3688762.4999999995,3781871.6499999994,11502049.0699999984,
FS(49),4022280.7200000002,3681013.8000000003,3796012.7700000000,11499308.2899999991,
FS(50),4057900.1999999997,3694152.8999999999,3819875.9099999997,11571930.0099999979,
FS(51),4110568.3200000003,3717062.0999999996,3837994.2199999993,11665625.6399999987,
FS(52),4125485.8799999999,3712008.6000000001,3868486.0099999998,11705981.4900000002,
FS(53),4120614.8399999999,3729864.2999999998,3862741.1799999997,11713221.3199999984,
FS(54),4131879.1200000001,3707965.7999999998,3864950.7299999995,11704796.6499999985,
FS(55),4161714.2399999998,3706281.3000000003,3885278.5899999999,11753275.1299999990,
FS(56),4174196.2800000003,3709987.2000000002,3879975.6699999995,11764160.1500000004,
FS(57),4156538.7599999998,3696848.1000000001,3896768.2500000000,11750156.1099999994,
FS(58),4160496.4800000000,3716725.1999999997,3907816.0000000000,11785038.6799999997,
FS(59),4168716.3600000003,3713693.1000000001,3888813.8699999996,11771224.3300000001,
FS(60),4170543.0000000000,3708976.5000000000,3886162.4099999997,11765682.9099999983,
