代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10692294.1899999995
真實報酬,692294.1899999995
趨勢值,0.2385534832

選擇檔數,4
找到最佳解世代,2193
找到最佳解實驗,1
Stock#,AAPL,DIS,KO,MSFT,
分配資金,2500000,2500000,2500000,2500000,
張數,19417,22461,60591,39320,
剩餘資金,61.2500000000,90.7000000001,15.3400000001,34.4000000001,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2495728.2600000002,2484501.9100000001,2508482.7400000002,2483878.7999999998,9972591.7100000009,
FS(3),2506407.6100000003,2477539.0000000000,2516965.4800000004,2503932.0000000000,10004844.0899999999,
FS(4),2529902.1799999997,2461142.4700000002,2518177.3000000003,2502359.1999999997,10011581.1499999985,
FS(5),2553979.2600000002,2448339.7000000002,2538778.2400000002,2494102.0000000000,10035199.1999999993,
FS(6),2563881.9299999997,2448339.7000000002,2546049.1600000006,2490563.2000000002,10048833.9900000002,
FS(7),2571260.3899999997,2459345.5899999999,2499394.0900000003,2518873.6000000001,10048873.6699999981,
FS(8),2565435.2900000000,2454179.5600000005,2458798.1200000001,2516514.3999999999,9994927.3699999992,
FS(9),2588153.1799999997,2462939.3500000001,2461221.7600000002,2544824.7999999998,10057139.0899999999,
FS(10),2621744.5900000003,2478212.8300000001,2455768.5700000003,2538926.7999999998,10094652.7900000010,
FS(11),2631258.9199999999,2474843.6800000002,2450315.3800000004,2537354.0000000000,10093771.9800000004,
FS(12),2628152.1999999997,2486748.0100000002,2496364.5400000005,2536960.7999999998,10148225.5499999989,
FS(13),2635336.4899999998,2472148.3600000003,2498182.2700000000,2540892.8000000003,10146559.9199999981,
FS(14),2654365.1499999999,2471025.3100000005,2512118.2000000002,2535781.1999999997,10173289.8599999994,
FS(15),2662326.1200000001,2473496.0200000005,2520600.9400000004,2530669.6000000001,10187092.6799999997,
FS(16),2651064.2600000002,2464736.2300000004,2524236.3999999999,2540892.8000000003,10180929.6899999995,
FS(17),2653588.4699999997,2477988.2200000002,2531507.3200000003,2540892.8000000003,10203976.8099999987,
FS(18),2658831.0600000001,2475966.7300000004,2524842.3100000005,2525558.0000000000,10185198.0999999996,
FS(19),2659996.0800000001,2472822.1900000004,2542413.7000000002,2515728.0000000000,10190959.9700000007,
FS(20),2714363.6799999997,2494160.1400000001,2554531.8999999999,2553475.1999999997,10316530.9199999999,
FS(21),2698247.5700000003,2484052.6900000004,2573315.1100000003,2516907.6000000001,10272522.9700000007,
FS(22),2714169.5100000002,2498652.3399999999,2573921.0200000000,2526344.3999999999,10313087.2699999996,
FS(23),2705626.0300000003,2485849.5700000003,2555743.7200000002,2527130.7999999998,10274350.1199999992,
FS(24),2709121.0900000003,2490117.1600000001,2544231.4300000006,2532242.3999999999,10275712.0800000001,
FS(25),2699024.2500000000,2489667.9400000004,2544231.4300000006,2555441.1999999997,10288364.8199999984,
FS(26),2692810.8100000001,2493935.5300000003,2546655.0700000003,2545218.0000000000,10278619.4100000001,
FS(27),2701742.6299999999,2491464.8200000003,2562408.7300000004,2553082.0000000000,10308698.1799999997,
