代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10539967.7699999996
真實報酬,539967.7699999996
趨勢值,0.1584948884

選擇檔數,4
找到最佳解世代,1848
找到最佳解實驗,1
Stock#,AAPL,DIS,JNJ,WMT,
分配資金,2500000,2500000,2500000,2500000,
張數,17883,22514,20184,35486,
剩餘資金,135.4300000001,45.4399999999,9.7600000000,11.2999999999,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2485157.1100000003,2489868.7000000002,2495357.6800000002,2511000.6600000001,9981384.1500000004,
FS(3),2499821.1700000004,2504502.7999999998,2498587.1200000006,2485095.8799999999,9988006.9700000007,
FS(4),2491952.6500000004,2491669.8199999998,2496972.3999999999,2479772.9799999995,9960367.8499999996,
FS(5),2495171.5900000003,2495947.4800000000,2499394.4800000000,2479418.1200000001,9969931.6699999999,
FS(6),2485872.4300000002,2495497.2000000002,2504844.1600000001,2476934.0999999996,9963147.8899999987,
FS(7),2480149.8700000001,2499774.8599999999,2542184.5600000005,2479063.2599999998,10001172.5500000007,
FS(8),2488376.0499999998,2497298.3199999998,2547432.3999999999,2487579.8999999994,10020686.6699999999,
FS(9),2489449.0299999998,2510806.7199999997,2556918.8800000004,2482257.0000000000,10039431.6299999990,
FS(10),2485693.6000000006,2528592.7799999998,2564386.9600000000,2509581.2199999997,10088254.5600000005,
FS(11),2511981.6100000003,2518686.6200000001,2602938.4000000004,2504613.1799999997,10138219.8100000005,
FS(12),2516094.7000000002,2515084.3799999999,2592846.4000000004,2499645.1399999997,10123670.6200000010,
FS(13),2503576.6000000006,2516210.0800000001,2584772.8000000003,2480127.8399999999,10084687.3200000003,
FS(14),2529864.6100000003,2537598.3799999999,2584974.6400000001,2483321.5800000001,10135759.2099999990,
FS(15),2500894.1500000004,2515984.9399999999,2568423.7600000002,2480482.7000000002,10065785.5500000007,
FS(16),2529149.2900000000,2523414.5600000001,2548441.6000000006,2492902.7999999998,10093908.2500000000,
FS(17),2520207.7900000000,2527016.7999999998,2541175.3600000003,2479063.2599999998,10067463.2100000009,
FS(18),2515200.5499999998,2524765.3999999999,2532698.0800000005,2470191.7599999998,10042855.7900000010,
FS(19),2519492.4700000002,2530168.7599999998,2539156.9600000000,2471966.0599999996,10060784.2500000000,
FS(20),2571710.8300000005,2545253.1399999997,2536331.2000000002,2495386.8199999994,10148681.9900000002,
FS(21),2577433.3900000001,2533545.8599999999,2521395.0400000005,2510290.9399999995,10142665.2300000004,
FS(22),2574035.6200000001,2548179.9600000000,2516147.2000000002,2540454.0400000000,10178816.8199999984,
FS(23),2569207.2100000000,2552907.8999999999,2513926.9600000000,2557842.1799999997,10193884.2500000000,
FS(24),2569922.5299999998,2548630.2400000002,2516752.7200000002,2548970.6799999997,10184276.1699999999,
FS(25),2589057.3400000003,2545028.0000000000,2516550.8800000004,2555358.1600000001,10205994.3800000008,
FS(26),2575645.0900000003,2544127.4399999999,2518972.9600000000,2542583.2000000002,10181328.6899999995,
FS(27),2569207.2100000000,2545253.1399999997,2524018.9600000000,2534776.2800000003,10173255.5899999999,
FS(28),2563484.6500000004,2534671.5600000001,2521395.0400000005,2586940.7000000002,10206491.9499999993,
FS(29),2560444.5400000000,2531294.4600000000,2509688.3200000003,2592618.4600000000,10194045.7799999993,
FS(30),2532904.7200000002,2545703.4199999999,2507266.2400000002,2605748.2800000003,10191622.6599999983,
FS(31),2535944.8300000005,2545028.0000000000,2531083.3600000003,2606103.1399999997,10218159.3300000019,
FS(32),2522532.5800000005,2548630.2400000002,2522807.9199999999,2595812.2000000002,10189782.9399999995,
FS(33),2536481.3200000003,2561688.3599999999,2537542.2400000002,2607877.4399999995,10243589.3599999994,
FS(34),2525215.0299999998,2570919.1000000001,2458824.6400000001,2622071.8399999999,10177030.6099999994,
FS(35),2515915.8700000001,2560562.6600000001,2449741.8400000003,2628459.3199999994,10154679.6899999995,
FS(36),2547389.9500000002,2584427.5000000000,2459833.8400000003,2654364.0999999996,10246015.3900000006,
FS(37),2544349.8400000003,2576547.6000000001,2457613.6000000006,2659332.1399999997,10237843.1799999997,
FS(38),2568849.5499999998,2559887.2400000002,2480421.5200000005,2653654.3799999999,10262812.6899999995,
FS(39),2584765.4200000004,2593207.9600000000,2491320.8800000004,2663235.5999999996,10332529.8600000013,
FS(40),2569564.8700000001,2602213.5600000001,2492935.6000000006,2676720.2800000003,10341434.3099999987,
FS(41),2571532.0000000000,2608067.2000000002,2497577.9199999999,2677075.1399999997,10354252.2599999998,
FS(42),2569028.3800000004,2602663.8399999999,2492128.2400000002,2667848.7800000003,10331669.2399999984,
FS(43),2621425.5700000003,2583076.6600000001,2489504.3200000003,2669623.0800000001,10363629.6300000008,
FS(44),2638056.7599999998,2574971.6200000001,2496770.5600000005,2679914.0199999996,10389712.9599999990,
FS(45),2630009.4100000001,2513058.1200000001,2489302.4800000000,2688430.6600000001,10320800.6699999999,
FS(46),2620531.4200000004,2502926.8199999998,2501816.5600000005,2709012.5400000000,10334287.3399999999,
FS(47),2663987.1100000003,2521388.2999999998,2492935.6000000006,2714690.2999999998,10393001.3099999987,
FS(48),2736413.2599999998,2508555.3199999998,2487687.7600000002,2701205.6200000001,10433861.9599999990,
FS(49),2753938.6000000006,2523189.4199999999,2486880.3999999999,2722497.2199999997,10486505.6400000006,
FS(50),2740884.0099999998,2468930.6799999997,2478806.8000000003,2721787.5000000000,10410408.9899999984,
FS(51),2753223.2799999998,2467129.5600000001,2486678.5600000005,2701560.4799999995,10408591.8799999990,
FS(52),2791671.7300000000,2469606.1000000001,2495559.5200000005,2686656.3599999994,10443493.7099999990,
FS(53),2784518.5299999998,2456998.2599999998,2563175.9199999999,2707238.2400000002,10511930.9499999993,
FS(54),2780405.4399999999,2431107.1600000001,2578919.4399999999,2665364.7599999998,10455796.7999999989,
FS(55),2687056.1800000002,2393508.7799999998,2556717.0400000005,2665719.6200000001,10303001.6199999992,
FS(56),2728008.2500000000,2401838.9600000000,2562772.2400000002,2751595.7400000002,10444215.1899999995,
FS(57),2737307.4100000001,2420750.7199999997,2563377.7600000002,2795243.5199999996,10516679.4100000001,
FS(58),2753938.6000000006,2423227.2599999998,2568625.6000000006,2787436.5999999996,10533228.0600000005,
