代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11070848.2899999991
真實報酬,1070848.2899999991
趨勢值,0.2731288993

選擇檔數,5
找到最佳解世代,2224
找到最佳解實驗,2
Stock#,BA,JNJ,MCD,UNH,WMT,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,11321,16039,15430,12078,27843,
剩餘資金,145.3499999999,97.0900000000,117.6999999998,3.9800000000,37.3100000000,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,10000000.0000000000,
FS(2),2023208.0499999998,1999839.6100000001,1995062.3999999997,1992511.6399999999,2005011.7400000002,10015633.4399999995,
FS(3),2004868.0300000000,2001764.2900000000,2012343.9999999998,1997342.8400000001,1994988.2600000002,10011307.4199999999,
FS(4),2008151.1199999999,2005774.0400000000,2008332.1999999997,1996980.5000000000,1988862.8000000003,10008100.6600000001,
FS(5),2024906.1999999997,2003688.9700000002,2005400.4999999998,2005193.5400000000,2029792.0100000002,10068981.2200000007,
FS(6),2010302.1099999999,1994386.3500000001,2005709.0999999996,1998671.4199999999,2034246.8900000001,10043315.8699999992,
FS(7),2021736.3199999998,1992461.6700000002,2024533.6999999995,2002898.7200000002,2044548.8000000003,10086179.2099999990,
FS(8),1993207.3999999999,2011387.6900000002,2025459.4999999995,1999637.6599999999,2044827.2300000000,10074519.4800000004,
FS(9),1988339.3699999999,2004811.7000000000,2017744.4999999995,1992390.8600000001,2036752.7600000002,10040039.1899999995,
FS(10),2026830.7700000000,2016520.1700000002,2026848.1999999997,2019204.0200000000,2046219.3799999999,10135622.5399999991,
FS(11),2013585.1999999997,1953968.0700000001,2041506.7000000000,2036234.0000000000,2057356.5800000001,10102650.5500000007,
FS(12),2019811.7500000000,1946750.5200000003,2046752.8999999994,2044205.4800000000,2062368.3199999998,10119888.9700000007,
FS(13),2030000.6499999999,1954770.0200000003,2056473.7999999998,2071864.0999999999,2082693.7100000000,10195802.2799999993,
FS(14),2042227.3299999998,1953005.7300000002,2058633.9999999998,2067274.4600000000,2086591.7300000000,10207733.2500000000,
FS(15),2061246.6099999999,1971129.8000000000,2071286.5999999996,2081405.7200000002,2082136.8500000001,10267205.5800000001,
FS(16),2077662.0599999998,1979790.8600000001,2186548.6999999997,2102059.1000000001,2089654.4600000000,10435715.1799999997,
FS(17),2057284.2600000000,1981073.9800000002,2173278.8999999999,2106165.6200000001,2100234.8000000003,10418037.5599999987,
FS(18),2074378.9699999997,1984762.9500000000,2173741.7999999998,2109185.1200000001,2100513.2300000000,10442582.0700000003,
FS(19),2092605.7800000000,1980432.4200000002,2159237.5999999996,2112204.6200000001,2093274.0500000003,10437754.4699999988,
FS(20),2064982.5399999998,1978347.3500000001,2178062.1999999997,2108702.0000000000,2094666.2000000002,10424760.2900000010,
FS(21),2076869.5899999999,1984121.3900000001,2179296.5999999996,2103266.8999999999,2102740.6699999999,10446295.1499999985,
FS(22),2076303.5399999998,1978186.9600000000,2200744.2999999998,2083942.0999999999,2109422.9900000002,10448599.8900000006,
FS(23),2072680.8199999998,1988131.1400000001,2213551.1999999997,2101817.5400000000,2125571.9300000002,10501752.6299999990,
FS(24),2094643.5599999998,1981073.9800000002,2221420.5000000000,2103025.3399999999,2130026.8100000001,10530190.1899999995,
