代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10767354.2000000011
真實報酬,767354.2000000011
趨勢值,0.2943938215

選擇檔數,5
找到最佳解世代,2735
找到最佳解實驗,2
Stock#,JPM,MCD,PG,UNH,V,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,24078,13124,22693,11137,20964,
剩餘資金,81.3199999999,33.6400000002,65.9100000001,17.5399999999,34.3999999999,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,10000000.0000000000,
FS(2),1989887.2399999998,2017717.4000000001,2010438.7800000003,1997883.9699999997,2015723.0000000000,10031650.3900000006,
FS(3),1993498.9399999999,2005249.6000000001,2013842.7300000000,1997661.2299999997,2024108.5999999999,10034361.1000000015,
FS(4),1997592.1999999997,1984776.1599999999,2015204.3100000001,2013809.8799999997,2008175.9600000000,10019558.5099999998,
FS(5),2020466.2999999998,1994094.2000000002,2014523.5200000000,2040427.3099999998,2014465.1599999999,10083976.4900000021,
FS(6),2045507.4199999999,1987400.9600000002,1993645.9600000000,2023499.0699999998,2014465.1599999999,10064518.5700000022,
FS(7),2093904.1999999997,1988057.1599999999,2000680.7900000000,2020937.5599999998,1982390.2400000000,10085969.9500000011,
FS(8),2094385.7600000000,1948553.9200000002,2002496.2300000000,1996324.7899999998,1960168.3999999999,10001929.0999999996,
FS(9),2101368.3799999999,1966271.3200000001,1998411.4900000002,2016371.3899999999,1993291.5199999998,10075714.0999999996,
FS(10),2097034.3399999999,1977557.9600000002,2007034.8300000001,2030960.8599999999,1998322.8799999997,10110910.8700000010,
FS(11),2084513.7799999996,1983988.7200000000,2028366.2500000000,2008909.5999999999,1974214.2800000000,10079992.6300000008,
FS(12),2075123.3600000001,1994750.4000000001,2034720.2900000000,2022830.8499999999,1974214.2800000000,10101639.1800000016,
FS(13),2120630.7799999998,2009843.0000000000,2039258.8900000001,2038311.2800000000,1987211.9600000000,10195255.9100000001,
FS(14),2107387.8799999999,2022048.3200000001,2034039.5000000000,2041095.5300000000,1978616.7199999997,10183187.9500000011,
FS(15),2097756.6800000002,2017586.1599999999,2028820.1100000003,2059471.5799999996,1981970.9600000000,10185605.4900000002,
FS(16),2095348.8799999997,2031628.8400000003,2020423.7000000002,2077068.0399999998,1969602.2000000000,10194071.6600000001,
FS(17),2091496.3999999999,2029529.0000000000,2029273.9700000002,2063146.7899999998,2003773.5199999998,10217219.6799999997,
FS(18),2100646.0399999996,2020604.6800000002,2027912.3900000001,2061698.9799999997,1996226.4800000000,10207088.5700000003,
FS(19),2120149.2199999997,2017454.9200000002,2010892.6400000001,2055907.7399999998,1989518.0000000000,10193922.5200000014,
FS(20),2162767.2799999998,2025066.8400000003,2005446.3200000003,2068158.4399999997,2017400.1199999999,10278839.0000000000,
FS(21),2194791.0200000000,2009711.7600000000,1974129.9800000000,2063369.5300000000,1979455.2800000000,10221457.5700000022,
FS(22),2200810.5200000000,2010105.4800000000,1977760.8600000003,2065040.0799999996,1966038.3199999998,10219755.2600000016,
FS(23),2233315.8199999998,2001443.6400000001,1991149.7300000000,2078738.5899999999,1957023.7999999998,10261671.5800000001,
FS(24),2255708.3599999999,2008924.3200000001,1989561.2200000002,2096557.7899999998,1970860.0400000000,10321611.7300000004,
FS(25),2248484.9599999995,2009186.8000000003,1982753.3200000003,2081968.3199999998,1954927.3999999999,10277320.8000000007,
FS(26),2259801.6199999996,2050921.1200000003,1989107.3600000003,2093328.0599999998,1968973.2800000000,10362131.4400000013,
FS(27),2243910.1399999997,2041078.1200000003,1976399.2800000003,2082079.6899999997,1993501.1599999999,10336968.3900000006,
FS(28),2235242.0599999996,2033072.4800000000,1969137.5200000000,2070942.6899999997,2000209.6399999999,10308604.3900000006,
FS(29),2227537.1000000001,2054989.5600000003,1973449.1899999999,2079184.0699999998,2016351.9200000002,10351511.8400000017,
FS(30),2241743.1199999996,2034778.6000000001,1967549.0100000002,2065708.2999999996,2011320.5599999998,10321099.5899999999,
FS(31),2221276.8199999998,2037928.3600000001,1976626.2100000000,2081522.8399999999,2032074.9200000002,10349429.1500000004,
FS(32),2200569.7399999998,2037665.8800000001,1986838.0600000001,2075397.4899999998,2029978.5199999998,10330449.6900000013,
FS(33),2192864.7799999998,2020604.6800000002,2011573.4300000002,2080965.9899999998,2045701.5199999998,10351710.4000000004,
FS(34),2195994.9199999999,2019686.0000000000,2004992.4600000000,2107026.5699999998,2059747.3999999999,10387447.3499999996,
FS(35),2195994.9199999999,2023885.6800000002,2010665.7100000000,2132753.0400000000,2056812.4399999999,10420111.7900000010,
FS(36),2188530.7399999998,2020079.7200000000,2010892.6400000001,2135871.3999999999,2088048.7999999998,10443423.3000000007,
FS(37),2197921.1599999997,1992913.0400000000,2001134.6500000004,2125959.4699999997,2104191.0800000001,10422119.4000000004,
FS(38),2234519.7199999997,2087668.3200000001,2022919.9300000002,2120502.3400000003,2096224.7599999998,10561835.0700000003,
FS(39),2213571.8599999999,2054070.8800000001,2026550.8100000001,2124400.2900000000,2114253.7999999998,10532847.6400000006,
FS(40),2204422.2199999997,2059845.4399999999,2057867.1500000004,2104130.9500000002,2087419.8799999997,10513685.6400000006,
FS(41),2197921.1599999997,2045409.0400000000,2047201.4399999999,2128855.0900000003,2078615.0000000000,10498001.7300000004,
FS(42),2210441.7199999997,2036091.0000000000,2061044.1699999999,2136205.5100000002,2087210.2400000000,10530992.6400000006,
FS(43),2240057.6599999997,2021654.6000000001,2067398.2100000000,2140883.0499999998,2114673.0800000001,10584666.5999999996,
FS(44),2241983.8999999999,2055120.8000000003,2066036.6300000004,2149458.5400000000,2123268.3199999998,10635868.1900000013,
FS(45),2227296.3199999998,2030578.9200000002,2061951.8900000001,2169171.0300000003,2108803.1600000001,10597801.3200000003,
FS(46),2255226.7999999998,2018767.3200000001,2057640.2200000002,2170396.1000000001,2115092.3599999999,10617122.8000000007,
FS(47),2263894.8799999999,2033859.9200000002,2075113.8300000001,2169282.3999999999,2127670.7599999998,10669821.7899999991,
FS(48),2255708.3599999999,2033203.7200000000,2078290.8500000001,2170618.8400000003,2123268.3199999998,10661090.0900000017,
FS(49),2252096.6599999997,2033203.7200000000,2086006.4700000002,2169839.2500000000,2116769.4800000000,10657915.5800000001,
FS(50),2219832.1399999997,2055514.5200000003,2081921.7300000000,2144669.6299999999,2085742.7599999998,10587680.7800000012,
FS(51),2201292.0800000001,2064438.8400000003,2072844.5300000003,2149681.2800000003,2098321.1600000001,10586577.8900000006,
FS(52),2227055.5399999996,2063913.8800000001,2079879.3600000003,2157365.8100000001,2135637.0800000001,10663851.6699999999,
FS(53),2232834.2599999998,2068638.5200000003,2092360.5100000002,2166164.0400000000,2151569.7199999997,10711567.0500000007,
FS(54),2217424.3399999999,2085437.2400000002,2097806.8300000001,2158034.0300000003,2166034.8799999999,10724737.3200000003,
FS(55),2182752.0200000000,2072182.0000000000,2089410.4199999999,2146117.4399999999,2141716.6399999997,10632178.5199999996,
FS(56),2184919.0399999996,2070475.8800000001,2098487.6200000001,2125179.8799999999,2149054.0400000000,10628116.4600000009,
