代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11482225.5499999989
真實報酬,1482225.5499999989
趨勢值,0.5760161951

選擇檔數,8
找到最佳解世代,2016
找到最佳解實驗,1
Stock#,CAT,CSCO,CVX,DIS,HD,INTC,KO,WMT,
分配資金,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,
張數,10568,38699,11493,12315,8290,35622,27304,15949,
剩餘資金,16.9600000000,22.3000000001,21.3199999999,27.5000000000,33.8000000000,24.0199999999,22.8800000000,76.8699999999,
FS(1),1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,10000000.0000000019,
FS(2),1250211.3599999999,1223684.6800000002,1257815.2399999998,1251231.5000000000,1267823.5000000000,1247506.4600000000,1253822.5599999998,1272807.0699999998,10024902.3699999992,
FS(3),1236261.6000000001,1233359.4300000002,1284823.7899999998,1250000.0000000000,1297916.2000000000,1273866.7399999998,1254914.7200000000,1277272.7899999998,10108415.2700000014,
FS(4),1244610.3199999998,1229102.5400000000,1284938.7199999997,1195321.4000000001,1309273.5000000000,1266029.8999999997,1263652.0000000000,1277910.7500000000,10070839.1300000008,
FS(5),1245138.7200000000,1218266.8200000001,1273215.8599999999,1195444.5499999998,1323615.2000000000,1253562.1999999997,1264198.0799999998,1258133.9899999998,10031575.4199999999,
FS(6),1256235.1200000001,1245743.1099999999,1293213.6799999997,1195690.8500000001,1312921.1000000001,1274222.9600000000,1270204.9600000000,1261323.7899999998,10109555.5700000003,
FS(7),1278110.8799999999,1254256.8899999999,1292868.8899999997,1205542.8500000001,1325687.7000000000,1285622.0000000000,1275665.7599999998,1269776.7599999998,10187531.7300000023,
FS(8),1264266.7999999998,1245356.1200000001,1312292.0599999998,1216995.7999999998,1326599.6000000001,1294171.2799999998,1279761.3599999999,1273764.0099999998,10213207.0300000012,
FS(9),1273249.6000000001,1245743.1099999999,1315395.1699999999,1205666.0000000000,1321294.0000000000,1299514.5799999996,1259010.3199999998,1270893.1899999999,10190765.9700000007,
FS(10),1282655.1200000001,1255417.8599999999,1317463.9099999997,1213301.3000000000,1313169.8000000000,1318038.0199999998,1260921.5999999999,1282057.4899999998,10243025.0999999996,
