代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,13346903.8399999999
真實報酬,3346903.8399999999
趨勢值,0.1760973745

選擇檔數,1
找到最佳解世代,1930
找到最佳解實驗,1
Stock#,BA,
分配資金,10000000,
張數,36848,
剩餘資金,189.7600000002,
FS(1),10000000.0000000000,10000000.0000000000,
FS(2),10242828.3200000003,10242828.3200000003,
FS(3),10153287.6799999997,10153287.6799999997,
FS(4),10253882.7199999988,10253882.7199999988,
FS(5),10390220.3200000003,10390220.3200000003,
FS(6),10535032.9599999990,10535032.9599999990,
FS(7),10434069.4400000013,10434069.4400000013,
FS(8),10683898.8799999990,10683898.8799999990,
FS(9),10753910.0799999982,10753910.0799999982,
FS(10),10829080.0000000000,10829080.0000000000,
FS(11),10831290.8799999990,10831290.8799999990,
FS(12),10912356.4799999986,10912356.4799999986,
FS(13),10953257.7599999998,10953257.7599999998,
FS(14),10977208.9599999990,10977208.9599999990,
FS(15),10871455.1999999993,10871455.1999999993,
FS(16),10874034.5600000005,10874034.5600000005,
FS(17),10883615.0400000010,10883615.0400000010,
FS(18),10893195.5199999996,10893195.5199999996,
FS(19),10920094.5600000005,10920094.5600000005,
FS(20),10867033.4400000013,10867033.4400000013,
FS(21),10938150.0799999982,10938150.0799999982,
FS(22),10973524.1600000001,10973524.1600000001,
FS(23),10931885.9199999999,10931885.9199999999,
FS(24),11380326.0799999982,11380326.0799999982,
FS(25),11428596.9599999990,11428596.9599999990,
FS(26),11733698.4000000004,11733698.4000000004,
FS(27),11801130.2400000002,11801130.2400000002,
FS(28),12090755.5199999996,12090755.5199999996,
FS(29),12388855.8399999999,12388855.8399999999,
FS(30),12350165.4400000013,12350165.4400000013,
FS(31),12934206.2400000002,12934206.2400000002,
FS(32),12534405.4400000013,12534405.4400000013,
FS(33),12444864.8000000007,12444864.8000000007,
FS(34),12454813.7599999998,12454813.7599999998,
FS(35),12366010.0799999982,12366010.0799999982,
FS(36),12332846.8799999990,12332846.8799999990,
FS(37),12643107.0400000010,12643107.0400000010,
FS(38),12647160.3200000003,12647160.3200000003,
FS(39),12558725.1199999992,12558725.1199999992,
FS(40),12444127.8399999999,12444127.8399999999,
FS(41),13058015.5199999996,13058015.5199999996,
FS(42),13152714.8799999990,13152714.8799999990,
FS(43),12856825.4400000013,12856825.4400000013,
FS(44),12118760.0000000000,12118760.0000000000,
FS(45),12562041.4400000013,12562041.4400000013,
FS(46),12827715.5199999996,12827715.5199999996,
FS(47),12147501.4400000013,12147501.4400000013,
FS(48),12264309.5999999996,12264309.5999999996,
FS(49),12668532.1600000001,12668532.1600000001,
FS(50),12644949.4400000013,12644949.4400000013,
FS(51),12707222.5600000005,12707222.5600000005,
FS(52),13135027.8399999999,13135027.8399999999,
FS(53),13082703.6799999997,13082703.6799999997,
FS(54),13020430.5600000005,13020430.5600000005,
FS(55),12984319.5199999996,12984319.5199999996,
FS(56),13115129.9199999999,13115129.9199999999,
FS(57),13142397.4400000013,13142397.4400000013,
FS(58),13393700.8000000007,13393700.8000000007,
FS(59),13436444.4799999986,13436444.4799999986,
FS(60),13346903.8399999999,13346903.8399999999,
