代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10964276.6800000016
真實報酬,964276.6800000016
趨勢值,0.1434524643

選擇檔數,5
找到最佳解世代,2099
找到最佳解實驗,1
Stock#,CVX,INTC,MCD,MRK,NKE,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,17850,41806,12845,37243,30156,
剩餘資金,85.9999999999,0.9599999999,33.5000000001,50.8999999999,54.0800000002,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,10000000.0000000000,
FS(2),1992860.0000000000,2047658.8399999999,1904561.6500000004,2024580.3799999999,1987032.9200000004,9956693.7899999991,
FS(3),2019813.5000000000,2079849.4600000000,1940013.8500000003,2026070.0999999999,1961701.8800000001,10027448.7899999991,
FS(4),2028738.5000000000,2119983.2200000002,1942197.5000000000,2022345.7999999998,1967431.5200000003,10080696.5399999991,
FS(5),2032130.0000000000,2145484.8799999999,1957354.6000000001,2028677.1099999999,1935164.6000000003,10098811.1899999995,
FS(6),2023383.5000000000,2121237.3999999999,1983815.3000000003,2039477.5799999998,1963511.2400000002,10131425.0199999996,
FS(7),2092463.0000000000,2181856.1000000001,2019781.3000000003,2053629.9199999999,1999396.8800000001,10347127.1999999993,
FS(8),2084787.5000000000,2153846.0800000001,2026203.8000000003,2061823.3799999999,2015078.0000000000,10341738.7599999979,
FS(9),2078897.0000000000,2164715.6400000001,2032369.4000000001,2062195.8099999998,1995476.6000000003,10333654.4499999993,
FS(10),2055156.5000000000,2168060.1200000001,2032626.3000000003,2040967.2999999998,1996381.2800000005,10293191.4999999981,
FS(11),2063189.0000000000,2127090.2400000002,2075913.9500000004,2057726.6499999999,2002110.9200000004,10326030.7599999998,
FS(12),2059976.0000000000,2139213.9800000000,2085547.7000000004,2073368.7100000000,1987636.0400000003,10345742.4299999997,
FS(13),2033022.5000000000,2124999.9399999999,2042516.9500000002,2034635.9900000000,1981604.8400000001,10216780.2199999988,
FS(14),2043911.0000000000,2155100.2599999998,2047269.6000000001,2035008.4199999999,2014474.8800000001,10295764.1600000001,
FS(15),2089250.0000000000,2155518.3199999998,2038021.2000000002,2036870.5699999998,2000904.6800000002,10320564.7699999996,
FS(16),2029631.0000000000,2124999.9399999999,2017212.3000000000,2015642.0599999998,1942703.6000000003,10130188.9000000004,
FS(17),2016779.0000000000,2063545.1199999999,1990751.6000000001,1989199.5299999998,1949036.3600000001,10009311.6099999994,
FS(18),2059083.5000000000,2193979.8399999999,2029671.9500000002,2012662.6199999999,1987334.4800000004,10282732.3899999987,
FS(19),2046767.0000000000,2140050.1000000001,2022864.1000000001,2001862.1499999999,1995476.6000000003,10207019.9499999993,
FS(20),2001071.0000000000,2073578.5600000001,2034809.9500000002,2051767.7700000000,1973462.7200000002,10134690.0000000000,
FS(21),2035700.0000000000,2177257.4399999999,2008734.6000000001,2028677.1099999999,2003618.7200000002,10253987.8699999992,
FS(22),2003570.0000000000,2045150.4800000000,2025946.9000000001,1983985.5100000000,1933656.8000000005,9992309.6899999995,
FS(23),2049801.5000000000,2079849.4600000000,2060371.5000000002,2014524.7700000000,2011459.2800000005,10216006.5099999998,
