代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11079919.2700000014
真實報酬,1079919.2700000014
趨勢值,0.2141692925

選擇檔數,8
找到最佳解世代,2206
找到最佳解實驗,1
Stock#,AAPL,DIS,HD,KO,NKE,PFE,PG,VZ,
分配資金,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,
張數,7392,12492,6770,29349,18355,35310,17370,25604,
剩餘資金,12.8000000000,50.4800000000,54.9000000000,26.0899999999,24.5000000001,26.0000000001,54.8000000001,12.7200000000,
FS(1),1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,10000000.0000000000,
FS(2),1305218.2400000000,1244503.5200000000,1258665.6000000001,1234445.0300000000,1252936.8000000000,1231991.8999999999,1232282.6000000001,1222603.7200000000,9982647.4100000020,
FS(3),1307583.6799999999,1233760.4000000001,1240251.2000000002,1229455.7000000000,1227974.0000000000,1227401.5999999999,1239578.0000000000,1224908.0800000001,9930912.6600000001,
FS(4),1358884.1600000001,1263616.2800000000,1252708.0000000002,1243249.7299999997,1250000.0000000000,1230226.4000000001,1258163.9000000001,1233869.4800000000,10090717.9500000011,
FS(5),1368715.5200000000,1280230.6400000001,1242756.1000000001,1236792.9500000000,1272760.2000000000,1233404.3000000000,1250347.4000000001,1222091.6399999999,10107098.7500000019,
FS(6),1375294.4000000001,1271611.1600000001,1252775.7000000002,1227107.7800000000,1256607.7999999998,1235169.7999999998,1240967.6000000001,1203912.8000000000,10063447.0400000010,
FS(7),1384977.9200000002,1248875.7200000000,1261712.1000000003,1226227.3099999998,1247246.7500000000,1241878.7000000000,1257121.7000000002,1187526.2400000000,10055566.4400000013,
FS(8),1404788.4800000000,1270237.0400000000,1267128.1000000001,1237966.9099999999,1246696.1000000001,1237288.3999999999,1270670.3000000000,1208521.5200000000,10143296.8500000034,
FS(9),1394070.0800000001,1275108.9199999999,1288453.6000000001,1236792.9500000000,1256057.1500000001,1253531.0000000000,1274491.7000000002,1244879.2000000000,10223384.6000000015,
FS(10),1390817.6000000001,1279730.9600000000,1293666.5000000002,1233858.0499999998,1263582.7000000000,1266242.6000000001,1272928.4000000001,1241550.6799999999,10242377.4900000021,
FS(11),1378177.2800000000,1285727.1200000001,1272679.5000000000,1224466.3699999999,1275697.0000000000,1260239.8999999999,1267196.3000000000,1223627.8799999999,10187811.3500000015,
FS(12),1391039.3600000001,1312210.1600000001,1261847.5000000000,1219477.0399999998,1309470.2000000000,1259886.8000000000,1277270.9000000001,1225420.1599999999,10256622.1200000010,
FS(13),1382242.8800000001,1303465.7600000000,1254739.0000000002,1241488.7899999998,1302128.2000000000,1260946.1000000001,1284740.0000000000,1225164.1200000001,10254914.8500000015,
FS(14),1377216.3200000001,1298344.0400000000,1268888.3000000000,1241488.7899999998,1309103.0999999999,1258474.3999999999,1275881.3000000000,1222347.6799999999,10251743.9300000016,
FS(15),1386973.7600000000,1299968.0000000000,1284933.2000000002,1244717.1799999997,1310204.3999999999,1264124.0000000000,1286477.0000000000,1240014.4399999999,10317411.9800000023,
