代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11327056.2500000019
真實報酬,1327056.2500000019
趨勢值,0.2924952622

選擇檔數,5
找到最佳解世代,2302
找到最佳解實驗,1
Stock#,DIS,MSFT,PG,VZ,WMT,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,20128,19843,27229,41832,24099,
剩餘資金,81.9200000000,24.0299999999,29.9499999999,12.0799999999,23.9900000001,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,10000000.0000000019,
FS(2),2017712.6399999999,2017461.8399999999,2019877.1700000002,2000418.3199999998,2058560.5700000003,10114030.5400000010,
FS(3),2011674.2400000000,2027780.1999999997,2014159.0799999998,2006693.1199999999,2039281.3700000003,10099588.0100000016,
FS(4),2051326.3999999999,2033733.0999999996,2024506.0999999999,2025099.1999999997,2037835.4300000002,10172500.2300000004,
FS(5),2062598.0799999998,2001785.8699999996,2062898.9900000000,2050198.3999999997,2047234.0400000003,10224715.3800000008,
FS(6),2092991.3600000001,2016668.1199999996,2101564.1699999999,2057309.8399999999,2033015.6300000001,10301549.1200000010,
FS(7),2100438.7199999997,2005159.1799999997,2111094.3199999998,2062329.6799999997,2031569.6900000002,10310591.5899999999,
FS(8),2100036.1599999997,2010318.3599999999,2103197.9099999997,2041832.0000000000,2026749.8900000001,10282134.3200000003,
FS(9),2139889.6000000001,2001190.5799999996,2082231.5799999998,1982848.8799999999,2026508.9000000004,10232669.5400000010,
FS(10),2189001.9199999999,2012501.0899999999,2069161.6599999999,2000418.3199999998,2019279.2000000004,10290362.1900000013,
FS(11),2191014.7199999997,1986903.6199999996,2107009.9699999997,2010458.0000000000,2017110.2900000003,10312496.5999999996,
FS(12),2154985.6000000001,2001389.0099999998,2065077.3100000001,1985358.7999999998,2000240.9900000002,10207051.7100000009,
FS(13),2135662.7199999997,2001389.0099999998,2078419.5200000000,2028864.0799999998,2014941.3800000001,10259276.7100000009,
FS(14),2156797.1200000001,2021430.4399999999,2065349.5999999999,2011712.9600000000,2014941.3800000001,10270231.5000000000,
FS(15),2131435.8399999999,2006945.0499999998,2081414.7100000000,2034302.2400000000,2029400.7800000000,10283498.6200000010,
FS(16),2140493.4399999999,1992459.6599999997,2108371.4199999999,2081572.3999999997,2044101.1700000002,10366998.0900000017,
FS(17),2102451.5200000000,1952376.7999999998,2118173.8599999999,2074879.2799999998,2083864.5200000003,10331745.9800000004,
FS(18),2098627.2000000002,1966068.4699999997,2123891.9499999997,2062329.6799999997,2072056.0100000002,10322973.3100000005,
FS(19),2092588.7999999998,1935510.2500000000,2115450.9599999995,2062748.0000000000,2093986.1000000003,10300284.1100000013,
FS(20),2108892.4800000000,1957139.1199999996,2125253.3999999994,2127587.6000000001,2069164.1300000001,10388036.7300000004,
FS(21),2109697.6000000001,1956742.2599999998,2125525.6899999999,2104580.0000000000,2064103.3400000003,10360648.8900000006,
FS(22),2120164.1599999997,1984522.4600000000,2127431.7199999997,2109181.5200000000,2024339.9900000002,10365639.8499999996,
FS(23),2094199.0400000000,1965473.1799999997,2121169.0499999998,2120894.4800000000,2034943.5500000003,10336679.3000000007,
FS(24),2120365.4399999999,1979561.7100000000,2156839.0399999996,2145157.0400000000,2038076.4200000002,10439999.6500000004,
FS(25),2109093.7599999998,2007341.9099999997,2159561.9399999999,2153523.4399999999,2036630.4800000004,10466151.5300000012,
FS(26),2134052.4800000000,2021033.5799999996,2120079.8899999997,2122567.7600000002,2070851.0600000003,10468584.7700000014,
FS(27),2134253.7599999998,2026391.1899999999,2173448.7299999995,2147666.9600000004,2101697.7800000003,10583458.4199999999,
FS(28),2174711.0400000000,2023613.1699999999,2155477.5899999999,2147666.9600000004,2085310.4600000002,10586779.2200000007,
FS(29),2178937.9199999999,2067466.1999999997,2148125.7599999998,2143483.7600000002,2085069.4700000002,10623083.1100000013,
FS(30),2214161.9199999999,2092071.5200000000,2159561.9399999999,2150595.1999999997,2113506.2900000005,10729896.8700000010,
FS(31),2218187.5200000000,2081753.1599999997,2165552.3199999998,2158124.9600000004,2112060.3500000001,10735678.3100000005,
FS(32),2220200.3199999998,2102389.8799999999,2179166.8199999998,2151431.8399999999,2125314.8000000003,10778503.6600000020,
FS(33),2228050.2399999998,2085920.1899999999,2170725.8299999996,2139300.5600000001,2122422.9199999999,10746419.7400000002,
FS(34),2257034.5600000001,2071633.2300000000,2143769.1199999996,2122986.0800000001,2113988.2700000000,10709411.2599999998,
FS(35),2243951.3599999999,2108739.6399999997,2142407.6699999999,2117547.9199999999,2122181.9300000002,10734828.5199999996,
FS(36),2236101.4399999999,2142472.7399999998,2137778.7399999998,2122986.0800000001,2111819.3600000003,10751158.3599999994,
FS(37),2228251.5200000000,2136321.4099999997,2150848.6599999997,2154778.3999999999,2119772.0300000003,10789972.0199999996,
FS(38),2237912.9600000000,2199223.7199999997,2163918.5799999996,2129679.1999999997,2118326.0900000003,10849060.5500000007,
FS(39),2284811.2000000002,2175213.6899999999,2180800.5599999996,2140973.8399999999,2126278.7600000002,10908078.0500000007,
FS(40),2266897.2799999998,2136718.2700000000,2194142.7699999996,2175694.3999999999,2123868.8600000003,10897321.5800000001,
FS(41),2267098.5600000001,2090880.9399999999,2183795.7500000000,2195773.7600000002,2141943.1100000003,10879492.1199999992,
FS(42),2285817.6000000001,2104969.4699999997,2202311.4699999997,2160216.5600000001,2150377.7600000002,10903692.8599999994,
FS(43),2273942.0800000001,2108938.0699999998,2196048.7999999998,2163981.4399999999,2126519.7500000000,10869430.1400000006,
FS(44),2269513.9199999999,2134535.5399999996,2232807.9499999997,2174439.4399999999,2139051.2300000004,10950348.0800000001,
FS(45),2296485.4399999999,2143861.7500000000,2241793.5199999996,2186570.7200000002,2159294.3900000001,11028005.8200000022,
FS(46),2333722.2399999998,2145647.6199999996,2246967.0299999998,2195355.4399999999,2160981.3200000003,11082673.6500000004,
FS(47),2346201.6000000001,2160529.8699999996,2250234.5099999998,2194518.8000000003,2163391.2200000002,11114876.0000000019,
FS(48),2294271.3599999999,2172634.0999999996,2242338.0999999996,2204558.4800000000,2170138.9399999999,11083940.9799999986,
FS(49),2297894.3999999999,2176205.8399999999,2216470.5499999998,2217526.3999999999,2145075.9800000004,11053173.1700000018,
FS(50),2268104.9600000000,2162911.0299999998,2217287.4199999999,2194937.1200000001,2173271.8100000005,11016512.3399999999,
FS(51),2256833.2799999998,2147235.0599999996,2219738.0299999998,2184479.1200000001,2160258.3500000001,10968543.8399999999,
FS(52),2269513.9199999999,2174023.1099999999,2214019.9399999999,2211669.9199999999,2189418.1400000001,11058645.0300000012,
FS(53),2271526.7199999997,2136321.4099999997,2240976.6499999994,2227147.7600000002,2174235.7700000000,11050208.3100000005,
FS(54),2264079.3599999999,2135924.5499999998,2278824.9599999995,2270234.7200000002,2377149.3500000001,11326212.9399999995,
FS(55),2264079.3599999999,2134733.9699999997,2278824.9599999995,2291987.3599999999,2358111.1400000001,11327736.7900000010,
FS(56),2254216.6399999997,2120645.4399999999,2277463.5099999998,2286130.8799999999,2313527.9900000002,11251984.4600000009,
FS(57),2262267.8399999999,2102985.1699999999,2284543.0499999998,2297007.1999999997,2315455.9100000001,11262259.1699999999,
FS(58),2253210.2399999998,2124415.6099999999,2270656.2599999998,2264796.5600000001,2305575.3200000003,11218653.9900000002,
FS(59),2254417.9199999999,2134337.1099999999,2266571.9099999997,2270653.0400000000,2293766.8100000005,11219746.7900000010,
FS(60),2253008.9600000000,2151005.2300000000,2269839.3899999997,2291569.0400000000,2288224.0400000005,11253646.6600000020,
FS(61),2261060.1599999997,2174816.8299999996,2272017.7099999995,2294497.2800000003,2278343.4500000002,11280735.4300000016,
FS(62),2266092.1599999997,2187913.2100000000,2273106.8699999996,2286130.8799999999,2315214.9199999999,11328458.0400000010,
FS(63),2263475.5200000000,2222836.8899999997,2273379.1599999997,2282784.3200000003,2304852.3500000001,11347328.2400000002,
FS(64),2252807.6800000002,2221447.8799999999,2271200.8399999999,2290314.0800000001,2315937.8900000001,11351708.3700000010,
FS(65),2254820.4800000000,2228988.2199999997,2258675.5000000000,2274417.9199999999,2310154.1300000004,11327056.2500000019,
