代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11465552.5399999972
真實報酬,1465552.5399999972
趨勢值,0.4440837666

選擇檔數,8
找到最佳解世代,1805
找到最佳解實驗,1
Stock#,AAPL,CSCO,HD,MRK,MSFT,PFE,WBA,XOM,
分配資金,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,
張數,6678,29198,6442,20674,12498,34406,20448,15288,
剩餘資金,11.9600000000,33.6199999999,123.1599999999,49.9600000000,75.0199999999,30.0200000001,13.7599999999,53.1199999999,
FS(1),1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,10000000.0000000000,
FS(2),1228229.7200000000,1245912.2800000000,1247423.2000000000,1255168.5000000000,1238001.9199999999,1250688.1200000001,1242434.2400000000,1257338.2399999998,9965196.2199999988,
FS(3),1238113.1599999999,1242700.5000000000,1252512.3799999999,1274395.3200000001,1246875.5000000000,1268579.2400000000,1275560.0000000000,1258408.3999999999,10057144.4999999981,
FS(4),1255275.6199999999,1247080.2000000000,1252963.3199999998,1285972.7600000000,1264372.7000000000,1276836.6799999999,1294372.1599999999,1258714.1599999999,10135587.5999999978,
FS(5),1272705.2000000000,1245912.2800000000,1263270.5200000000,1282251.4399999999,1272996.3199999998,1278556.9800000000,1303164.8000000000,1267428.3200000001,10186285.8599999975,
FS(6),1271169.2600000000,1251459.8999999999,1273126.7800000000,1288040.1599999999,1276370.7800000000,1287846.6000000001,1292327.3600000001,1279047.1999999997,10219388.0399999991,
FS(7),1254674.5999999999,1242992.4800000000,1268875.0599999998,1279770.5599999998,1274621.0600000001,1280277.2800000000,1301733.4399999999,1262689.0400000000,10165633.5199999996,
FS(8),1275710.3000000000,1272482.4599999997,1275317.0599999998,1295482.7999999998,1302241.6399999999,1290943.1400000001,1306232.0000000000,1264217.8399999999,10282627.2400000002,
FS(9),1277713.7000000000,1219926.0599999998,1280084.1399999999,1300237.8200000001,1317739.1600000001,1291287.2000000000,1332609.9200000002,1273696.3999999999,10293294.3999999985,
FS(10),1274908.9399999999,1240948.6199999999,1281308.1199999999,1294035.6200000001,1311240.2000000000,1286126.3000000000,1332405.4399999999,1261160.2399999998,10282133.4799999986,
FS(11),1278515.0599999998,1236276.9399999999,1295609.3599999999,1292795.1799999999,1324238.1200000001,1295415.9199999999,1342016.0000000000,1258408.3999999999,10323274.9799999986,
FS(12),1271503.1599999999,1232481.2000000000,1294771.8999999999,1301271.5200000000,1313864.7800000000,1295759.9800000000,1352853.4399999999,1257032.4799999997,10319538.4599999990,
FS(13),1281386.5999999999,1238028.8199999998,1305465.6199999999,1292381.7000000000,1304866.2200000002,1285438.1799999999,1327702.4000000001,1253822.0000000000,10289091.5400000010,
FS(14),1278448.2800000000,1226641.5999999999,1304306.0599999998,1292588.4399999999,1328237.4800000000,1284406.0000000000,1328724.8000000000,1244496.3200000001,10287848.9799999986,
FS(15),1278448.2800000000,1228101.5000000000,1302888.8199999998,1296103.0200000000,1349484.0800000001,1280277.2800000000,1336086.0800000001,1244496.3200000001,10315885.3799999971,
FS(16),1288865.9600000000,1237736.8399999999,1301342.7400000000,1311195.0400000000,1345609.7000000000,1297136.2200000002,1339562.2400000002,1269110.0000000000,10390558.7400000002,
FS(17),1301019.9199999999,1260219.2999999998,1294965.1599999999,1333316.2200000000,1385228.3600000001,1307113.9600000002,1363895.3600000001,1277977.0400000000,10523735.3199999984,
FS(18),1296946.3400000001,1271022.5599999998,1284657.9600000000,1323392.7000000000,1370105.7800000000,1312962.9800000000,1381071.6800000002,1287914.2399999998,10528074.2399999984,
FS(19),1275376.3999999999,1242992.4800000000,1270099.0399999998,1312642.2200000000,1345859.6600000001,1321564.4800000000,1403564.4800000000,1252446.0799999998,10424544.8399999999,
FS(20),1268230.9399999999,1231313.2800000000,1271000.9199999999,1339931.8999999999,1316989.2800000000,1327757.5600000001,1414197.4399999999,1249694.2399999998,10419115.5599999987,
FS(21),1270768.5799999998,1234817.0399999998,1272547.0000000000,1361846.3400000001,1325862.8600000001,1373861.6000000001,1382707.5200000000,1246178.0000000000,10468588.9399999995,
FS(22),1345628.9600000000,1222261.8999999999,1264687.7600000000,1353990.2200000000,1328362.4600000000,1385559.6400000001,1358578.8799999999,1229055.4399999999,10488125.2599999998,
FS(23),1384962.3799999999,1241824.5599999998,1260564.8799999999,1348408.2400000000,1344484.8799999999,1364227.9199999999,1369620.8000000000,1221717.1999999997,10535810.8600000013,
FS(24),1388969.1799999999,1250583.9599999997,1260436.0399999998,1363086.7800000000,1350358.9400000002,1394849.2600000000,1374528.3200000001,1226150.7200000000,10608963.1999999993,
FS(25),1396181.4199999999,1264307.0199999998,1260758.1399999999,1369082.2400000000,1351483.7600000000,1412052.2600000000,1378617.9200000002,1225844.9600000000,10658327.7199999988,
FS(26),1383092.5400000000,1272482.4599999997,1269519.2600000000,1376524.8799999999,1360857.2600000000,1405171.0600000001,1371052.1599999999,1242508.8799999999,10681208.5000000000,
FS(27),1384027.4600000000,1280073.9399999999,1275768.0000000000,1378799.0200000000,1368481.0400000000,1424782.4800000000,1359601.2799999998,1234253.3599999999,10705786.5799999982,
FS(28),1394912.5999999999,1278322.0599999998,1276154.5200000000,1364533.9600000000,1370730.6799999999,1410676.0200000000,1353057.9200000002,1227985.2799999998,10676373.0399999991,
FS(29),1385897.3000000000,1278322.0599999998,1264687.7600000000,1365981.1399999999,1362357.0200000000,1408267.6000000001,1359601.2799999998,1214226.0799999998,10639340.2400000002,
FS(30),1394845.8200000001,1277446.1199999999,1250773.0399999998,1379419.2400000000,1352483.5999999999,1404138.8800000001,1359396.8000000000,1201078.3999999999,10619581.9000000004,
FS(31),1400722.4600000000,1284745.6199999999,1244073.3599999999,1374043.9999999998,1369355.9000000001,1400698.2800000000,1403973.4399999999,1197256.3999999999,10674869.4599999990,
