代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11324120.7200000007
真實報酬,1324120.7200000007
趨勢值,0.1712628733

選擇檔數,3
找到最佳解世代,1906
找到最佳解實驗,1
Stock#,MCD,PFE,WBA,
分配資金,3333333,3333333,3333333,
張數,21242,82774,50170,
剩餘資金,38.3600000003,24.0199999997,38.2000000001,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3301257.5800000001,3282013.1199999996,3360424.8000000003,9943696.5000000000,
FS(3),3318251.1800000006,3355681.9799999995,3372465.6000000001,10046399.7599999998,
FS(4),3329084.6000000001,3397068.9799999995,3382499.6000000001,10108654.1799999997,
FS(5),3314640.0400000000,3380514.1799999997,3363936.7000000002,10059091.9199999999,
FS(6),3375817.0000000000,3427695.3599999994,3335841.5000000000,10139354.8599999994,
FS(7),3383888.9600000004,3393758.0199999996,3319787.1000000001,10097435.0800000001,
FS(8),3370718.9200000004,3387963.8399999994,3335841.5000000000,10094525.2599999998,
FS(9),3359248.2400000002,3378030.9600000000,3335339.8000000003,10072620.0000000000,
FS(10),3411503.5600000001,3369753.5599999996,3444710.3999999999,10225968.5199999996,
FS(11),3396209.3200000003,3407001.8599999994,3448222.3000000003,10251434.4800000004,
FS(12),3435507.0200000000,3428523.0999999996,3492873.6000000006,10356904.7200000007,
FS(13),3423186.6600000006,3483981.6799999997,3511436.5000000000,10418605.8399999999,
FS(14),3434444.9200000004,3503847.4399999995,3511436.5000000000,10449729.8599999994,
FS(15),3420850.0400000000,3489775.8599999994,3524480.7000000002,10435107.5999999996,
FS(16),3410441.4600000004,3482326.1999999997,3493877.0000000000,10386645.6600000001,
FS(17),3378578.4600000004,3493086.8199999998,3475815.8000000003,10347482.0800000001,
FS(18),3385588.3200000003,3509641.6199999996,3472303.8999999999,10367534.8399999999,
FS(19),3408954.5200000000,3441766.9399999995,3483843.0000000000,10334565.4599999990,
FS(20),3433595.2400000002,3435145.0199999996,3475815.8000000003,10344557.0600000005,
FS(21),3464820.9800000004,3435145.0199999996,3444710.3999999999,10344677.4000000004,
FS(22),3458235.9600000004,3435145.0199999996,3401564.2000000002,10294946.1799999997,
FS(23),3446128.0200000000,3436800.5000000000,3439693.4000000004,10322622.9199999999,
FS(24),3435294.6000000001,3424384.3999999994,3392533.6000000006,10252213.5999999996,
FS(25),3467582.4400000004,3464115.9199999995,3423639.0000000000,10355338.3599999994,
FS(26),3478203.4400000004,3458321.7399999998,3413103.3000000003,10349629.4800000004,
FS(27),3481602.1600000006,3493086.8199999998,3421130.5000000000,10395820.4800000004,
FS(28),3506455.3000000003,3481498.4600000000,3451734.2000000002,10439688.9599999990,
FS(29),3496896.4000000004,3502191.9600000000,3448724.0000000000,10447813.3599999994,
FS(30),3499445.4400000004,3510469.3599999994,3531002.7999999998,10540918.5999999996,
FS(31),3449739.1600000006,3546889.9199999995,3536019.8000000003,10532649.8800000008,
FS(32),3416601.6400000006,3555995.0599999996,3525985.8000000003,10498583.5000000000,
FS(33),3359248.2400000002,3560133.7599999993,3534514.7000000002,10453897.7000000011,
FS(34),3351388.7000000007,3601520.7599999993,3556087.7999999998,10508998.2599999998,
FS(35),3381339.9200000004,3580827.2599999993,3576155.8000000003,10538323.9800000004,
FS(36),3415539.5400000000,3621386.5199999996,3656929.5000000000,10693856.5600000005,
FS(37),3511340.9600000004,3647046.4600000000,3662448.2000000002,10820836.6199999992,
FS(38),3469069.3800000004,3636285.8399999994,3622312.2000000002,10727668.4199999999,
FS(39),3534919.5800000001,3624697.4799999995,3622813.8999999999,10782431.9599999990,
FS(40),3521112.2800000003,3615592.3399999994,3660441.3999999999,10797147.0199999996,
FS(41),3537468.6200000006,3633802.6199999996,3703085.9000000004,10874358.1400000006,
FS(42),3553612.5400000000,3647874.1999999997,3657431.2000000007,10858918.9399999995,
FS(43),3540442.5000000000,3664429.0000000000,3635356.3999999999,10840228.9000000004,
FS(44),3508791.9200000004,3660290.2999999993,3687031.5000000000,10856114.7199999988,
FS(45),3497746.0800000001,3709126.9600000000,3702584.2000000002,10909458.2400000002,
FS(46),3521961.9600000004,3700021.8199999998,3679506.0000000005,10901490.7800000012,
FS(47),3538318.3000000003,3717404.3599999994,3637864.9000000004,10893588.5600000005,
FS(48),3563808.7000000007,3748030.7399999998,3720143.7000000007,11031984.1400000006,
FS(49),3607567.2200000007,3763757.7999999993,3690543.4000000004,11061869.4199999999,
FS(50),3576553.9000000004,3684294.7599999993,3627830.9000000004,10888680.5600000005,
FS(51),3461847.1000000001,3543578.9600000000,3557091.2000000007,10562518.2599999998,
FS(52),3479902.8000000003,3623869.7399999998,3687533.2000000002,10791306.7400000002,
FS(53),3476716.5000000000,3569238.8999999994,3748740.6000000001,10794697.0000000000,
FS(54),3485213.3000000003,3636285.8399999994,3827005.8000000003,10948505.9399999995,
FS(55),3542566.7000000007,3689261.1999999997,3862124.8000000003,11093953.7000000011,
FS(56),3543416.3800000004,3642080.0199999996,3842056.8000000003,11027554.1999999993,
FS(57),3557860.9400000004,3683467.0199999996,3880687.6999999997,11122016.6600000001,
FS(58),3539592.8200000003,3672706.3999999994,3895738.7000000007,11108038.9199999999,
FS(59),3763058.6600000006,3650357.4199999995,3876172.4000000004,11289589.4800000004,
FS(60),3767307.0600000001,3516263.5399999991,3722652.2000000002,11006223.8000000007,
FS(61),3723973.3800000004,3593243.3599999994,3799914.0000000000,11117131.7399999984,
FS(62),3682126.6400000006,3526196.4199999995,3824497.3000000003,11032821.3600000013,
FS(63),3679790.0200000000,3578344.0399999991,3854097.5999999996,11112232.6600000001,
FS(64),3791522.9400000004,3550200.8799999994,3953434.2000000002,11295159.0199999996,
FS(65),3757748.1600000006,3564272.4600000000,4002099.1000000001,11324120.7200000007,
