代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11313201.0399999972
真實報酬,1313201.0399999972
趨勢值,0.3594277645

選擇檔數,9
找到最佳解世代,2105
找到最佳解實驗,1
Stock#,AXP,CSCO,JNJ,KO,MSFT,PG,TRV,VZ,XOM,
分配資金,1111111,1111111,1111111,1111111,1111111,1111111,1111111,1111111,1111111,
張數,11612,25869,8697,23675,10988,12172,9466,19834,15943,
剩餘資金,74.8399999999,37.4499999999,69.2500000000,43.2500000000,4.4400000000,50.8400000000,86.5800000000,10.3199999999,43.3300000000,
FS(1),1111111.0000000000,1111111.0000000000,1111111.0000000000,1111111.0000000000,1111111.0000000000,1111111.0000000000,1111111.0000000000,1111111.0000000000,1111111.0000000000,9999999.9999999981,
FS(2),1084984.0000000000,1062477.2800000000,1093456.0900000001,1104245.2500000000,1070235.6399999999,1103320.9200000002,1091137.7400000000,1115077.7999999998,1094051.9900000002,9818987.7099999990,
FS(3),1133870.5199999998,1110334.9299999999,1111806.7600000000,1126263.0000000000,1120011.2800000000,1125839.1200000001,1123511.4600000000,1117854.5599999998,1134387.7800000003,10103880.4099999983,
FS(4),1140024.8799999999,1117836.9399999999,1104675.2200000000,1111584.5000000000,1121439.7200000000,1121335.4800000002,1119914.3799999999,1124994.7999999998,1140286.6899999999,10102093.6099999994,
FS(5),1145598.6399999999,1126891.0900000001,1130331.3700000001,1124132.2500000000,1129570.8399999999,1125473.9600000000,1115560.0199999998,1157919.2400000000,1148577.0500000003,10204055.4600000009,
FS(6),1147688.7999999998,1120682.5300000000,1121373.4600000000,1102588.0000000000,1145723.2000000000,1107094.2400000002,1123511.4600000000,1131540.0199999998,1154635.3900000001,10154838.0999999996,
FS(7),1141069.9600000000,1118613.0100000000,1128157.1200000001,1114425.5000000000,1138361.2400000000,1109772.0800000001,1138562.3999999999,1142448.7200000000,1148736.4800000000,10180147.5099999998,
FS(8),1144437.4399999997,1125080.2600000000,1128505.0000000000,1120817.7500000000,1129570.8399999999,1117075.2800000000,1140455.5999999999,1150779.0000000000,1143475.2900000000,10200197.4600000009,
FS(9),1143160.1199999999,1117836.9399999999,1115720.4099999999,1116319.5000000000,1121329.8399999999,1109528.6400000001,1141496.8599999999,1150977.3399999999,1142040.4199999999,10158411.0699999984,
FS(10),1137934.7199999997,1138790.8300000001,1125113.1700000002,1126263.0000000000,1153854.3200000001,1119996.5600000001,1153234.6999999997,1152365.7200000000,1142678.1400000001,10250232.1599999983,
FS(11),1154423.7599999998,1137238.6899999999,1113633.1299999999,1110874.2500000000,1157919.8799999999,1112206.4800000002,1157778.3799999999,1132135.0399999998,1142199.8500000001,10218410.4599999990,
FS(12),1155352.7199999997,1143705.9399999999,1122764.9800000000,1114188.7500000000,1166051.0000000000,1103320.9200000002,1163836.6199999999,1127176.5399999998,1150011.9199999999,10246410.3899999987,
FS(13),1166848.5999999999,1164918.5200000000,1136680.1799999999,1127210.0000000000,1183521.9199999999,1112815.0800000001,1173965.2400000000,1132333.3799999999,1163722.8999999999,10362016.8199999984,
FS(14),1159300.7999999998,1158451.2700000000,1120242.8500000001,1129814.2500000000,1161216.2800000000,1100886.5200000000,1158346.3399999999,1130349.9800000000,1146185.6000000001,10264794.8899999969,
FS(15),1157907.3599999999,1176042.1899999999,1120242.8500000001,1142835.5000000000,1172533.9199999999,1154443.3200000001,1164593.8999999999,1145622.1599999997,1136779.2300000000,10371001.4299999997,
FS(16),1158023.4799999997,1179922.5400000000,1104849.1599999999,1129104.0000000000,1166930.0400000000,1147870.4399999999,1177467.6599999997,1131936.7000000000,1138373.5300000003,10334478.5499999970,
FS(17),1170216.0799999998,1193374.4199999999,1115285.5599999998,1121528.0000000000,1177588.3999999999,1139350.0400000000,1183147.2599999998,1118647.9199999997,1143475.2900000000,10362613.9699999988,
FS(18),1165687.3999999999,1183544.2000000000,1121895.2800000000,1116793.0000000000,1154623.4800000000,1138376.2800000000,1183620.5599999998,1092268.7000000000,1135822.6499999999,10292632.5500000007,
FS(19),1172422.3599999999,1188976.6899999999,1133549.2600000000,1122238.2500000000,1131109.1599999999,1138619.7200000002,1181632.6999999997,1056765.8399999999,1140127.2600000002,10265442.2399999984,
FS(20),1192278.8799999999,1208378.4399999999,1144942.3299999998,1133128.7500000000,1168907.8799999999,1150548.2800000000,1191666.6599999997,1071046.3199999998,1152562.8000000003,10413461.3399999999,
FS(21),1192627.2400000000,1223382.4600000000,1157466.0100000000,1139521.0000000000,1147481.2800000000,1174283.6800000002,1188448.2200000000,1092070.3599999999,1168346.3700000001,10483627.6199999992,
FS(22),1196807.5599999998,1224675.9100000001,1167206.6499999999,1153015.7500000000,1129351.0799999998,1186455.6800000002,1197440.9199999997,1081955.0199999998,1210435.8900000001,10547345.4599999990,
FS(23),1200987.8799999999,1224934.6000000001,1155726.6099999999,1166037.0000000000,1161875.5599999998,1193272.0000000000,1193181.2200000000,1071839.6799999997,1192898.5899999999,10560754.1399999987,
FS(24),1206561.6399999999,1222606.3899999999,1155726.6099999999,1166273.7500000000,1178137.8000000000,1186090.5200000000,1194506.4600000000,1073823.0799999998,1205174.7000000002,10588901.9499999974,
FS(25),1218870.3599999999,1228297.5699999998,1156770.2500000000,1166273.7500000000,1165062.0799999998,1191933.0800000001,1188542.8799999999,1066881.1799999997,1199913.5100000002,10582545.6599999983,
FS(26),1212251.5199999998,1208119.7500000000,1148508.1000000001,1170061.7500000000,1156711.2000000000,1182438.9200000002,1199996.7400000000,1062517.7000000000,1190666.5700000003,10531273.2500000000,
FS(27),1213761.0799999998,1220795.5599999998,1151552.0500000000,1171955.7500000000,1161106.3999999999,1189376.9600000000,1190814.7200000000,1070054.6199999999,1179506.4700000002,10548924.6099999994,
FS(28),1224095.7599999998,1230884.4700000000,1148073.2500000000,1174560.0000000000,1156491.4399999999,1196193.2800000000,1187312.2999999998,1072038.0199999998,1181419.6299999999,10571069.1499999985,
FS(29),1242558.8399999999,1238903.8599999999,1166858.7700000000,1175743.7500000000,1174511.7600000000,1208243.5600000001,1204729.7400000000,1079376.5999999999,1202145.5300000003,10693073.4099999964,
FS(30),1249061.5599999998,1228814.9500000000,1169380.8999999999,1178821.5000000000,1173632.7200000000,1208000.1200000001,1212113.2199999997,1080566.6399999997,1215697.0800000001,10716089.6899999995,
FS(31),1238146.2799999998,1252097.0499999998,1168163.3200000001,1079386.5000000000,1174621.6399999999,1198505.9600000000,1201605.9600000000,1071641.3399999999,1216015.9399999999,10600184.9899999984,
FS(32),1246971.3999999999,1278742.1199999999,1186166.1099999999,1071100.2500000000,1189125.8000000000,1198749.4000000001,1218739.4199999999,1094053.7599999998,1238973.8599999999,10722623.1199999973,
FS(33),1236752.8399999999,1284433.2999999998,1180165.1799999999,1061393.5000000000,1188576.3999999999,1217129.1200000001,1222147.1799999997,1099607.2799999998,1247264.2200000002,10737470.0199999996,
FS(34),1240004.2000000000,1283915.9199999999,1185905.2000000000,1067785.7500000000,1177368.6399999999,1208487.0000000000,1228205.4199999999,1105954.1599999997,1252047.1200000001,10749674.4099999983,
FS(35),1238030.1599999999,1278224.7399999998,1177816.9900000000,1085778.7500000000,1202201.5200000000,1214573.0000000000,1228962.6999999997,1113689.4199999997,1240727.5899999999,10780005.8699999973,
FS(36),1247668.1199999999,1296333.0400000000,1188079.4500000000,1072047.2500000000,1219342.8000000000,1220293.8400000001,1240321.8999999999,1128961.5999999999,1250293.3900000001,10863342.3899999987,
FS(37),1241746.0000000000,1313923.9600000000,1184600.6499999999,1063997.7500000000,1226155.3599999999,1212016.8799999999,1254236.9199999999,1126184.8399999999,1251568.8300000001,10874432.1899999976,
FS(38),1241862.1199999999,1324012.8699999999,1183817.9200000002,1058079.0000000000,1234616.1199999999,1215181.6000000001,1261620.3999999999,1123408.0799999998,1254119.7100000000,10896718.8199999984,
FS(39),1247435.8799999999,1334619.1600000001,1181730.6400000001,1063997.7500000000,1232528.3999999999,1203983.3600000001,1255467.5000000000,1124994.7999999998,1267033.5400000000,10911792.0299999993,
