代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11055670.5999999996
真實報酬,1055670.5999999996
趨勢值,0.1969009426

選擇檔數,5
找到最佳解世代,2171
找到最佳解實驗,1
Stock#,DIS,KO,MCD,PFE,TRV,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,17776,42808,10616,46685,14490,
剩餘資金,22.2399999999,10.2400000000,51.7600000001,14.5999999998,90.1999999999,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,10000000.0000000000,
FS(2),1990223.2000000000,1993578.8000000000,1999575.3600000001,2003267.9499999997,1982467.1000000001,9969112.4099999983,
FS(3),2000177.7600000000,1976883.6799999999,1999575.3600000001,2000000.0000000000,1979424.2000000000,9956060.9999999981,
FS(4),2039818.2400000000,1989726.0799999998,2015711.6800000004,1995331.5000000000,1978265.0000000000,10018852.5000000000,
FS(5),2044262.2400000000,1989298.0000000000,2024629.1200000003,2007002.7500000000,1976526.2000000000,10041718.3100000005,
FS(6),2043551.2000000000,1992722.6399999999,2015499.3600000001,2014005.5000000000,1968991.3999999999,10034770.0999999996,
FS(7),2077325.6000000001,1997859.6000000001,2017941.0400000003,2000000.0000000000,1958993.2999999998,10052119.5399999991,
FS(8),2082658.3999999999,1996575.3600000001,2008811.2800000003,1994864.6499999997,1962905.6000000001,10045815.2899999991,
FS(9),2072703.8399999999,1999571.9199999999,2005201.8400000001,1973389.5500000000,1974787.3999999999,10025654.5499999989,
FS(10),2311968.7999999998,2000856.1600000001,2034077.3600000001,1947245.9500000000,1995653.0000000000,10289801.2699999996,
FS(11),2347165.2799999998,2011986.2400000000,2036731.3600000001,1964986.2500000000,1982177.2999999998,10343046.4299999997,
FS(12),2309124.6399999997,2009845.8400000001,2035138.9600000002,1910364.8000000000,2004636.8000000000,10269111.0399999991,
FS(13),2342010.2399999998,2023972.4800000000,2034183.5200000005,1861812.3999999999,1968846.5000000000,10230825.1399999987,
FS(14),2354453.4399999995,2032534.0799999998,2069216.3200000003,1838469.8999999999,2013185.9000000001,10307859.6399999987,
FS(15),2340765.9199999999,2029109.4399999999,2058706.4800000002,1819795.8999999997,1979569.1000000001,10227946.8399999980,
FS(16),2370629.6000000001,2063783.9199999999,2072931.9200000002,1840337.3000000000,1999855.0999999999,10347537.8399999999,
FS(17),2401559.8399999999,2053938.0799999998,2098091.8400000003,1838003.0499999998,2016808.4000000001,10408401.2099999990,
FS(18),2439600.4800000000,2047944.9600000002,2101276.6400000001,1849207.4499999997,2016953.2999999998,10454982.8299999982,
FS(19),2487240.1599999997,2065924.3199999998,2095862.4800000002,1866014.0499999998,2032167.8000000000,10547208.8099999987,
FS(20),2476219.0400000000,2072773.6000000001,2092677.6800000004,1848273.7500000000,2049845.6000000001,10539789.6699999999,
FS(21),2434800.9600000000,2100170.7200000002,2097454.8800000004,1895892.4499999997,2083027.7000000000,10611346.7099999990,
FS(22),2424313.1199999996,2080050.9600000002,2061360.4800000002,1903362.0500000000,2073319.4000000001,10542406.0099999979,
FS(23),2384494.8799999994,2071489.3600000001,2066031.5200000005,1914566.4499999997,2067813.1999999997,10504395.4099999983,
FS(24),2387872.3199999998,2085616.0000000000,2096924.0800000003,1932306.7500000000,2077231.7000000000,10579950.8499999996,
FS(25),2399782.2399999998,2074914.0000000000,2111574.1600000001,1944444.8499999999,2078390.9000000001,10609106.1499999985,
FS(26),2372051.6799999997,2054794.2400000000,2102444.4000000004,1906163.1499999997,2053468.1000000001,10488921.5699999984,
FS(27),2399604.4800000000,2048373.0400000000,2102338.2400000002,1911765.3500000001,2050859.8999999999,10512941.0099999998,
