代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10841882.5399999991
真實報酬,841882.5399999991
趨勢值,0.1797417410

選擇檔數,2
找到最佳解世代,2339
找到最佳解實驗,1
Stock#,KO,MCD,
分配資金,5000000,5000000,
張數,102901,25750,
剩餘資金,40.4099999996,122.5000000003,
FS(1),5000000.0000000000,5000000.0000000000,10000000.0000000000,
FS(2),4979419.7999999989,5011330.0000000000,9990749.8000000007,
FS(3),5013377.1299999990,5086262.5000000000,10099639.6300000008,
FS(4),4987651.8799999990,5121797.5000000000,10109449.3800000008,
FS(5),4939288.4099999992,5099652.5000000000,10038940.9100000001,
FS(6),4923853.2599999998,5099395.0000000000,10023248.2600000016,
FS(7),4877547.8099999987,5091670.0000000000,9969217.8099999987,
FS(8),4958839.5999999987,5149865.0000000000,10108704.5999999996,
FS(9),4944433.4599999990,5125145.0000000000,10069578.4600000009,
FS(10),5010290.0999999987,5098880.0000000000,10109170.0999999996,
FS(11),5060711.5899999989,5126175.0000000000,10186886.5899999999,
FS(12),5101871.9899999993,5149865.0000000000,10251736.9900000002,
FS(13),5062769.6099999994,5130037.5000000000,10192807.1099999994,
FS(14),5026754.2599999998,5124115.0000000000,10150869.2600000016,
FS(15),5001029.0099999998,5146002.5000000000,10147031.5100000016,
FS(16),5109075.0599999987,5149092.5000000000,10258167.5600000005,
FS(17),5129655.2599999998,5123600.0000000000,10253255.2599999998,
FS(18),5104959.0199999996,5092700.0000000000,10197659.0200000014,
FS(19),5052479.5099999998,5064375.0000000000,10116854.5099999998,
FS(20),5002058.0199999996,5047637.5000000000,10049695.5200000014,
FS(21),5067914.6599999992,5130552.5000000000,10198467.1600000001,
FS(22),5055566.5399999991,5105575.0000000000,10161141.5400000010,
FS(23),5143032.3899999987,5118707.5000000000,10261739.8900000006,
FS(24),5145090.4099999992,5140595.0000000000,10285685.4100000001,
FS(25),5225353.1899999995,5153470.0000000000,10378823.1899999995,
FS(26),5289151.8099999987,5228660.0000000000,10517811.8100000005,
FS(27),5298412.8999999994,5291232.5000000000,10589645.4000000004,
FS(28),5287093.7899999991,5183597.5000000000,10470691.2900000010,
FS(29),5281948.7399999993,5234067.5000000000,10516016.2400000002,
FS(30),5313848.0499999989,5277070.0000000000,10590918.0500000007,
FS(31),5261368.5399999991,5265740.0000000000,10527108.5400000010,
FS(32),5279890.7199999997,5286340.0000000000,10566230.7200000007,
FS(33),5234614.2799999993,5248230.0000000000,10482844.2800000012,
FS(34),5210947.0499999989,5266255.0000000000,10477202.0499999989,
FS(35),5260339.5299999993,5267285.0000000000,10527624.5300000012,
FS(36),5315906.0699999984,5281962.5000000000,10597868.5700000003,
FS(37),5304586.9599999990,5259817.5000000000,10564404.4599999990,
FS(38),5342660.3299999991,5251062.5000000000,10593722.8300000001,
FS(39),5326196.1699999990,5297155.0000000000,10623351.1699999999,
FS(40),5260339.5299999993,5267285.0000000000,10527624.5300000012,
FS(41),5256223.4899999993,5311575.0000000000,10567798.4900000002,
FS(42),5239759.3299999991,5347367.5000000000,10587126.8300000001,
FS(43),5309732.0099999998,5312347.5000000000,10622079.5100000016,
FS(44),5348834.3899999987,5396807.5000000000,10745641.8900000006,
FS(45),5361182.5099999998,5479980.0000000000,10841162.5100000016,
FS(46),5362211.5199999996,5439552.5000000000,10801764.0200000014,
FS(47),5350892.4099999992,5463242.5000000000,10814134.9100000001,
FS(48),5308703.0000000000,5461440.0000000000,10770143.0000000019,
FS(49),5332370.2299999995,5484872.5000000000,10817242.7300000004,
FS(50),5355008.4499999993,5476890.0000000000,10831898.4499999993,
FS(51),5363240.5299999993,5484615.0000000000,10847855.5300000012,
FS(52),5364269.5399999991,5516030.0000000000,10880299.5400000010,
FS(53),5365298.5499999989,5503412.5000000000,10868711.0499999989,
FS(54),5369414.5899999989,5503155.0000000000,10872569.5899999999,
FS(55),5353979.4399999995,5559805.0000000000,10913784.4399999995,
FS(56),5288122.7999999989,5507275.0000000000,10795397.8000000007,
FS(57),5270629.6299999990,5536372.5000000000,10807002.1299999990,
FS(58),5590651.7399999993,5518605.0000000000,11109256.7400000002,
FS(59),5534056.1899999995,5479207.5000000000,11013263.6900000013,
FS(60),5460996.4799999995,5521952.5000000000,10982948.9800000004,
FS(61),5574187.5799999991,5551307.5000000000,11125495.0800000001,
FS(62),5555665.3999999994,5535857.5000000000,11091522.9000000004,
FS(63),5527882.1299999990,5467877.5000000000,10995759.6300000008,
FS(64),5415720.0399999991,5426162.5000000000,10841882.5399999991,
