代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11257114.4500000011
真實報酬,1257114.4500000011
趨勢值,0.1349805948

選擇檔數,1
找到最佳解世代,2272
找到最佳解實驗,1
Stock#,PG,
分配資金,10000000,
張數,90505,
剩餘資金,102.5500000005,
FS(1),10000000.0000000000,10000000.0000000000,
FS(2),10089599.9500000011,10089599.9500000011,
FS(3),10324912.9500000011,10324912.9500000011,
FS(4),10240743.3000000007,10240743.3000000007,
FS(5),10322197.8000000007,10322197.8000000007,
FS(6),10219022.0999999996,10219022.0999999996,
FS(7),10295046.3000000007,10295046.3000000007,
FS(8),10352064.4500000011,10352064.4500000011,
FS(9),10407272.5000000000,10407272.5000000000,
FS(10),10451619.9500000011,10451619.9500000011,
FS(11),10488727.0000000000,10488727.0000000000,
FS(12),10493252.2500000000,10493252.2500000000,
FS(13),10447999.7500000000,10447999.7500000000,
FS(14),10409082.6000000015,10409082.6000000015,
FS(15),10435329.0500000007,10435329.0500000007,
FS(16),10304096.8000000007,10304096.8000000007,
FS(17),10190965.5500000007,10190965.5500000007,
FS(18),10206351.4000000004,10206351.4000000004,
FS(19),10383741.2000000011,10383741.2000000011,
FS(20),10498682.5500000007,10498682.5500000007,
FS(21),10897809.5999999996,10897809.5999999996,
FS(22),10683312.7500000019,10683312.7500000019,
FS(23),10564751.2000000011,10564751.2000000011,
FS(24),10538504.7500000000,10538504.7500000000,
FS(25),10234407.9500000011,10234407.9500000011,
FS(26),10343013.9500000011,10343013.9500000011,
FS(27),10455240.1500000004,10455240.1500000004,
FS(28),10629009.7500000000,10629009.7500000000,
FS(29),10569276.4500000011,10569276.4500000011,
FS(30),10501397.7000000011,10501397.7000000011,
FS(31),10611813.8000000007,10611813.8000000007,
FS(32),10479676.5000000019,10479676.5000000019,
FS(33),10624484.5000000000,10624484.5000000000,
FS(34),10786488.4500000011,10786488.4500000011,
FS(35),10882423.7500000000,10882423.7500000000,
FS(36),10761147.0500000007,10761147.0500000007,
FS(37),10788298.5500000007,10788298.5500000007,
FS(38),10808209.6500000004,10808209.6500000004,
FS(39),10618149.1500000004,10618149.1500000004,
FS(40),10799159.1500000004,10799159.1500000004,
FS(41),10910480.3000000007,10910480.3000000007,
FS(42),10987409.5500000007,10987409.5500000007,
FS(43),10967498.4500000011,10967498.4500000011,
FS(44),10881518.7000000011,10881518.7000000011,
FS(45),10983789.3500000015,10983789.3500000015,
FS(46),11151223.5999999996,11151223.5999999996,
FS(47),11110496.3500000015,11110496.3500000015,
FS(48),11120451.9000000004,11120451.9000000004,
FS(49),11057098.4000000004,11057098.4000000004,
FS(50),10849841.9500000011,10849841.9500000011,
FS(51),10975643.9000000004,10975643.9000000004,
FS(52),11111401.4000000004,11111401.4000000004,
FS(53),11052573.1500000004,11052573.1500000004,
FS(54),10838076.3000000007,10838076.3000000007,
FS(55),10965688.3499999996,10965688.3499999996,
FS(56),10988314.5999999996,10988314.5999999996,
FS(57),11032662.0500000007,11032662.0500000007,
FS(58),11063433.7500000000,11063433.7500000000,
FS(59),11152128.6500000004,11152128.6500000004,
FS(60),11187425.6000000015,11187425.6000000015,
FS(61),11134027.6500000004,11134027.6500000004,
FS(62),11250779.1000000015,11250779.1000000015,
FS(63),11274310.4000000004,11274310.4000000004,
FS(64),11257114.4500000011,11257114.4500000011,
