代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11353290.6500000004
真實報酬,1353290.6500000004
趨勢值,0.2593342827

選擇檔數,3
找到最佳解世代,2491
找到最佳解實驗,1
Stock#,AAPL,JNJ,WMT,
分配資金,3333333,3333333,3333333,
張數,16204,25891,29076,
剩餘資金,170.2000000002,125.6599999998,60.3600000000,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3389884.9600000000,3336439.9199999999,3370259.5199999996,10096585.4000000004,
FS(3),3456159.3200000003,3329190.4399999999,3356593.7999999998,10141944.5600000005,
FS(4),3455835.2400000002,3319610.7700000000,3335949.8399999999,10111396.8500000015,
FS(5),3470580.8799999999,3286988.1099999999,3382471.4399999999,10140041.4299999997,
FS(6),3511577.0000000000,3354304.7100000000,3374330.1599999997,10240212.8700000010,
FS(7),3623222.5600000001,3396248.1299999994,3373457.8799999999,10392929.5700000003,
FS(8),3615120.5600000001,3377088.7900000000,3399626.2799999998,10391836.6300000008,
FS(9),3544795.2000000002,3386150.6399999997,3414455.0400000000,10345401.8800000008,
FS(10),3563429.8000000003,3354045.7999999993,3360373.6799999997,10277850.2800000012,
FS(11),3576393.0000000000,3357411.6299999994,3387705.1200000001,10321510.7500000000,
FS(12),3609935.2800000003,3376570.9699999997,3406604.5199999996,10393111.7699999996,
FS(13),3580606.0400000005,3368803.6699999999,3405150.7199999997,10354561.4300000016,
FS(14),3528267.1200000001,3408675.8100000001,3401370.8399999999,10338314.7700000014,
FS(15),3544309.0800000001,3411006.0000000000,3419979.4800000000,10375295.5600000005,
FS(16),3527456.9200000004,3406086.7100000000,3442658.7600000002,10376203.3900000006,
FS(17),3581740.3200000003,3391587.7500000000,3444694.0799999996,10418023.1500000004,
FS(18),3563267.7599999998,3336181.0099999993,3439751.1599999997,10339200.9299999997,
FS(19),3545929.4800000000,3329708.2599999993,3444112.5600000001,10319751.3000000007,
FS(20),3629380.0800000001,3349903.2399999998,3450800.0400000000,10430084.3600000013,
FS(21),3639426.5600000001,3365696.7500000000,3426666.9599999995,10431791.2700000014,
FS(22),3548198.0400000005,3417737.6599999997,3376365.4800000000,10342302.1800000016,
FS(23),3578337.4800000000,3396765.9499999997,3381889.9199999999,10356994.3499999996,
FS(24),3678640.2400000002,3460716.7199999997,3435680.5199999996,10575038.4800000004,
FS(25),3679450.4400000004,3447771.2199999997,3408639.8399999999,10535862.5000000000,
FS(26),3636347.8000000003,3413595.0999999996,3418816.4399999999,10468760.3399999999,
FS(27),3678964.3200000003,3345760.6799999997,3458069.0400000000,10482795.0400000010,
FS(28),3728548.5600000001,3341618.1199999996,3477840.7199999997,10548008.4000000004,
FS(29),3827717.0400000005,3400390.6899999999,3496158.5999999996,10724267.3300000019,
FS(30),3822207.6800000002,3384597.1799999997,3465047.2799999998,10671853.1400000006,
FS(31),3813295.4800000000,3439486.0999999996,3475514.6400000001,10728297.2200000007,
FS(32),3797901.6800000002,3499812.1299999994,3472316.2799999998,10770031.0899999999,
FS(33),3812647.3200000003,3525703.1299999994,3484528.2000000002,10822879.6500000004,
FS(34),3830957.8400000003,3306406.3599999999,3464175.0000000000,10601540.2000000011,
FS(35),3897394.2400000002,3314691.4800000000,3481620.5999999996,10693707.3200000003,
FS(36),3888482.0400000005,3345242.8599999994,3476968.4399999999,10710694.3399999999,
FS(37),3940658.9200000004,3363366.5600000001,3470280.9599999995,10774307.4400000013,
FS(38),3947140.5200000005,3301228.1599999997,3463011.9599999995,10711381.6400000006,
FS(39),3995752.5200000005,3323235.5099999993,3461267.3999999999,10780256.4300000016,
FS(40),4035776.4000000004,3344725.0400000000,3466501.0799999996,10847003.5200000014,
FS(41),3942441.3599999999,3343171.5799999996,3406313.7600000002,10691927.7000000011,
FS(42),3941955.2400000002,3439486.0999999996,3433935.9599999995,10815378.3000000007,
FS(43),4031077.2400000002,3418773.2999999993,3409512.1200000001,10859363.6600000001,
FS(44),4145477.4800000000,3397024.8599999994,3419979.4800000000,10962482.8200000003,
FS(45),4172700.2000000002,3371910.5899999994,3418525.6799999997,10963137.4700000007,
FS(46),4166704.7200000002,3376829.8799999994,3456033.7199999997,10999569.3200000003,
FS(47),4168487.1600000001,3390811.0200000000,3474642.3599999999,11033941.5400000010,
FS(48),4203973.9199999999,3402979.7900000000,3495867.8399999999,11102822.5500000007,
