代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10658556.3399999980
真實報酬,658556.3399999980
趨勢值,0.0493680447

選擇檔數,1
找到最佳解世代,2605
找到最佳解實驗,1
Stock#,AAPL,
分配資金,10000000,
張數,296647,
剩餘資金,29.6299999997,
FS(1),10000000.0000000000,10000000.0000000000,
FS(2),10106792.9199999999,10106792.9199999999,
FS(3),10151289.9699999988,10151289.9699999988,
FS(4),10195787.0199999977,10195787.0199999977,
FS(5),10169088.7899999991,10169088.7899999991,
FS(6),10246217.0099999979,10246217.0099999979,
FS(7),10266982.2999999989,10266982.2999999989,
FS(8),10272915.2400000002,10272915.2400000002,
FS(9),10412339.3300000001,10412339.3300000001,
FS(10),10548796.9499999993,10548796.9499999993,
FS(11),10483534.6099999994,10483534.6099999994,
FS(12),10471668.7299999986,10471668.7299999986,
FS(13),10364875.8099999987,10364875.8099999987,
FS(14),10984868.0399999991,10984868.0399999991,
FS(15),11293380.9199999999,11293380.9199999999,
FS(16),11477302.0599999987,11477302.0599999987,
FS(17),11420939.1299999990,11420939.1299999990,
FS(18),11103526.8399999980,11103526.8399999980,
FS(19),11085728.0199999977,11085728.0199999977,
FS(20),11385341.4900000002,11385341.4900000002,
FS(21),11064962.7299999986,11064962.7299999986,
FS(22),11287447.9799999986,11287447.9799999986,
FS(23),10961136.2799999993,10961136.2799999993,
FS(24),10848410.4199999999,10848410.4199999999,
FS(25),10436071.0899999980,10436071.0899999980,
FS(26),9994067.0599999987,9994067.0599999987,
FS(27),10762382.7899999991,10762382.7899999991,
FS(28),10872142.1799999978,10872142.1799999978,
FS(29),11106493.3099999987,11106493.3099999987,
FS(30),10949270.3999999985,10949270.3999999985,
FS(31),10756449.8499999978,10756449.8499999978,
FS(32),10774248.6699999999,10774248.6699999999,
FS(33),10694153.9799999986,10694153.9799999986,
FS(34),10525065.1899999976,10525065.1899999976,
FS(35),10077128.2199999988,10077128.2199999988,
FS(36),10269948.7699999977,10269948.7699999977,
FS(37),10456836.3799999990,10456836.3799999990,
FS(38),10391574.0399999991,10391574.0399999991,
FS(39),10344110.5199999977,10344110.5199999977,
FS(40),10735684.5599999987,10735684.5599999987,
FS(41),10886974.5299999993,10886974.5299999993,
FS(42),11053096.8499999978,11053096.8499999978,
FS(43),11186588.0000000000,11186588.0000000000,
FS(44),11150990.3599999994,11150990.3599999994,
FS(45),10848410.4199999999,10848410.4199999999,
FS(46),10634824.5800000001,10634824.5800000001,
FS(47),10566595.7699999977,10566595.7699999977,
FS(48),10305546.4100000001,10305546.4100000001,
FS(49),10617025.7599999979,10617025.7599999979,
FS(50),10744583.9699999988,10744583.9699999988,
FS(51),10777215.1399999987,10777215.1399999987,
FS(52),11005633.3300000001,11005633.3300000001,
FS(53),11326012.0899999980,11326012.0899999980,
FS(54),11521799.1099999994,11521799.1099999994,
FS(55),11613759.6799999978,11613759.6799999978,
FS(56),11450603.8300000001,11450603.8300000001,
FS(57),11604860.2699999977,11604860.2699999977,
FS(58),11483235.0000000000,11483235.0000000000,
FS(59),11400173.8399999980,11400173.8399999980,
FS(60),11302280.3300000001,11302280.3300000001,
FS(61),11370509.1399999987,11370509.1399999987,
FS(62),10857309.8300000001,10857309.8300000001,
FS(63),10658556.3399999980,10658556.3399999980,
