代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12376111.5899999999
真實報酬,2376111.5899999999
趨勢值,0.4666121025

選擇檔數,6
找到最佳解世代,2316
找到最佳解實驗,1
Stock#,AAPL,GS,HD,IBM,MSFT,UNH,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,28368,17477,39550,8946,62258,32368,
剩餘資金,46.0000000000,59.2800000000,29.0000000000,26.1999999999,19.3400000000,37.6799999999,
FS(1),1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,10000000.0000000000,
FS(2),1675460.0800000001,1655830.2600000000,1690396.0000000000,1659867.0399999998,1705888.5400000000,1690942.0000000000,10078387.9199999999,
FS(3),1694182.9600000000,1653033.9399999999,1704238.5000000002,1651994.5599999998,1723320.7800000000,1702270.8000000000,10129045.5399999991,
FS(4),1711771.1200000001,1632760.6200000001,1708589.0000000000,1633029.0399999998,1750091.7200000000,1708420.7200000000,10144666.2199999988,
FS(5),1709218.0000000000,1654956.4099999999,1709775.4999999998,1624530.3400000001,1727056.2600000000,1706478.6399999999,10132019.1499999985,
FS(6),1715175.2800000000,1718572.6899999999,1721640.5000000000,1622025.4600000000,1733282.0600000001,1703241.8399999999,10213941.8300000001,
FS(7),1712338.4800000000,1743564.8000000000,1718872.0000000000,1631060.9199999999,1725811.1000000001,1715865.3599999999,10247516.6600000001,
FS(8),1707799.6000000001,1768906.4500000000,1716103.5000000000,1615226.5000000000,1743243.3400000001,1711333.8399999999,10262617.2300000004,
FS(9),1701274.9600000000,1729583.2000000000,1720849.5000000000,1602791.5599999998,1758807.8400000001,1705831.2800000000,10219142.3399999999,
FS(10),1721132.5600000001,1707212.6400000001,1729946.0000000000,1610306.2000000000,1759430.4200000002,1733991.4399999999,10262023.2600000016,
FS(11),1739004.3999999999,1823085.1500000001,1775033.0000000000,1619878.4199999999,1757562.6800000002,1745967.5999999999,10460535.2500000000,
FS(12),1733614.4800000000,1881982.6400000001,1795994.4999999998,1614958.1200000001,1750714.3000000000,1693531.4399999999,10470799.4800000004,
FS(13),1703260.7200000000,1900508.2600000000,1760399.5000000000,1686526.1200000001,1849704.5200000003,1691913.0400000000,10592316.1599999983,
FS(14),1732196.0800000001,1890895.9099999999,1775033.0000000000,1699587.2799999998,1850949.6800000002,1697091.9199999999,10645757.8700000010,
FS(15),1703828.0800000001,1902780.2700000000,1778197.0000000000,1717031.9800000000,1826669.0600000001,1661487.1199999999,10589997.5099999998,
FS(16),1810208.0800000001,1892294.0700000001,1790062.0000000000,1715242.7799999998,1840365.8200000001,1669255.4399999999,10717432.1899999995,
FS(17),1801981.3600000001,1897362.4000000001,1777801.5000000000,1708533.2799999998,1836630.3400000001,1629766.4800000000,10652079.3600000013,
FS(18),1812761.2000000000,1953463.5700000001,1774637.5000000000,1703881.3600000001,1819820.6800000002,1651453.0400000000,10716021.3499999996,
FS(19),1836022.9600000000,1917810.4900000000,1770682.5000000002,1722131.2000000000,1843478.7200000000,1653071.4399999999,10743201.3100000005,
FS(20),1849923.2799999998,1948220.4700000000,1755653.5000000000,1723025.7999999998,1838498.0800000001,1676376.3999999999,10791701.5299999993,
FS(21),1848788.5600000001,1982824.9300000002,1758817.5000000000,1723204.7200000000,1860910.9600000002,1723957.3599999999,10898508.0299999993,
FS(22),1844533.3599999999,1981776.3100000001,1758422.0000000000,1713453.5800000001,1864646.4399999999,1700652.3999999999,10863488.0899999999,
FS(23),1862972.5600000001,2054131.0900000001,1786502.5000000000,1732329.6399999999,1882701.2600000000,1660839.7600000000,10979480.8099999987,
FS(24),1880277.0400000000,2051684.3100000001,1787689.0000000000,1724993.9199999999,1880210.9399999999,1660192.3999999999,10985051.6100000013,
FS(25),1900134.6400000001,2027041.7400000000,1797972.0000000000,1729735.2999999998,1889549.6400000001,1684144.7200000000,11028582.0399999991,
FS(26),1931906.7999999998,2030012.8300000001,1786502.5000000000,1726156.8999999999,1908849.6200000001,1687705.2000000000,11071137.8499999996,
FS(27),1998571.6000000001,2025294.0400000000,1790457.5000000002,1727767.1799999999,1915698.0000000000,1717483.7600000000,11175276.0800000001,
FS(28),1999706.3199999998,1994534.5200000000,1792830.5000000000,1721415.5199999998,1898888.3400000001,1725899.4399999999,11133278.6399999987,
FS(29),2036868.3999999999,2001700.0900000001,1816560.5000000000,1723204.7200000000,1903868.9800000000,1743054.4800000000,11225261.1700000018,
FS(30),2064669.0400000000,1972688.2700000000,1821702.0000000000,1719626.3199999998,1883323.8400000001,1762798.9600000000,11224812.4299999997,
