代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10982596.8800000008
真實報酬,982596.8800000008
趨勢值,0.3069215813

選擇檔數,9
找到最佳解世代,2324
找到最佳解實驗,1
Stock#,AAPL,HD,NKE,PFE,PG,TRV,UNH,WBA,WMT,
分配資金,1111111,1111111,1111111,1111111,1111111,1111111,1111111,1111111,1111111,
張數,13125,20960,50027,48309,18158,17382,19749,37210,16021,
剩餘資金,79.7499999999,21.4000000000,11.3300000000,4.0000000000,22.9800000000,53.5600000000,32.2600000000,20.4000000000,54.6500000001,
FS(1),1111111.0000000000,1111111.0000000000,1111111.0000000000,1111111.0000000000,1111111.0000000000,1111111.0000000000,1111111.0000000000,1111111.0000000000,1111111.0000000000,10000000.0000000000,
FS(2),1123973.5000000000,1082605.4000000001,1131622.0699999998,1104830.8300000001,1114197.8599999999,1114761.2200000000,1083857.3800000001,1101808.5000000000,1133540.4000000001,9991198.1600000001,
FS(3),1143661.0000000000,1092247.0000000002,1153133.6799999999,1095169.0300000000,1114016.2800000000,1111806.2800000000,1102223.9500000000,1111483.0999999999,1138827.3300000001,10062568.6500000004,
FS(4),1136048.5000000000,1093085.4000000001,1143128.2800000000,1088888.8599999999,1112745.2200000000,1099638.8800000001,1102421.4399999999,1102180.5999999999,1143313.2100000002,10021451.3900000006,
FS(5),1151142.2500000000,1092456.6000000001,1129120.7200000000,1094202.8499999999,1117647.8799999999,1096336.3000000000,1107753.6700000002,1105157.3999999999,1149721.6100000003,10043540.2800000012,
FS(6),1140511.0000000000,1094552.6000000001,1141627.4700000000,1084057.9600000000,1120916.3199999998,1098769.7800000000,1100051.5600000001,1113343.5999999999,1155328.9600000002,10049160.2500000000,
FS(7),1133423.5000000000,1083024.6000000001,1154134.2200000000,1079227.0600000001,1114924.1799999999,1086950.0200000000,1106766.2200000000,1114087.8000000000,1157732.1100000003,10030270.7100000009,
FS(8),1123054.7500000000,1080509.4000000001,1148631.2500000000,1095169.0300000000,1156687.5800000001,1081909.2400000000,1077735.1899999999,1120041.3999999999,1158533.1600000001,10042272.0000000000,
FS(9),1134342.2500000000,1091827.8000000003,1175145.5599999998,1101932.2900000000,1181927.2000000000,1097379.2200000002,1090177.0600000001,1137902.2000000000,1172471.4300000002,10183106.0099999998,
FS(10),1138017.2500000000,1078413.4000000001,1163639.3499999999,1117391.1699999999,1176842.9600000000,1087297.6599999999,1089387.0999999999,1134925.3999999999,1169267.2300000002,10155182.5199999996,
