代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11088352.9599999990
真實報酬,1088352.9599999990
趨勢值,0.1275253263

選擇檔數,1
找到最佳解世代,2302
找到最佳解實驗,1
Stock#,V,
分配資金,10000000,
張數,292568,
剩餘資金,25.7600000001,
FS(1),10000000.0000000000,10000000.0000000000,
FS(2),9947337.7599999998,9947337.7599999998,
FS(3),10131655.5999999996,10131655.5999999996,
FS(4),10216500.3200000003,10216500.3200000003,
FS(5),10260385.5199999996,10260385.5199999996,
FS(6),10146284.0000000000,10146284.0000000000,
FS(7),10002925.6799999997,10002925.6799999997,
FS(8),10049736.5600000005,10049736.5600000005,
FS(9),10169689.4399999995,10169689.4399999995,
FS(10),10175540.8000000007,10175540.8000000007,
FS(11),10231128.7199999988,10231128.7199999988,
FS(12),10324750.4800000004,10324750.4800000004,
FS(13),10427149.2799999993,10427149.2799999993,
FS(14),10377412.7199999988,10377412.7199999988,
FS(15),10236980.0800000001,10236980.0800000001,
FS(16),10166763.7599999998,10166763.7599999998,
FS(17),9994148.6399999987,9994148.6399999987,
FS(18),9982445.9199999999,9982445.9199999999,
FS(19),10061439.2799999993,10061439.2799999993,
FS(20),10117027.1999999993,10117027.1999999993,
FS(21),10149209.6799999997,10149209.6799999997,
FS(22),10523696.7199999988,10523696.7199999988,
FS(23),10488588.5600000005,10488588.5600000005,
FS(24),10351081.5999999996,10351081.5999999996,
FS(25),10523696.7199999988,10523696.7199999988,
FS(26),10427149.2799999993,10427149.2799999993,
FS(27),10392041.1200000010,10392041.1200000010,
FS(28),10453480.3999999985,10453480.3999999985,
FS(29),10476885.8399999999,10476885.8399999999,
FS(30),10418372.2400000002,10418372.2400000002,
FS(31),10236980.0800000001,10236980.0800000001,
FS(32),10239905.7599999998,10239905.7599999998,
FS(33),10438852.0000000000,10438852.0000000000,
FS(34),10652426.6399999987,10652426.6399999987,
FS(35),10705088.8800000008,10705088.8800000008,
FS(36),10728494.3200000003,10728494.3200000003,
FS(37),10833818.8000000007,10833818.8000000007,
FS(38),10769453.8399999999,10769453.8399999999,
FS(39),10737271.3600000013,10737271.3600000013,
FS(40),10772379.5199999996,10772379.5199999996,
FS(41),10839670.1599999983,10839670.1599999983,
FS(42),10950846.0000000000,10950846.0000000000,
FS(43),10871852.6399999987,10871852.6399999987,
FS(44),10795784.9599999990,10795784.9599999990,
FS(45),10830893.1200000010,10830893.1200000010,
FS(46),10860149.9199999999,10860149.9199999999,
FS(47),10866001.2799999993,10866001.2799999993,
FS(48),10874778.3200000003,10874778.3200000003,
FS(49),10892332.3999999985,10892332.3999999985,
FS(50),10816264.7199999988,10816264.7199999988,
FS(51),10766528.1599999983,10766528.1599999983,
FS(52),10740197.0399999991,10740197.0399999991,
FS(53),10906960.8000000007,10906960.8000000007,
FS(54),11023988.0000000000,11023988.0000000000,
FS(55),10909886.4800000004,10909886.4800000004,
FS(56),11152717.9199999999,11152717.9199999999,
FS(57),11026913.6799999997,11026913.6799999997,
FS(58),11059096.1599999983,11059096.1599999983,
FS(59),10953771.6799999997,10953771.6799999997,
FS(60),10927440.5600000005,10927440.5600000005,
FS(61),10871852.6399999987,10871852.6399999987,
FS(62),11088352.9599999990,11088352.9599999990,
